@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R5,7-8,16,21-22,24-25,31,33-37,39-41,43-46,48-49,54,56,58'

@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_free numeric
@attribute Word_freq_your numeric
@attribute Word_freq_font numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_conference numeric
@attribute Char_freq1 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
1.16,0,0,1.16,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
0,0,0,0,0.68,0,0,0.68,1.36,0,0,0.68,0,1.36,0,0,0,0,0,0,0,0,0,0,30,1
0,0,0,4.97,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
0.05,0.05,0.28,0.25,1.46,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.153,193,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0.305,0,22,1
0.1,0,0.05,0,0.75,0,0.2,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,96,1
0.92,0.3,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0,49,1
0.19,0,0.19,0.98,0.78,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,31,1
0,0,0,2.77,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0.66,0,0,0.66,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0,0,0,0,1.17,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
2.7,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0.26,0.26,0,0.79,1.05,0,0.52,0,0,0.26,0,0,0.26,0.26,0.52,0,0,0,0,0,0,0,0,0,71,1
0.55,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,16,1
0.65,0,0,0,4.6,0,1.31,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,43,1
0.25,0,0.02,0.05,0.02,0,0.02,0,0,0,0,0,0.05,0.3,0,0.02,0,0.02,0,0.02,0,0,0.011,0,20,1
0.33,0.16,0,0.5,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,47,1
1.81,0,0,0,0.36,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,13,1
0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
1.38,0.08,0,0.48,0.73,0,0.16,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.012,119,1
1.11,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1
2.33,1.16,0,0.58,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
0.53,0.17,0.89,0,4.12,0,0.35,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,63,1
0.35,0.35,1.41,0.7,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,60,1
1.57,0.06,0.06,0,1.09,0,0.06,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,0,0.01,0,12,1
0,0,0,0,5.26,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
