@relation spambase

@attribute Word_freq_address numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_will numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_email numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Spam {1,0}

@data
0.56,1.12,0,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.347,0,1
0,0.97,0,0.48,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0.232,0.077,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.49,0,0.49,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446,1
0,0,0,0.58,0,1.74,0,0,0.58,0,0,0,0,0,0,0,0,0,0.085,0,1
0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,1
0,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.23,0,0.08,0,0.16,0,0,0,0,0,0,0,0,0,0,0.038,0,1
0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0.437,1
0,0,0,0.12,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,1
0.17,0.08,2.41,0.34,1.46,0.34,0,0.43,0.17,0,0,0,0,0,0,0,0,0.08,0.067,0.026,1
0,0.06,0.12,0.54,0,0,0.06,0.24,0.06,0,0,0,0,0,0,0,0.06,0,0.167,0,1
0.18,0.09,0.27,0.83,0,0,0.09,0.55,0.36,0,0,0,0,0,0,0,0,0,0.085,0,1
0.33,0.06,1.13,0.66,0.2,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0.192,0.115,1
0,4.08,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,1
0.3,0,0,0.3,0.05,0,0.5,0.3,0.2,0.05,0,0,0,0,0,0,0,0,0.118,0,1
0,0,0,1.21,0,0.24,0,0,0.24,0,0,0,0,0,0,0.24,0,0,0.291,0.109,1
0,0,3.77,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,1
0.67,0.33,0,1,0,1,0.33,2.68,0.67,0,0,0,0,0,0,0,0,0,0,0.107,1
0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.53,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.43,0,0,0.43,1.73,0,0,0,0,0,0,0,0,0,0,0,0.062,0,1
0,0,0,0,0.18,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.37,0.07,0.37,1.48,0.07,0,0.44,0,0.14,0,0,0,0,0,0,0,0,0,0.159,0.009,1
0,0.65,0.32,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0,1
0,0,0,0.73,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.031,0.031,1
0.1,0.4,0.81,0.5,0,0.1,1.01,0.5,0.3,0,0,0,0,0,0,0,0,0,0.384,0.032,1
0,0.86,0,0.43,0,2.16,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.06,0.55,0,0,0,0.24,0.06,0,0,0,0,0,0,0,0.06,0,0.169,0,1
0,0,0,0,1.42,0.47,2.38,0,0.47,0,0,0,0,0,0,0,0,0.47,0.452,0.113,1
0,0,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.19,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.2,0.2,0.4,0.2,0.4,0,3.03,0.4,0,0,0,0,0,0,0,0,0,0.066,0,1
0.41,0,0,0.41,0,0.41,0.82,0,0.41,0,0,0,0,0,0,0,0,0,0.549,0,1
1.36,1.36,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,1
0.26,0,4.09,1.22,0.78,1.13,1.91,0,0.43,0,0,0,0,0,0,0,0,0,0.056,0,1
0.4,0.13,0.78,0.71,0.03,0.27,0.03,0,0.61,0,0,0,0,0,0,0,0,0,0.519,0.119,1
0,0,0.36,0.36,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.73,0.36,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0.36,0,0,1
0,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
