@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R6,16,19-20,32-33,35-36,38,44-45,52-55,57-58'

@attribute Word_freq_over numeric
@attribute Word_freq_free numeric
@attribute Word_freq_you numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0.32,1.93,0,0,0,0,0,0,0,0,0.778,0,0,3.756,278,1
0.25,0,1.16,0,0,0,0,0,0,0,0,0.663,0,0,1.243,184,1
0.27,0.27,3.51,0,0,0,0,0,0,0,0,0,0.091,0,1.39,89,1
0,0.26,1.82,2.08,0,0,0,0,0,0,0,0.813,0.036,0.147,2.145,339,1
0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,2.75,33,1
0.73,1.1,2.2,2.2,0,0,0,0,0,0,0,0.5,0.333,0,3.259,176,1
0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,8.586,249,1
0,1.39,0.93,0,0,0,0,0,0.46,0,0,0,0,0.069,1.442,75,1
0,1.98,1.32,0,0,0,0,0,0,0,0,2.205,0,0,3.184,121,1
0,0.44,2.24,0,0,0,0,0,0,0,0.44,0.807,0,0,3.849,281,1
0.2,0.83,2.09,0,0,0,0,0,0,0,0.41,0.132,0,0,1.65,175,1
0,0,5.55,0,0,0,0,0,0,0,0,1.431,0,0,4.071,114,1
0,0,0,0,0,0,0,0,0,0,0,1.529,0,0,5.5,66,1
0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,6.166,74,1
0,0,1.52,0,0,0,0,0,0,0,0,0,0.177,0.059,3.836,211,1
0.05,0,1.55,0.3,0,0,0,0,0,0.05,0.05,0.054,0.118,0,2.37,588,1
0,0,4,0,0,0,0,0,0,0,0,0.706,0.212,0,1.838,114,1
0,0,1.58,0,0,0,0,0,0,0,0,0.558,0.279,0,3.272,36,1
0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,4.5,108,1
0,0.54,1.64,0,0,0,0,0,0,0,0.54,1.443,0,0,1.969,130,1
0,0.44,4.46,0,0,0,0,0,0,0,0.44,1.083,0.144,0.072,2.428,153,1
0,0,2.53,0,0,0,0,0,0,0,0.36,0.118,0,0,1.307,68,1
0.53,1.59,6.91,0,0,0,0,0,0,0,0,0.28,0.186,0,2.823,240,1
0,0.54,4.32,0,0,0,0,0,0,0,0.54,1.18,0.252,0,5.323,181,1
0,0.39,2.73,0,0,0,0,0,0,0,1.17,0.869,0.186,0,4,256,1
0.22,0.44,3.33,0,0,0,0,0,0,0,0,0.563,0.15,0,86.65,1733,1
0,0,3.12,0,0,0,0,0,0,0,0,0.08,0,0,2.111,57,1
0,1.57,2.61,0,0,0,0,0,0,0,0,0.779,0.021,0.021,2.689,476,1
0.54,0,3.27,0,0,0,0,0,0,0,0.54,0.471,0,0.078,15.08,377,1
0.55,0,3.35,0,0,0,0,0,0,0,0.55,0.479,0,0.079,16.739,385,1
0,2.15,0,0,0,0,0,0,0,0,0,0.145,0.437,0.291,1.823,62,1
0.2,1.11,2.37,0,0,0,0,0,0,0,0.13,0.75,0.305,0,3.401,966,1
0.62,0.31,2.48,0,0,0,0,0,0,0,0,0.043,0,0,1.741,155,1
0,0.17,0.17,0.17,0,0,0,0,0,0,0,0.665,0.083,0.083,6.294,963,1
0.25,0.25,2.5,0,0,0,0,0,0,0,0,0.203,0.203,0,2.866,129,1
0,0.14,2.35,0.14,0,0,0,0,0.29,0,0,0.204,0.127,0.102,2.962,400,1
0.57,0,3.42,0,0,0,0,0,0,0,0.57,0.487,0,0.081,16.217,373,1
0.6,0.4,2.21,1.81,0,0,0,0,0,0,0,1.453,0.129,0,3.946,513,1
0.17,0.51,3.43,0,0,0,0,0,0,0,0,0.348,0.103,0.012,5.392,1456,1
0.94,0,2.45,0,0,0,0,0,0,0,0,0.295,0.107,0,2.542,239,1
0.18,0.18,0.94,0,0,0,0,0,0,0,0,0.07,0.07,0,2.616,191,1
0,0,0,0,0,0,0,0,0,0,0,0.511,0,0,4.617,217,1
0,2.13,0.98,0,0,0,0,0.16,0,0,0,0.693,0.67,0,4.835,1030,1
0,0,1.31,0,0,0,0,0,0,0,0,0,0.201,0,4.5,54,1
0,1.28,3.84,0,0,0,0,0,0,0,1.28,0.23,0.23,0,5.538,72,1
0,4.65,3.48,0,0,0,0,0,0,0,0,0,0,0,1,21,1
0.65,0.32,2.28,0,0,0,0,0,0,0,0.32,0,0.158,0,1.494,139,1
0.46,0,3.49,0,0,0,0,0,0,0,0.34,0.23,0.134,0,4.281,655,1
0,0.62,1.25,0,0,0,0,0,0,0,0,0.456,0.273,0,2.52,121,1
0,1.44,5.79,0,0,0,0,0,0,0,0,0.277,0,0,1.312,21,1
0,0,2.03,0,0,0,0,0,0,0,0,0.412,0.412,0,2.441,249,1
0,0.56,1.79,0,0,0,0,0,0.11,0,0,0.373,0.196,0.078,2.576,389,1
0,0,4.44,0,0,0,0,0,0,0,0,1.385,0,0,20,180,1
0,0,0,0,0,0,0,0,0,0,0,0.486,0,0,2.681,59,1
0,0,3.22,0,0,0,0,0,0,0,0,0.546,0,0,2.3,23,1
0.3,1.94,1.94,0.4,0,0,0,0.3,0,0,0,0.518,0.162,0.34,8.181,1890,1
1.02,0.25,1.61,0.17,0,0,0,0,0,0.08,0.08,0.394,0.114,0.012,7.54,1410,1
0,0,0,0,0,0,0,0,0,0,0,0.919,0.367,0,2.84,71,1
0,0,2.79,0,0,0,0,0.31,0,0,0,0.057,0,0,2.972,110,1
0.03,0.21,2.96,0,0,0,0,0,0,0,0.03,0.439,0.505,0.132,6.683,2426,1
0,0,0.76,0.76,0,0,0,0,0,0,0,0.274,0,0,11.035,309,1
0,0.56,1.79,0,0,0,0,0,0.11,0,0,0.392,0.176,0.078,2.606,391,1
0,0,3.37,0,0,0,0,0,0,0,0,0.218,0,0,1.827,53,1
0,0,6.55,0,0,0,0,0,0,0,0,0,0,0,1,13,1
0,0.32,1.62,0,0,0,0,0,0,0,0,1.065,0,0,3.932,291,1
0.17,0.58,3.01,2.61,0,0,0,0,0,0,0,0.127,0.182,0.027,4.225,1107,1
1.27,0,4.45,3.18,0,0,0,0,0,0,0,0.983,0.089,0,3.488,157,1
1.32,0,1.76,0,0,0,0,0,0,0,0,0.43,0.358,0,2.403,137,1
0,0,2.04,0,0,0,0,0,0,0,0,0.257,0,0,4.181,46,1
0.36,0.36,2.58,0,0,0,0,0,0,0,0,0.435,0.062,0,4.411,300,1
0.24,0,0.88,0.08,0,0,0,0,0,0,0,0.233,0.202,0.326,8.763,1481,1
0.18,0.54,3.05,0.14,0,0,0,0,0,0,0.07,0.337,0.141,0,3.305,1613,1
0,0,1.96,0,0,0,0,0,0,0,0,0.334,0,0,3.214,45,1
0.58,0.82,2.32,0.16,0,0,0,0,0,0,0.08,0.25,0.224,0.026,5.872,1339,1
0,0.68,0.68,0.34,0,0,0,0,0,0,0,0.224,0.056,0,2.257,158,1
0,0.34,4.96,0,0,0,0,0,0,0,0.34,0.126,0,0,2.285,224,1
0,0,4.42,0,0,0,0,0,0,0,0,0.301,0,0,2.787,131,1
0.44,0.88,0.88,0.44,0,0.44,0,0,0,0,0,0.064,0.128,0,2.215,113,1
0.78,0.09,1.28,0.19,0,0,0,0,0,0,0.09,0.393,0.145,0.014,8.323,1415,1
0,0,0,0,0,0,0,0,0,0,0,0,0.248,1.985,3.15,63,1
0.22,0,0,0,0,0,0,0,0,0,0,0.035,0.124,0,1.98,305,1
0,0,0.47,0.47,0.47,0,0,0,0,0,0,0.267,0,0,4.18,464,1
0,1.26,1.77,0,0,0,0,0,0,0,0.25,0.189,0,0.151,8.972,646,1
0.73,0.73,1.47,0,0,0,0,0,0,0,0,0.875,0.109,13.129,2.08,52,1
0.42,2,1.69,0.31,0,0,0,0.31,0,0,0,0.384,0.182,0.201,8.851,1726,1
0.64,0.32,2.27,0,0,0,0,0,0,0,0.64,0,0.166,0,1.688,157,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,18,1
0,0,3.7,0,0,0,0,0,0,0,0,4.733,0,0,2.666,24,1
0,0,1.04,0,0,0,0,0,0,0,0,0.182,0.146,0,3.791,364,1
0.44,1.34,2.24,0,0,0,0,0,0,0,0,0,0,0,2.25,144,1
0,0,2.03,0,0,0,0,0,0,0,0,0.433,0.433,0,2.441,249,1
0,0.98,0.98,0,0,0,0,0,0,0,0.98,1.011,0,0,2.888,52,1
0,0.78,1.56,0,0,0,0,0,0,0,0,0.792,0.339,0,2.627,113,1
0.03,0.23,3.11,0,0,0,0,0,0,0,0.03,0.36,0.524,0.137,6.186,2227,1
0,0,4.38,0,0,0,0.43,0,0,0,0.43,1.021,0.218,0,3.35,134,1
0,0.86,3.47,0,0,0,0,0,0,0,0,0.457,0,0,2.75,55,1
0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,3.168,339,1
1.02,0.25,1.62,0.17,0,0,0,0,0,0.08,0.08,0.435,0.118,0.013,7.497,1402,1
0,1.97,1.31,0,0,0,0,0,0,0,0.65,0.198,0.099,0,2.195,101,1
0,0.57,0.86,2.31,0,0,0,0,0,0,0,1.147,0.191,0.191,11.735,622,1
0.54,0.54,4.91,0,0,0,0,0,0,0,0,0,0.171,0,2.592,70,1
0.84,0,3.36,0,0,0,0,0,0,0,0,0.587,0,1.468,7,273,1
0.6,0.3,2.7,0,0,0,0,0,0,0,0,0.189,0.141,0,1.932,201,1
0,0,3.82,0.19,0,0,0.06,0,0,0,0,0.133,0.041,0.143,3.29,1030,1
0,1.04,3.66,1.04,0,0,0,0,0,0,0,0.539,0.269,0,5.787,272,1
0,0,2.62,0,0,0,0,0,0,0,0,0,0.271,0,1.67,162,1
0.08,0,1.2,0,0,0,0,0,0,0,0,0.092,0.014,0,4.16,1140,1
0.69,0.69,4.86,0,0,0,0,0,0,0,0,0.638,0.174,0,2.17,89,1
0,0.48,1.92,0,0,0,0,0,0,0,1.44,0.515,0.957,0,6.833,328,1
0.08,0,1.2,0,0,0,0,0,0,0,0,0.099,0.014,0,4.07,574,1
0,0.79,1.32,0,0,0.26,0,0.26,0,0,0,0.327,0,0,5.549,566,1
0,0.49,4.43,0,0,0,0,0,0,0,0,0.424,0,0,12.692,330,1
0.38,0.38,3.87,0,0,0,0,0,0,0,0,0.123,0,0,2.062,99,1
0,0.23,2.83,0,0,0,0,0,0,0,0,0.08,0,0,1.844,83,1
0,0.68,5.86,0,0,0,0,0,0,0,0.34,0.503,0.062,0,1.82,91,1
0,0,2.8,0.12,0,0,0,0.12,0,0,0,0.371,0.061,0,2.878,475,1
0,0,5.55,0,0,0,0,0,0,0,0,1.473,0,0,4.071,114,1
0,0.56,3.97,0,0,0,0,0,0,0,0,1.135,0.349,0,5.105,194,1
0,0.47,1.9,0,0,0,0,0,0,0,0,0,0,0,7.18,359,1
0.11,0.23,2.93,0,0,0,0,0,0,0,0.02,0.311,0.734,0.145,5.328,3016,1
0.47,0.23,2.63,0,0,0,0.23,0,0,0,0,0.327,1.357,0.046,5.769,450,1
0,0,3.06,0,0,0,0,0,0,0,0,0.416,0,0,1.373,92,1
0,0.88,0.88,0,0,0,0,0,0,0,0,0,0,0,1.512,62,1
0.8,0.1,1.31,0.2,0,0,0,0,0,0,0.1,0.49,0.158,0.015,8.55,1351,1
0,0.87,1.39,0.17,0,0,0,0,0,0,0,0.342,0.716,0,2.973,336,1
0.62,0,1.87,0.41,0,0,0.1,0,0,0,0,0.548,0.199,0.033,14.301,1516,1
0.34,0,4.24,0.23,0,0,0,0,0,0,0,0.02,0.163,0,1.796,458,1
0,0,2.64,0,0,0,0,0,0,0,0,0,0.231,0,5.977,263,1
0,1.17,2.35,0,0,0,0,0,0,0,0,0,0,0,5.25,42,1
0,0,0,0,0,0,0,1.05,0,0,1.05,0,0.354,0,4.047,85,1
0.34,2.04,4.76,0,0,0,0,0,0,0,0,0.222,0,4.008,6.978,328,1
0,0.64,0.8,0,0,0,0,0.16,0,0,0.16,0.594,0,0,5.683,557,1
0,0.38,4.61,0.38,0,0,0,0,0,0,0,0.486,0.347,0,1.608,74,1
0.1,0.91,1.72,4.26,0,0,0,0,0,0,0,0.336,0.16,0,6.758,1426,1
0.25,1.61,1.52,0.33,0,0,0,0.25,0,0,0,0.518,0.157,0.33,7.277,2045,1
0.55,1.11,1.67,0,0,0,0,0,0,0,0,0.086,0.086,0.517,4.166,125,1
0,0.6,4.45,0,0,0,0,0,0,0,0.12,0.102,0.224,0,3.656,479,1
0.7,0.7,2.12,2.82,0,0,0,0,0,0,0,0.061,0,0.122,2.302,99,1
0,0,2.48,0,0,0,0,0,0,0,0,0.179,0,0.089,3.702,174,1
0,0.6,4.44,0,0,0,0,0,0,0,0.12,0.102,0.205,0,3.548,479,1
0,1.66,3.33,0,0,0,0,0,0,0,0,0.653,0,0,8,80,1
0,0.7,0,0,0,0,0,0,0,0,0,0.328,0,0,1.333,16,1
0,0.23,3.81,0.23,0,0,0,0,0,0,0,1.045,0.037,0,4.022,543,1
0,0,0.26,0,0,0,0,0,0,0,0,0.033,0,0,5.009,506,1
0,0.86,3.47,0,0,0,0,0,0,0,0,1.765,0.481,0.08,7.059,473,1
0,0.49,4.45,0,0,0,0,0,0,0,0.49,1.118,0.239,0,5.228,183,1
0,0,0,0,0,0,0,1.33,0,0,1.33,0.426,0.213,0,4.6,69,1
0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,1.545,17,1
0.21,1.12,2.24,0,0,0,0,0,0,0,0.14,0.768,0.312,0,3.401,966,1
0.11,0.44,4.68,0,0,0,0,0,0,0,0.44,0.775,0.224,0.142,5.782,798,1
0.87,0,0.87,0,0,0,0,0.43,0,0,0,0.942,0,0,5.114,179,1
0,0,2.18,0,0,0,0,0.27,0,0,0,0.166,0.083,0,3.521,243,1
0,0.66,1.52,0,0,0,0,0,0,0,0,0.591,0,0,3.28,771,1
0.18,0.54,3.05,0.14,0,0,0,0,0,0,0.07,0.334,0.139,0,3.305,1613,1
0,0.6,0,0,0,0,0,0,0,0,0,0.102,0.72,0,4.512,185,1
