@relation spambase

@attribute Word_freq_address numeric
@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_re numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0.95,0.47,0,1.9,0.47,0,0,0,0,0,0,0,0,0,0,0,0,1.687,0.168,634,1
0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0.174,126,1
0.88,0.22,0,1.54,0.66,0,0.22,0,0,0,0,0,0,0.44,0,0,0,0.659,0.114,65,1
0.26,0.78,0,4.09,1.13,0,0.43,0,0,0,0,0,0.08,0.08,0,0,0.042,0.709,0.056,126,1
0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,16,1
0,0.44,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433,0.361,16,1
0.42,0.08,0.08,1.63,0.08,0,0.34,0,0,0,0,0,0,0,0,0.17,0,0.287,0.223,62,1
0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,1.806,0,5,1
0,0.4,0.1,0.2,0.91,4.26,0.2,0,0,0,0,0,0,0,0,0,0,0.336,0.16,494,1
0,0,0,2.8,0,0.93,0,0,0,0,0,0,0,0,0,0.93,0,0.464,0.154,10,1
0.05,0.63,0,0.23,0.58,2.61,0.34,0,0,0,0,0,0,0,0,0,0,0.13,0.186,131,1
0,0.63,0.31,0.63,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,40,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699,0.932,39,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
0,0,0.91,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0,10,1
0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.132,0.354,0,14,1
0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.44,1.33,1.33,0.22,1.11,0,0,0,0,0,0,0,0,0.22,0,0,0,0.067,0.067,22,1
0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0.28,0.57,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.218,40,1
0.35,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0.35,0,0.35,0,0.24,0.24,25,1
0,0.33,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0.33,0,0.484,0,19,1
1.25,0,1.25,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0,29,1
0,1.23,0,0.15,0.3,0,0.3,0,0,0,0,0,0,0.46,0,0,0,0.615,0.025,13,1
0,0.93,1.86,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,2.306,0.164,29,1
0,1.24,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0,14,1
0,0.87,0,0,0.43,0,0,0,0,0,0,0,0,0,0,1.31,0,0.577,0.216,90,1
0,0.38,0.38,0.77,0.77,0,0.38,0,0,0,0,0,0,0,0,0,0.255,0.51,0,62,1
0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.291,11,1
0,0.09,0.19,0.09,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0.586,0.189,31,1
0.55,2.23,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0.088,0.353,11,1
0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,42,1
0.1,0.07,0,0.1,0.17,0.03,0.17,0,0,0,0,0,0,0,0.03,0,0,0.006,0.065,46,1
0,1.13,0.56,0.56,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0.768,0,296,1
0,1.51,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.01,0,0.089,0.178,53,1
0,0.43,0.08,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0.028,0.092,0.014,48,1
0,1.57,0.06,0.12,0,0.24,0.06,0,0,0,0,0,0,0,0,0.06,0,0.01,0.167,12,1
0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,26,1
0.56,1.12,2.25,0.56,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.502,0,148,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,5,1
0,0.62,0.62,1.88,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,11,1
0,0.76,0.38,0,0.38,0,0,0,0,0,0,0,0,0,0,0.38,0,0.117,0,12,1
0,2.94,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0.671,0,12,1
0,0,0,0,0,0.87,0.29,0,0,0,0,0,0,0,0,0,0,1.434,0,64,1
0,0,0,0,0,0.86,0.28,0,0,0,0,0,0,0,0,0,0,1.385,0,64,1
0,0.38,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663,0,11,1
0,0.75,0.5,1.01,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.432,0.432,19,1
0.44,0.14,0.03,0.67,0.22,0,0.63,0,0,0,0,0.03,0,0,0,0.07,0,0.613,0.532,763,1
0.65,0.65,1.31,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0.104,0.522,0,11,1
0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,43,1
0,0.28,0,0.28,0,1.98,0.84,0,0,0,0,0,0,0,0,0,0,1.294,0.043,47,1
0,0,0.41,0.41,1.65,0,0.82,0,0,0,0,0,0,0,0,0,0,0.904,5.3,92,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561,0,23,1
0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,1.326,0,11,1
0.47,0.94,0.94,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0.074,0,0,11,1
0.19,1.07,0.19,0.58,0,0.68,0.29,0,0,0,0,0,0,0.09,0,0,0.194,0.404,0.224,49,1
0.46,1.38,0,0.92,0.92,0.46,0.46,0,0,0,0,0,0,0.46,0,0,0,0.795,0.217,66,1
0,2.63,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1
0,1.09,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0.166,0.083,114,1
0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0.81,0,0,0.61,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.158,0.063,31,1
0.28,0.12,0.16,0.32,0,0,0.53,0.04,0,0,0,0,0,0,0,0,0,0.507,0.493,133,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0,0.71,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931,0,117,1
0.27,1.09,0,0.54,0.27,0,0.54,0,0,0,0,0,0,0,0,0,0,0.085,0.128,20,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0.392,0.196,22,1
0,0.63,0.31,0.63,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,40,1
0,0,0,0.52,1.05,0,0.52,0,0,0,0,0,0,0,0,0,0,2.295,0.698,14,1
0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0.421,0.21,17,1
0,0,1.23,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,1.949,0,8,1
0.19,0.19,0,0.31,0.38,0.69,0.76,0,0,0,0,0,0,0.12,0,0,0.054,0.439,0.241,45,1
0.26,0.53,0.44,0.79,0.62,0.17,0.08,0,0,0,0,0,0,0.08,0,0.08,0,0.225,0.211,583,1
0,0,0,0,0.68,0,0,1.36,0,0,0,0,0,0,0,0,0,0.309,0,4,1
0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178,0,17,1
0,0.78,0,0.19,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.032,15,1
0,0.47,0.15,0.63,0,1.58,0.47,0,0,0,0,0,0,0.15,0,0.15,0,1.3,0.127,97,1
0,1.31,1.31,1.31,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0.117,0.117,186,1
0.5,1.25,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0.095,0.031,0,114,1
0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.39,0.39,0,0.78,3.54,0,0,0,0,0,0,0,0,0,0,0.39,0,0.843,0.129,42,1
0,3.09,1.03,1.03,2.06,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,65,1
0,0,0,0.82,0.41,0,0,0,0,0,0,0,0,0,0,0,0.331,0.199,0,18,1
0,3.98,0,0.88,0.88,0.44,0,0,0,0,0,0,0,0,0,0,0,0.064,0.128,23,1
0,0.38,0.38,0,0.38,0,0.38,0,0,0,0,0,0,0,0,0,0,0.123,0,12,1
0,0.53,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0.095,0.478,60,1
0,1.16,0,0.58,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0.02,0.02,0,0.35,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,0.112,0.018,489,1
0,0.26,0.26,0,0,0,0,0,0,0,0,0,0.52,0.26,0,0,0,0.077,0,29,1
