@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R9,16,22-23,25,27,31,34,39-40,43,46,49-52,54-56,58'

@attribute Word_freq_order numeric
@attribute Word_freq_free numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_george numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0.14,0,0.43,0,0,0,0,0,0,0,0,0,0.132,0,0.372,0.048,5.114,101,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,3,15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,0,2.45,11,1
0.92,0,0,0,0,0,0,0,0,0,0.3,0,0,0.271,0,0.181,0.022,9.744,445,1
0,0.65,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0.091,0,2.687,66,1
0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0.75,0,3.851,121,1
0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.051,0,0.207,0,2.132,30,1
0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1.318,0,5.301,130,1
0,0.26,0,0.19,0,0,0,0,0,0,0,0,0.036,0.084,0,0.278,0.084,3.887,40,1
0.06,0,0,0.19,0,0,0,0,0,0,0,0,0.04,0.03,0,0.244,0,1.732,43,1
0,0.23,0,0,0,0,0,0,0,0,0,0,0.043,0.043,0,0.175,0,1.294,11,1
0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0.197,0.024,5.038,280,1
0,0.38,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0.061,0,1.775,20,1
0.56,0.22,0,0.59,0,0,0,0,0,0,0,0,0,0.075,0,0.612,0.137,7.3,763,1
0.25,0.25,0,1.13,0,0,0,0,0,0,0.12,0,0.019,0.379,0.159,0,0,4.155,38,1
0,0.38,0,0.38,0,0,0,0,0,0,0,0,0,0.299,0,0.598,0,4.523,78,1
1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0,48.5,186,1
0,0,8.58,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0.232,7.313,99,1
0,0.43,6.75,0,0.21,0,0,0,0,0,0,0,0,0,0.073,0.146,0.183,6.233,99,1
0,0,0,1.38,0,0,0,0,0,0.46,0,0,0,0.49,0,0.081,0,3.4,12,1
0,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.567,0.049,5.425,132,1
