@relation spambase

@attribute Word_freq_3d numeric
@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_you numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Spam {1,0}

@data
0,1.66,0,0.41,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.58,0.09,0.48,0.38,0.77,0,0.09,0,0,0.09,0,0,0.09,0,0.559,0.047,0.031,1
0,0.9,0.9,0,0,5.45,2.72,0,0,0,0,0,0,0,0,2.143,0.612,0.459,1
0,0.29,0.29,0.87,0,2.61,0,0,0,0,0,0,0,0,0,0.14,0,0.14,1
0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,4.733,0,0,1
0,0.28,0,1.41,0,0.84,0,0.28,0,0,0,0,0,0,0,1.294,0.043,0,1
0,0,0.9,0,0,1.81,0,0,0,0,0,0,0,0,0,0.546,0,0,1
0,0.43,0.86,1.3,0,0.43,0,0,0,0,0.43,0,0,0,0,0,0.063,0,1
0,0.81,0,0.54,0.27,2.17,0,0,0,0,0,0,0,0,0,0.565,0.121,0,1
0,0.27,0,0.93,0.1,2.85,0,0.21,0,0,0.1,0,0,0,0,0.019,0.058,0.009,1
7.18,0,0.31,0,0,0.93,0.31,0,0,0,0,0.31,0,0,0,0.61,0,0.122,1
0,1.18,0.23,0.47,0.23,2.83,0,0,0,0,0,0,0,0,0,0.072,0.108,0,1
0.04,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,1.542,1.785,1.998,1
0,0.7,0.35,0,0,4.25,0,0,0,0.35,0,0,0,0,0,0.397,0,0,1
0,0.23,0,1.9,0,3.81,0,0,0,0,0,0,0,0,0,1.046,0.037,0,1
0,0,0.06,0.79,0.19,3.5,0,0.06,0,0,0,0.06,0,0,0,0.101,0.101,0.202,1
0,0.4,0.81,0.4,2.04,0.81,0,2.04,0,0,0.4,0,0,0,0,0.64,0.8,0,1
0,0,0,0.38,0.38,2.11,0,1.34,0,0,0,0,0,0,0,0.438,0.191,0.054,1
0,0.4,0.1,0.5,0,1.72,0,0.4,0,0,0,0,0,0,0,0.336,0.16,0,1
0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.73,0,0.36,0,0.73,0,0,0.36,0,0,0,0,0,0.36,0,0,0,1
0,2,0,2,1.33,3.33,0,0,0,0,0,0,0,0,0,0.111,0,0,1
0,0.77,0,1.55,0,2.32,0,0,0,0,0,0,0,0,0,0.672,0.403,0,1
