@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R4,7,14-15,21,24-25,28-30,33,42,44-48,50-51,53,56-58'

@attribute Word_freq_3d numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_report numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_your numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_data numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Word_freq_conference numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0.96,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,1
0,0.18,0,0.18,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,4,70,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,0,9,23,1
0,0.15,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0.016,0.046,66,2259,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,12,28,1
0,0,0,0,1.68,0,0,0,0,0,0,0,0,0.42,0,0,0,0.066,0,0,121,284,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,0.1,59,141,1
0,0,0,0,1.58,0,0,0,0,0,0,0,0,0.79,0,0,0,0.268,0,0,26,107,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518,0.414,0,17,191,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,0,0,22,66,1
0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,0,6,78,1
0,0,0,0,1.53,0,0,0,0,0,0,0,0,0.51,0,0,0,0.09,0,0,19,146,1
0,0.59,0,0,1.19,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,170,1
0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,23,36,1
0,1.12,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0,0.33,140,190,1
0,0.45,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,46,117,1
0,0.34,0,0.34,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,13,119,1
0,0,0,2.31,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0.816,12,102,1
0,0.93,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,46,96,1
0,0,0,0,2.41,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,12,101,1
0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0.253,68,180,1
0,1.09,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0,0.321,140,212,1
0,0.08,0,0.17,0.94,0.34,0,0,0,0,0,0,0,0.17,0,0,0,0.063,0,0.223,62,537,1
0,0.32,0,0,3.25,0.32,0,0,0,0,0,0,0,0.32,0,0,0,0.104,0,0.157,10,143,1
0,0.16,0,0.16,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,132,955,1
0,1.69,0,0,2.54,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,418,519,1
0,0.08,0.17,0,3.14,0.08,0,0,0,0,0,0,0,0,0,0,0,0.081,0.027,0.013,48,1140,1
0,0,0,0,1.12,0.22,0,0,0,0,0,0,0,0,0,0,0,0.258,0,0.193,71,617,1
