@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1-3,7,9,15-17,22,28,30,40,48-50,53,56-58'

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_all numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_font numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_conference numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0.64,0.64,0,0,0,0.32,0,0,0,0,0,0,0,0,0,61,278,1
0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0.022,0.044,0,11,184,1
0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0.045,0.091,11,89,1
0,0,0,0.26,0,0,0.26,1.56,0,0,0,0,0,0,0.073,0.036,38,339,1
0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,1
0.73,0.36,0.73,0.73,0.36,0,1.1,0.36,0,0,0,0,0,0,0.111,0.333,30,176,1
0,0.59,0,0.59,0,0,0,0,0,0,0,0,0,0,0.257,0,66,249,1
0,0,0.46,0.93,0,0,1.39,0,0,0,0,0,0,0.069,0,0,8,75,1
0.66,0,0.66,0,0,0,1.98,1.32,0,0,0,0,0,0,0,0,34,121,1
0,0.44,0.89,0,0,0,0.44,0,0,0,0,0,0,0,0.073,0,121,281,1
0,0.41,0.2,0.2,0,0,0.83,0.2,0,0,0,0,0.2,0,0,0,15,175,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,114,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0.611,0,22,66,1
0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,60,74,1
0,0,0.76,0.76,0,0,0,0,0,0,0,0,0,0,0,0.177,79,211,1
0.05,0.3,0.4,0,0.1,0.05,0,0,0,0,0,0,0,0,0.045,0.118,96,588,1
0,0,0,0.4,0,0,0,1.6,0,0,0,0,0,0,0,0.212,13,114,1
0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0.279,23,36,1
0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,34,108,1
0,0,0.54,0,0,0,0.54,0,0,0,0,0,0,0,0.096,0,16,130,1
0.44,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0.144,28,153,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,7,68,1
2.12,0,0,0,0,0,1.59,0.53,0,0,0,0,0,0,0.467,0.186,85,240,1
0.54,0,1.08,1.08,0,0,0.54,0.54,0,0,0,0,0,0,0,0.252,68,181,1
0,0,0.39,0,0,0,0.39,0.78,0,0,0,0,0,0,0.062,0.186,78,256,1
0.22,0.22,0.22,0.44,0.22,1.11,0.44,0,0,0,0,0.44,0,0,0,0.15,1038,1733,1
0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,18,57,1
0.26,0.26,0.52,0.39,0,0,1.57,0,0,0,0,0,0,0,0.129,0.021,49,476,1
