@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1,3,6-10,16,20,23,25,28,30,33,40,43-44,46,51-53,56,58'

@attribute Word_freq_make numeric
@attribute Word_freq_all numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_data numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_edu numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0.21,0.5,0.28,0.21,0.07,0,0.94,0.14,0,0.43,0,0,0,0,0,0,0,0,0,0.372,0.18,101,1
0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0.15,0.46,0,0.3,0,0.92,0.76,0,3.53,0,0,0,0,0.15,0,0.3,0,0,0,0.181,0.203,445,1
0,0,0,0.65,0,0,0,0.65,5.22,0,0,0,0,0,0,0,0,0,0,0.091,0,66,1
0,1.66,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.75,0,121,1
0.3,0,0.92,0,2.45,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.207,0.207,30,1
0.15,1.05,0,0,1.81,0.6,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1.318,0.068,130,1
0.46,0.26,0.33,0.06,0.33,0,1.12,0.26,0,0.19,0,0,0,0,0,0,0,0,0,0.278,0.23,40,1
0.06,0.77,0.32,0.38,0,0.06,0,0,0.06,0.19,0,0,0,0,0,0,0.06,0,0,0.244,0.071,43,1
0.23,0.47,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.175,0,11,1
0,0.23,0,0.23,0,0,0.95,0.23,0,0,0,0,0,0,0,0,0,0,0,0.197,0,280,1
0,0.38,0.76,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0.061,0.061,20,1
0.59,0.29,0.03,0.03,0.14,0.56,0.67,0.22,0,0.59,0,0,0,0,0,0,0,0,0,0.612,0.531,763,1
0.12,0.63,0,0.12,0.5,0.25,3.9,0.25,0.25,1.13,0,0,0,0,0,0.12,0,0,0.159,0,0.119,38,1
0,0.38,0,0.38,0,0,1.14,0.38,0,0.38,0,0,0,0,0,0,0,0,0,0.598,0.179,78,1
0,0,0,1.31,1.31,1.31,1.31,0,1.31,0,0,0,0,0,0,0,0,0,0,0.117,0.117,186,1
0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0.185,99,1
0,0,0,0,0,0,0.65,0.43,0,0,0.21,0,0,0,0,0,0,0,0.073,0.146,0.146,99,1
0.46,0.46,0,0,0.46,0,0,0,0,1.38,0,0,0,0,0.46,0,0,0,0,0.081,0.816,12,1
0,0.61,0,0.15,0,0,0.45,0.15,0.15,0,0,0,0,0,0.15,0,0,0,0,0.567,0.024,132,1
0,0,0,0,2.04,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0.969,0,18,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.754,0,1,1
0.17,0.08,0.08,0.08,0.42,0.08,0.08,0,0,0.34,0,0,0,0,0,0,0,0,0.027,0.095,0.013,48,1
0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,1.417,223,1
0.07,0.15,0.2,0,0.02,0.15,0,0.05,0,0.37,0,0,0,0,0.02,0.02,0,0,0,0,0.022,20,1
1.03,0.68,0,0.68,0,0,0.68,0.68,0,0.34,0,0,0,0,0,0,0,0,0,0.366,0.061,12,1
0,0.42,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.082,42,1
0.14,0.29,0,0,0,1.17,0.29,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0.204,0.127,73,1
0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531,0,28,1
0,0.34,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0.718,0,61,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0.153,0,11,1
0.08,0.76,1.02,0.25,0.17,0.59,0.08,0.25,0.17,0.85,0,0,0,0,0.08,0.17,0.08,0.08,0,0.42,0.114,669,1
0.76,0.38,0.12,0,0.25,0.76,0.31,0.38,0.69,0.44,0,0,0,0,0.12,0.06,0,0,0.053,0.429,0.236,45,1
0.08,0.93,0.33,0,0.08,0.67,0,0.08,0.16,1.1,0,0,0,0,0.16,0.16,0,0.08,0,0.356,0.101,669,1
0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.524,0,7,1
0,0.72,0,0.12,0,0,0.36,0.12,0.12,0,0,0,0,0,0.12,0,0,0,0,0.34,0,158,1
0,0.43,0,0,0,0,0,0.43,0,0.43,0,0,0,0,0,0,0,0,0,0.577,0.216,90,1
0.16,0.67,0.16,0.33,0.84,0.16,0.5,0,1.68,0,0,0,0,0,0.16,0,0,0,0,1.118,0.054,63,1
0,0.76,0,0.5,0.5,0,1.01,0,0,0.76,0,0,0,0,0.5,0,0,0,0,0.412,0.412,19,1
0.31,0.31,0,0.31,0,0.31,0.31,0.94,0,0,0,0,0,0,0,0,0,0,0,0.89,0.046,138,1
0,0,0,0,1.08,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0.389,16,1
0.09,0.36,0,0.09,0,0.55,0.27,0,0.55,0,0,0,0,0,0,0,0,0,0,0.341,0.085,103,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448,0,11,1
0,0,0.05,0,0.34,0,0,0,0,0.05,1.16,0,0,0.05,0,0,0,0,0,0,0.053,32,1
0,0.62,0,0.1,0,0.2,0.62,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.611,0.264,69,1
0.14,0.29,0,0,0,1.03,0.29,0,0.14,0,0,0,0,0,0,0,0,0,0,0.153,0.128,73,1
0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,11,1
0.41,0.61,0.61,0,0.82,0.2,0.2,0.41,1.65,0.2,0,0,0,0,0,0,0,0,0,1.689,0.132,102,1
0,1.02,0.34,0.34,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0.215,0,56,1
0,0.78,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0.092,20,1
0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,1
0,0.47,0,0.23,0,0.7,0.7,0.23,0,0,0,0,0,0,0,0,0,0,0,0.072,0.108,20,1
0,0.55,0.22,0.11,0,0.11,0.22,0,0,0.55,0,0,0,0,0,0,0,0,0,0.034,0.12,14,1
0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333,0,12,1
0,1.24,0.62,0,0,0,0,1.24,0,0.62,0,0,0,0,0,0,0,0,0,0.321,0.107,30,1
0,0.9,0,0,0,0,0,0.45,0,0.45,0,0,0,0,0,0,0,0,0,2.115,0.07,14,1
0,0.98,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.477,0,121,1
0.33,0.33,0,0.66,0,0,0,0.66,0,0.66,0,0,0,0,0,0,0,0,0,0.406,0.464,43,1
0,1.29,1.29,0,0,0,0,2.59,0,2.59,0,0,0,0,0,0,0,0,0,1.098,0,36,1
0.1,0.7,0.2,0.4,0.1,1.41,0.8,0.1,0.4,0,0,0,0,0,0,0,0,0,0.26,0.991,0.39,56,1
0,0.28,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.034,0,154,1
0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0,13,1
0,0.33,0.33,0.66,0,0,0.16,0.82,0,0.49,0,0,0,0.16,0,0,0,0,0.074,0.248,0.049,350,1
0.15,0.58,0.15,0.05,0.1,0,0.42,0,0,0.52,0,0,0,0,0,0,0,0,0,0.406,0.388,116,1
0,0.71,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0.256,0.128,0,11,1
0.1,0.7,0.2,0.4,0.1,1.41,0.8,0.1,0.4,0,0,0,0,0,0,0,0,0,0.265,0.977,0.397,56,1
0,0,1.27,0.42,0,0,0.42,0,0,3.38,0,0,0,0,0,0,0,0,1.171,0.244,0.39,363,1
0,0,0.74,1.12,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.223,0.223,10,1
0,0,0.63,0,1.58,0.31,0.63,0,0,0.31,0,0,0,0,0,0,0,0,0,0.206,0.206,76,1
