@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R6,11,14,18,24,27,30,35,39,43-44,47,51,53,55-58'

@attribute Word_freq_over numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_report numeric
@attribute Word_freq_email numeric
@attribute Word_freq_money numeric
@attribute Word_freq_george numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_table numeric
@attribute Char_freq3 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.19,0.38,0,1.03,0.06,0,0,0,0,0.12,0,0,0,0.184,9.821,485,2259,1
0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,3.537,40,191,1
0,0,0,0,0.42,0,0,0,0,0,0,0,0,0.063,5.659,55,249,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.142,12,29,1
0,0.48,0,0,0.48,0,0,0,0,0,0,0,0,0.294,4.85,47,194,1
0,0.3,0.3,0,0.3,0,0,0,0,0,0,0,0,0.351,3.884,66,303,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.243,5.13,78,236,1
0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,3.639,61,313,1
0,0,0,0.82,0.41,0,0,0,0,0,0,0,0,0.527,3.166,19,114,1
0.64,0,0,0,0,0,0,0,0,0,0,0,0.284,0,10.068,131,292,1
0.79,0,0,0,0,0,0,0,0,0,0,0,0.347,0,5.793,22,168,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,22,66,1
0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,102.666,304,308,1
0.08,0,0.17,0.08,0.08,0,0,0,0,0,0,0,0.027,0.013,4.07,48,574,1
0.43,0.34,0,0,0.34,0,0,0,0,0,0,0,0,0.259,3.335,62,537,1
0.87,0,0,0,0.43,0,0,0,0,0,0,0,0,0,5.114,107,179,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.403,19,137,1
0,0,0,0.46,0,0,0,0,0,0,0,0,0,0.816,3.4,12,102,1
0.64,0,0,0,0.32,0,0,0,0,0,0,0,0,0.159,1.537,10,143,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.021,16,95,1
1.12,1.12,0,0,0,0,0,0,0,0,0,0,0,0,2.6,15,39,1
0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,12.055,117,217,1
0,0.15,0,1.27,0,0,0,0,0,0,0,0,0,0.707,5.423,51,1128,1
0,0,0,0.69,0.23,0,0,0,0,0,0,0,0.036,0.036,1.862,52,285,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,2,16,36,1
0.94,0,0,0,0.18,0.18,0,0,0,0,0,0,0,0.107,2.623,35,244,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,28,87,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,11,56,1
