@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_all numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_font numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_conference numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403,0,12,75,1
0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,2.013,0,28,42,1
0.54,0.13,0.38,0,0.35,0.13,0.19,0.43,0,0,0,0,0,0,0.086,0.15,195,3327,1
1.18,0.39,0.59,0.19,1.38,0,0.98,0,0,0,0,0,0,0,0.232,0.31,76,632,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,10,44,1
0.14,0.14,0.29,0,1.02,0,0,0,0,0,0,0,0,0,0.204,0.153,73,368,1
0,1.47,0,1.47,0,0,1.47,1.47,0,0,0,0,0,0,0.338,0.169,140,170,1
0.15,0.21,0.58,0.05,0,0.05,0,0,0,0,0,0,0,0.027,0.184,0.388,116,1589,1
0,0,0.96,0,0,0,0.96,0,0,0,0,0,0,0,0.086,0.086,4,38,1
0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.046,0,0.322,49,278,1
0.41,0,0.41,0,0,0,0.41,0,0,0,0,0,0,0,0,0.149,335,450,1
0.14,0,0.29,0.14,0,0.14,0.29,1.46,0,0,0,0.43,0,0,0.097,0.024,12,217,1
0,1.5,1.5,0,0.75,1.5,0,1.5,0,0,0,0,0,0,0,1.223,412,537,1
0,0,0,0,0,0,2.94,0,0,0,0,0,0,0.355,0.355,0,12,28,1
0,0,0.48,0.48,0,0,0,0.96,0,0,0,0,0,0,0.163,0,17,95,1
0.89,0,0.89,1.78,0,0,0,0,0,0,0,0,0,0,0,0,16,84,1
0,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0.104,0,7,75,1
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.609,0,1,36,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,134,1
0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0.208,0.312,192,543,1
0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0.064,0.258,0.064,25,135,1
0.21,0.1,0.52,0,0.42,0,0,0.52,0,0,0,0,0,0,0.028,3.305,193,1016,1
0,0.33,1.34,1.34,0,0,0.67,0.67,0,0,0,0.33,0,0,0.161,0,12,167,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,1
0.36,0,1.09,0,0,0,0,0,0,0,0,0,0,0.063,0.126,0.126,35,123,1
0.43,0,0.43,0.86,0,0,0,0.86,0,0,0,0,0,0.14,0,0,47,144,1
0,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,39,305,1
0,0,0.71,0.35,0,0,0.35,0,0,0,0,0,0,0,0.057,0.171,34,229,1
0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0.125,0.062,8,65,1
0,0,0.38,0,0.19,0,0,0.19,0,0,0,0.19,0,0,0.031,0,105,312,1
0.1,0.2,1.01,0.5,0.8,1.61,0.1,0,0,0,0,0,0,0,0.11,0.158,669,1351,1
