@relation spambase

@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_free numeric
@attribute Word_freq_your numeric
@attribute Word_freq_font numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_conference numeric
@attribute Char_freq1 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0,1.29,0.43,0.43,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,8,1
0.29,0.14,0,0.14,0.58,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.046,132,1
1.32,0,0.36,0,3.01,0,0,0,0,0.12,0,0,0,0.12,0,0.12,0,0,0,0,0,0,0,0,34,1
0.17,0.35,0,0.35,1.97,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1
0.31,0,0,0.31,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,61,1
0,0.17,0.52,0,0.7,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.235,39,1
0.51,0,0.51,0,2.56,0,0,0,0,0,0,0,0,0,0.51,0.51,0,0,0,0.51,0,0,0,0,60,1
0.55,0.18,0.18,0,0.37,0,0,0,0,0.55,0,0,0.74,0,0,0,0,0,0,0,0,0,0,1.625,11,1
0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
2.17,0,0,2.17,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
1.36,0.45,0,0.45,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1
0.27,0,0.27,1.11,0.97,0,0.69,0,0,0,0,0,0,0,0,0.06,0,0,0,0.13,0,0,0,0,94,1
0,0,0,0,1.35,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1
0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1
0,0,0.25,0.25,1.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1
0.36,0,0.18,0,3.27,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0.015,0.031,69,1
0,0,0,2.59,1.29,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439,36,1
3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1
0.94,0.94,0,0,0.47,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,11,1
1.18,0.23,0.35,2.13,0.35,0,0.11,0,0,0,0,0,0.35,0,0,0.11,0,0,0,0,0,0,0,0.21,283,1
0.21,0.1,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1
0.3,0.15,0,0.92,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.02,45,1
0.89,0,0,0.44,1.78,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0.075,28,1
0.67,0.67,0,0.67,2.18,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,525,1
1.93,0,0,1.29,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
0.63,0.31,0.31,0.31,3.19,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0.054,10,1
0,0,0,0.86,1.73,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.08,159,1
0.19,0,0.25,0.38,1.26,0,0.76,0,0,0,0,0,0,0,0,0.12,0,0.06,0,0,0,0,0,0.065,45,1
0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
0.45,0.45,0,1.81,1.36,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0.45,0,0,0,0,71,1
0.54,0.27,1.08,0,1.36,0,0.27,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0.27,0,0,0,19,1
0,0.19,0.19,0.98,1.38,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,76,1
0.53,0,0.26,0.53,0,9.33,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.157,107,1
0.75,0.5,0.25,0,1.51,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,19,1
0.42,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,14,1
0.47,0,0.47,0.47,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,636,1
0.4,0,0,0.2,1.21,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.021,0.01,144,1
0,1.15,0,0.38,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
0.77,0.51,0.51,0,1.54,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,19,1
