@relation tae

@attribute Course numeric
@attribute Class {1,2,3}

@data
3,1
2,1
11,1
8,1
20,1
3,1
3,1
15,1
2,1
3,1
1,1
1,1
1,1
7,1
2,1
3,1
8,1
3,1
2,1
4,1
2,1
1,1
2,1
9,1
3,1
3,1
1,1
3,1
2,1
16,1
3,1
10,1
3,1
7,1
1,1
11,1
7,1
5,1
1,1
2,1
3,1
15,1
16,1
2,1
2,1
8,2
3,2
23,2
11,2
17,2
18,2
3,2
17,2
1,2
7,2
25,2
13,2
11,2
3,2
17,2
3,2
3,2
13,2
25,2
7,2
3,2
17,2
17,2
2,2
13,2
6,2
1,2
8,2
11,2
26,2
16,2
15,2
3,2
1,2
7,2
9,2
17,2
9,2
3,2
3,2
2,2
15,2
7,2
15,2
15,2
3,3
3,3
3,3
3,3
3,3
21,3
3,3
15,3
3,3
2,3
3,3
3,3
25,3
21,3
3,3
22,3
3,3
2,3
6,3
2,3
3,3
3,3
21,3
3,3
19,3
5,3
3,3
17,3
3,3
3,3
17,3
3,3
17,3
2,3
1,3
11,3
22,3
11,3
11,3
17,3
3,3
15,3
3,3
1,3
14,3
3,3
