@relation tae

@attribute Instructor numeric
@attribute Class {1,2,3}

@data
21,1
4,1
16,1
16,1
3,1
10,1
4,1
12,1
15,1
3,1
14,1
16,1
11,1
13,1
14,1
18,1
23,1
20,1
5,1
10,1
13,1
2,1
8,1
18,1
5,1
13,1
8,1
22,1
23,1
22,1
11,1
19,1
5,1
23,1
7,1
15,1
10,1
2,1
18,1
20,1
17,1
13,1
14,1
22,1
7,2
23,2
1,2
18,2
25,2
22,2
13,2
1,2
7,2
25,2
22,2
14,2
7,2
22,2
25,2
7,2
8,2
6,2
15,2
12,2
7,2
6,2
23,2
1,2
24,2
22,2
22,2
13,2
6,2
9,2
25,2
2,2
15,2
8,2
9,2
13,2
20,2
6,2
6,2
14,2
20,2
23,2
17,2
14,2
6,2
5,3
23,3
7,3
13,3
13,3
22,3
23,3
6,3
14,3
7,3
23,3
22,3
23,3
8,3
15,3
23,3
15,3
23,3
9,3
1,3
13,3
14,3
9,3
22,3
10,3
10,3
9,3
15,3
5,3
23,3
18,3
23,3
20,3
10,3
9,3
23,3
13,3
9,3
18,3
10,3
18,3
18,3
13,3
23,3
15,3
16,3
6,3
