@relation tae

@attribute Course numeric
@attribute Size numeric
@attribute Class {1,2,3}

@data
9,29,1
2,26,1
8,36,1
3,27,1
16,21,1
20,15,1
10,27,1
11,30,1
5,19,1
11,30,1
2,48,1
2,42,1
2,3,1
2,42,1
2,37,1
2,37,1
7,48,1
15,32,1
1,31,1
4,10,1
5,19,1
3,13,1
1,19,1
1,29,1
7,23,1
3,12,1
15,38,1
3,13,1
3,12,1
18,29,1
2,48,1
2,37,1
16,21,1
3,24,1
3,19,1
8,36,1
3,38,1
7,34,1
1,51,1
1,66,1
15,38,1
3,11,1
1,31,1
1,51,1
17,37,2
3,24,2
25,42,2
3,20,2
3,10,2
17,43,2
15,38,2
1,20,2
2,25,2
7,23,2
15,18,2
12,16,2
11,10,2
23,17,2
13,37,2
15,22,2
7,23,2
16,22,2
25,42,2
7,27,2
26,21,2
11,10,2
11,13,2
8,18,2
6,5,2
13,37,2
9,31,2
15,22,2
3,46,2
15,38,2
17,42,2
24,20,2
1,42,2
17,42,2
3,24,2
3,20,2
3,10,2
17,35,2
2,14,2
9,31,2
13,27,2
17,43,2
3,15,2
8,24,2
18,44,2
3,45,3
17,39,3
15,31,3
3,19,3
3,27,3
3,20,3
15,36,3
11,55,3
17,31,3
3,58,3
3,17,3
3,20,3
3,20,3
2,33,3
14,17,3
25,25,3
6,7,3
1,30,3
3,20,3
5,19,3
21,19,3
3,11,3
3,58,3
5,19,3
2,39,3
3,17,3
3,27,3
3,38,3
1,54,3
21,29,3
1,30,3
3,25,3
11,55,3
22,9,3
3,29,3
19,11,3
2,33,3
3,21,3
3,49,3
22,9,3
22,17,3
3,49,3
3,20,3
11,20,3
17,19,3
3,17,3
5,24,3
