@relation 'optdigits-weka.filters.unsupervised.attribute.Remove-V-R13,16-18,22,26-29,33,36,39,42,44,46,49,51,54,59,63,65'

@attribute Atr-12 numeric
@attribute Atr-15 numeric
@attribute Atr-16 numeric
@attribute Atr-17 numeric
@attribute Atr-21 numeric
@attribute Atr-25 numeric
@attribute Atr-26 numeric
@attribute Atr-27 numeric
@attribute Atr-28 numeric
@attribute Atr-32 numeric
@attribute Atr-35 numeric
@attribute Atr-38 numeric
@attribute Atr-41 numeric
@attribute Atr-43 numeric
@attribute Atr-45 numeric
@attribute Atr-48 numeric
@attribute Atr-50 numeric
@attribute Atr-53 numeric
@attribute Atr-58 numeric
@attribute Atr-62 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
11,0,0,0,14,0,3,4,14,0,16,10,2,16,0,0,2,0,9,0,7
11,0,0,3,15,11,16,16,16,0,4,2,0,0,4,0,0,0,0,0,4
15,0,0,4,13,1,14,6,9,0,0,0,0,6,6,0,5,8,10,16,2
10,0,0,7,12,2,12,11,10,0,0,4,0,0,16,0,0,11,0,0,9
0,0,0,1,0,2,16,8,6,0,9,2,0,4,9,0,11,16,4,1,6
7,0,0,10,8,4,16,16,15,0,6,7,1,0,4,0,16,14,7,0,8
16,0,0,0,11,2,8,16,16,0,13,0,0,5,7,0,0,4,0,1,1
12,0,0,1,14,0,0,9,16,0,16,1,0,3,16,0,2,16,5,0,3
9,0,0,0,15,0,0,3,14,0,16,4,0,1,12,0,1,14,7,1,3
13,0,0,0,16,4,13,10,15,0,14,4,0,15,0,0,9,0,12,0,7
8,0,0,5,15,6,16,16,15,0,5,0,0,1,7,0,0,0,0,0,9
8,0,0,4,10,0,1,10,16,0,11,8,0,0,11,0,4,15,4,0,3
15,0,0,0,4,0,0,0,13,0,7,0,1,16,0,0,16,6,8,7,2
5,0,0,7,14,1,12,13,14,0,15,0,0,13,15,0,12,16,5,0,8
5,0,0,0,14,1,11,12,14,0,11,7,0,13,0,0,4,0,12,0,7
8,0,0,0,8,0,0,13,16,0,2,7,0,0,13,0,2,13,7,0,3
7,0,0,2,0,5,15,0,0,0,16,4,2,11,10,0,7,12,1,3,6
11,0,0,0,1,5,16,9,0,0,14,9,6,12,16,0,0,8,0,0,4
14,0,0,12,15,11,12,1,0,0,0,14,6,0,9,0,14,16,5,1,0
7,0,0,0,16,7,16,7,9,0,16,11,1,10,8,0,0,0,0,0,4
8,0,0,0,16,0,0,5,16,0,8,7,0,0,15,0,2,8,10,0,3
13,0,0,1,5,0,4,16,9,0,16,0,0,4,16,0,8,13,9,7,3
1,0,0,0,0,0,10,9,0,0,8,0,1,12,12,0,8,0,0,12,6
12,0,0,0,8,0,0,2,14,0,16,4,1,16,8,0,11,0,16,0,7
16,0,0,0,5,0,8,15,2,0,6,5,11,13,16,0,11,10,0,0,4
9,0,0,0,14,0,0,0,1,0,4,1,10,16,12,0,2,0,8,0,7
2,0,0,5,16,5,9,0,8,0,0,8,7,0,4,0,15,15,6,0,0
16,11,0,0,14,0,0,1,8,0,15,7,0,9,8,0,0,3,0,0,7
16,0,0,0,0,0,10,14,1,0,6,12,13,12,16,0,16,16,4,0,4
15,0,0,0,13,4,16,0,0,0,0,6,8,1,13,0,16,16,9,0,0
14,0,0,3,16,0,3,4,3,0,0,4,0,0,11,0,0,5,0,0,9
10,0,0,0,0,0,0,12,12,0,0,0,0,0,14,0,0,15,12,0,5
12,1,0,0,13,0,0,0,5,0,12,9,0,15,3,0,3,0,9,0,7
10,0,0,15,0,8,11,1,0,0,13,0,0,5,5,0,6,14,4,0,5
14,0,0,8,13,0,0,0,14,0,11,0,0,15,0,0,12,9,2,7,2
16,0,0,6,10,4,8,9,16,0,0,4,0,0,16,0,0,16,0,3,1
16,0,0,10,16,2,4,1,7,0,0,10,0,0,16,0,0,16,0,2,1
13,0,0,3,11,0,0,0,4,0,12,11,0,11,11,0,0,5,0,0,7
4,0,0,5,12,4,12,0,0,0,0,7,3,0,16,0,16,11,6,0,0
15,0,0,0,0,1,14,9,0,0,0,7,12,12,15,0,15,12,0,0,4
14,0,0,7,9,0,0,5,15,0,15,0,0,14,0,0,16,6,9,5,2
5,0,0,0,16,4,15,5,8,0,12,6,14,16,14,0,0,0,0,0,4
12,0,0,5,0,8,16,16,14,0,0,0,0,0,1,0,8,0,9,0,5
6,0,0,3,16,0,14,16,16,0,14,0,0,14,12,0,12,16,9,0,8
13,0,0,2,16,8,9,0,0,0,0,8,0,3,8,0,6,11,0,2,0
10,0,0,4,16,2,15,16,16,0,16,0,0,9,16,0,10,16,2,0,8
13,0,0,5,0,6,16,16,15,0,2,3,0,0,16,0,4,8,14,0,5
13,0,0,6,12,9,14,7,14,0,12,0,0,0,16,0,0,16,2,4,9
9,0,0,0,12,3,12,0,2,0,14,7,0,0,12,0,0,10,2,0,9
16,0,0,3,0,0,0,5,16,0,14,0,0,15,0,0,13,9,16,12,2
8,0,0,14,0,9,14,0,0,0,10,0,0,15,0,0,11,1,11,0,5
0,0,0,10,0,11,2,12,4,0,12,0,0,16,0,0,11,6,16,9,2
13,0,0,8,0,4,16,16,14,0,4,0,0,0,15,0,7,13,15,9,5
15,0,0,6,11,7,15,10,16,0,11,3,0,0,13,0,0,14,10,0,9
4,0,0,2,0,5,16,15,15,0,1,3,0,0,14,0,7,16,11,0,5
16,0,0,4,16,6,16,0,0,0,0,8,4,1,14,0,14,15,4,0,0
8,0,0,3,0,5,16,16,16,0,0,3,0,0,15,0,3,16,11,1,5
