@relation 'titanic-weka.filters.unsupervised.attribute.Remove-V-R1,3-4'

@attribute Class numeric
@attribute Sex numeric
@attribute Survived {-1.0,1.0}

@data
0.965,0.521,-1.0
-1.87,0.521,-1.0
0.0214,0.521,1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
-1.87,-1.92,1.0
-0.923,-1.92,1.0
0.965,0.521,-1.0
-1.87,-1.92,1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
-1.87,0.521,-1.0
0.965,0.521,-1.0
0.0214,-1.92,1.0
-1.87,-1.92,1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
0.0214,-1.92,1.0
-0.923,-1.92,-1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
-0.923,0.521,-1.0
0.0214,0.521,-1.0
0.0214,-1.92,-1.0
0.965,0.521,-1.0
0.0214,-1.92,1.0
-1.87,-1.92,1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
0.0214,-1.92,-1.0
0.965,0.521,-1.0
0.0214,-1.92,-1.0
-1.87,-1.92,1.0
0.965,-1.92,1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
-1.87,-1.92,1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
-0.923,0.521,1.0
0.965,0.521,-1.0
0.0214,-1.92,-1.0
0.965,0.521,-1.0
-0.923,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
-0.923,0.521,-1.0
0.965,0.521,-1.0
0.965,-1.92,1.0
0.965,0.521,-1.0
-0.923,0.521,-1.0
0.0214,0.521,-1.0
-1.87,-1.92,1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.0214,-1.92,-1.0
0.0214,-1.92,-1.0
0.0214,-1.92,1.0
0.965,0.521,-1.0
-1.87,-1.92,1.0
0.965,0.521,-1.0
-1.87,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
-1.87,-1.92,1.0
-0.923,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
-1.87,0.521,1.0
-1.87,0.521,-1.0
