@relation crx

@attribute A10 {t,f}
@attribute A12 {f,t}
@attribute Class {positive,negative}

@data
f,f,positive
t,t,positive
f,t,positive
t,f,positive
t,f,positive
t,f,positive
t,t,positive
f,t,positive
f,t,positive
t,f,positive
t,f,positive
t,f,positive
t,f,positive
f,t,positive
f,t,positive
t,t,positive
t,t,positive
f,t,positive
t,t,positive
t,t,positive
t,t,positive
f,f,positive
f,t,positive
t,f,positive
t,t,positive
t,f,positive
t,f,positive
t,t,positive
t,f,positive
f,t,positive
t,t,positive
t,f,positive
t,f,positive
f,f,positive
f,t,positive
t,t,positive
t,t,positive
f,t,positive
t,t,positive
f,f,positive
t,t,positive
t,t,positive
t,f,positive
f,f,positive
f,f,positive
t,t,positive
t,t,positive
f,f,positive
t,f,positive
t,f,positive
t,t,positive
f,f,positive
t,t,positive
t,f,positive
t,t,positive
f,t,positive
t,f,positive
t,f,positive
t,f,positive
t,f,positive
t,f,positive
t,f,positive
f,f,positive
t,f,positive
t,f,positive
t,t,positive
f,f,positive
f,f,positive
t,f,positive
t,f,positive
t,f,positive
f,f,positive
t,t,positive
t,t,positive
t,f,positive
t,f,positive
f,f,positive
f,t,positive
t,t,positive
f,f,positive
f,f,positive
f,f,positive
t,t,positive
t,t,positive
f,t,positive
t,t,positive
f,t,positive
t,f,positive
f,f,positive
t,f,positive
t,t,positive
t,t,positive
t,f,positive
t,f,positive
t,t,positive
t,t,positive
f,t,positive
t,t,positive
t,t,positive
t,t,positive
f,f,positive
t,t,positive
t,f,positive
f,f,positive
f,t,positive
t,f,positive
t,f,positive
t,f,positive
f,t,positive
t,t,positive
t,f,positive
t,t,positive
t,t,positive
t,f,positive
t,t,positive
f,t,positive
f,f,positive
t,t,positive
t,t,positive
t,f,positive
t,f,positive
t,t,positive
t,t,positive
t,t,positive
t,t,positive
f,t,positive
f,f,positive
t,t,positive
f,f,positive
t,t,positive
t,f,positive
f,f,positive
t,t,positive
t,f,positive
t,f,positive
t,t,positive
t,f,positive
t,f,positive
t,f,positive
t,f,positive
f,f,positive
t,t,positive
f,f,positive
f,t,positive
f,t,positive
f,t,positive
t,f,positive
t,f,positive
t,f,positive
f,t,positive
t,f,positive
f,t,positive
f,f,positive
t,t,positive
f,f,positive
t,f,positive
t,f,positive
t,t,positive
f,t,positive
t,f,positive
t,t,positive
t,f,positive
t,f,positive
t,f,positive
f,f,positive
t,f,positive
f,f,positive
t,f,positive
t,f,positive
t,t,positive
t,f,positive
t,f,positive
f,f,positive
t,t,positive
t,f,positive
t,f,positive
t,t,positive
t,t,positive
t,t,positive
t,t,positive
f,t,positive
t,t,positive
t,t,positive
t,f,positive
t,f,positive
t,f,positive
t,f,positive
t,f,positive
t,t,positive
f,f,positive
t,f,positive
t,t,positive
t,t,positive
t,f,positive
f,f,positive
f,t,positive
t,t,positive
f,t,positive
f,t,positive
t,t,positive
t,f,positive
f,t,positive
t,t,positive
t,f,positive
t,f,positive
t,f,positive
t,t,positive
f,t,positive
t,f,positive
t,t,positive
f,f,positive
t,f,positive
t,f,positive
t,t,positive
f,f,positive
t,t,positive
f,f,positive
t,t,positive
t,t,positive
t,f,positive
t,f,positive
t,f,positive
f,f,positive
f,t,positive
t,t,positive
t,t,positive
t,f,positive
f,f,positive
f,t,positive
f,t,positive
t,f,positive
t,f,positive
f,t,positive
t,f,positive
t,t,positive
f,f,positive
f,t,positive
t,f,positive
t,f,positive
t,t,positive
f,f,positive
t,t,positive
t,f,positive
t,f,positive
t,t,positive
t,t,positive
t,t,positive
f,t,positive
t,f,positive
t,t,positive
t,f,positive
t,t,positive
t,t,positive
f,f,positive
t,t,positive
t,f,positive
