@relation crx

@attribute A1 {b,a}
@attribute A3 numeric
@attribute A6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A12 {f,t}
@attribute Class {positive,negative}

@data
a,925,c,t,t,t,positive
b,10125,x,t,t,f,positive
a,46,k,t,t,f,positive
b,55,e,t,t,t,positive
b,4,c,f,f,f,positive
b,45,x,f,f,t,positive
b,145,ff,t,t,t,positive
b,105,c,t,f,t,positive
b,446,cc,t,t,f,positive
b,3,m,t,t,f,positive
b,5125,x,t,t,f,positive
b,5,w,t,f,t,positive
a,9,aa,t,f,t,positive
b,1585,w,t,t,f,positive
a,3,aa,t,f,f,positive
a,13585,k,t,f,t,positive
b,54,x,t,t,t,positive
b,1,x,t,t,t,positive
b,171,x,t,t,t,positive
a,1125,x,t,t,f,positive
a,125,aa,t,t,t,positive
b,125,c,f,f,t,positive
b,5,c,t,t,f,positive
a,5,c,t,f,t,positive
b,65,q,t,f,t,positive
b,425,cc,t,t,t,positive
b,165,q,f,f,f,positive
b,9415,ff,t,t,t,positive
b,11125,x,t,t,f,positive
b,185,d,t,t,t,positive
b,65,m,t,t,t,positive
b,375,q,t,t,t,positive
b,11,w,t,t,f,positive
a,195,c,t,t,f,positive
b,1375,w,t,f,t,positive
b,5,q,t,t,t,positive
b,5,i,t,f,t,positive
b,12335,q,t,f,t,positive
b,25085,w,t,t,f,positive
b,1,q,t,f,t,positive
b,3,d,t,t,t,positive
a,95,w,t,t,t,positive
b,15,w,t,t,t,positive
b,504,q,t,f,t,positive
a,0,c,t,f,f,positive
a,8,e,t,t,f,positive
b,525,w,f,f,t,positive
b,375,m,t,t,f,positive
b,65,aa,t,t,f,positive
a,54,cc,t,f,f,positive
b,29,cc,t,t,f,positive
a,145,x,t,t,f,positive
a,1175,x,t,t,t,positive
a,13,i,t,t,t,positive
b,875,q,t,t,t,positive
b,205,i,t,f,f,positive
b,996,e,t,f,f,positive
a,446,q,t,t,f,positive
b,25,i,t,f,t,positive
b,1,c,t,f,f,positive
b,4,w,t,t,t,positive
b,4915,w,t,f,t,positive
a,14,ff,t,t,t,positive
b,3,cc,t,f,t,positive
a,4,j,t,f,f,positive
b,6,c,t,t,f,positive
b,105,q,t,f,f,positive
b,2,k,t,t,t,positive
a,954,aa,t,f,f,positive
b,2,m,t,t,t,positive
b,29,c,t,t,f,positive
a,12,c,t,t,f,positive
a,925,q,t,t,f,positive
a,4415,c,t,f,f,positive
a,1,i,t,f,t,positive
b,1835,c,t,t,f,positive
a,8665,aa,t,f,f,positive
b,165,c,t,t,t,positive
a,165,ff,t,t,f,positive
b,1479,aa,t,t,t,positive
a,835,q,t,t,f,positive
b,204,aa,t,t,t,positive
b,75,c,t,t,t,positive
b,9625,e,t,t,f,positive
b,12,m,t,f,f,positive
b,21,k,t,f,t,positive
b,1835,c,t,f,f,positive
b,20,x,t,t,t,positive
b,404,cc,t,t,f,positive
b,54,aa,t,t,f,positive
b,15,c,t,t,f,positive
a,15,e,t,t,f,positive
a,5,aa,t,t,f,positive
b,25125,x,t,t,t,positive
b,1125,x,t,f,f,positive
b,115,i,t,t,f,positive
b,8,m,t,t,t,positive
b,3335,w,t,t,f,positive
b,55,q,t,t,t,positive
b,1125,c,t,t,f,positive
b,35,aa,t,f,f,positive
a,12,q,t,t,f,positive
b,75,c,t,t,t,positive
b,875,m,t,t,t,positive
b,25,m,t,t,t,positive
a,3,c,t,t,t,positive
a,846,x,f,f,f,positive
b,171,x,t,t,t,positive
b,275,m,t,t,f,positive
b,22,ff,f,f,t,positive
b,585,cc,t,t,f,positive
b,604,k,f,f,f,positive
b,275,w,t,t,t,positive
a,1,c,t,t,f,positive
a,35,w,t,f,f,positive
b,11,e,t,t,t,positive
b,65,k,t,t,f,positive
a,55,q,t,f,t,positive
b,25,w,t,f,t,positive
b,25,k,t,t,f,positive
b,817,aa,t,t,f,positive
a,375,cc,t,t,t,positive
a,135,q,t,t,f,positive
a,2335,i,t,t,f,positive
b,5,k,t,f,f,positive
b,175,c,t,t,t,positive
a,65,q,t,t,t,positive
b,15,d,t,t,f,positive
b,2,i,t,t,f,positive
b,5,x,t,t,t,positive
a,5,q,t,f,f,positive
b,9,w,t,f,t,positive
b,25,c,t,t,t,positive
a,6,aa,t,t,f,positive
b,5625,w,t,f,f,positive
a,375,q,t,t,f,positive
b,11,q,t,t,t,positive
a,9,aa,t,t,f,positive
b,6625,d,t,f,t,positive
a,79,q,t,t,t,positive
b,979,x,t,t,f,positive
a,915,aa,t,t,f,positive
b,15,c,t,f,f,positive
a,375,c,t,t,t,positive
b,125,cc,t,t,t,positive
b,304,c,t,t,t,positive
b,0,c,t,f,f,positive
b,4,e,f,t,f,positive
b,2,x,t,t,f,positive
b,215,e,t,t,f,positive
a,1835,q,t,t,f,positive
b,479,w,t,t,t,positive
b,96,x,t,f,f,positive
b,55,k,t,f,f,positive
b,65,cc,t,t,f,positive
b,0,w,t,t,f,positive
b,95,q,t,f,t,positive
b,2229,e,t,t,t,positive
b,75,aa,t,t,f,positive
b,10,i,t,t,f,positive
b,16165,d,t,t,f,positive
b,5,c,t,t,f,positive
b,75,c,t,f,f,positive
b,4,c,t,f,t,positive
b,13915,w,t,t,t,positive
a,5665,q,t,t,f,positive
a,1233,cc,t,t,f,positive
a,10,c,t,t,f,positive
a,15,c,t,t,f,positive
a,254,aa,t,f,t,positive
a,10335,cc,t,t,t,positive
a,3,q,t,t,f,positive
b,45,w,t,t,t,positive
b,154,q,t,f,t,positive
a,11835,c,t,f,f,positive
b,425,i,t,t,f,positive
a,6,k,t,f,t,positive
a,75,q,t,t,f,positive
b,5,c,t,t,t,positive
b,95,m,t,t,f,positive
b,271,cc,t,t,f,positive
b,115,w,t,t,t,positive
a,15,e,t,f,f,positive
b,15,r,t,t,t,positive
b,11,cc,t,f,f,positive
b,42,c,t,t,f,positive
b,205,k,t,t,f,positive
b,104,r,t,f,t,positive
a,229,q,t,t,t,positive
a,754,q,t,t,f,positive
b,925,c,t,t,t,positive
b,1225,m,t,t,t,positive
b,83,c,f,f,t,positive
a,375,cc,f,f,t,positive
b,4625,q,t,f,f,positive
b,425,m,t,f,t,positive
