@relation crx

@attribute A7 {v,h,bb,ff,j,z,o,dd,n}
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A12 {f,t}
@attribute A14 numeric
@attribute Class {positive,negative}

@data
dd,t,t,5,t,99,positive
h,t,t,2,t,181,positive
v,t,f,0,t,260,positive
v,t,t,67,t,140,positive
v,t,t,4,t,200,positive
v,t,t,2,t,0,positive
v,t,f,0,f,100,positive
bb,t,t,12,t,410,positive
v,t,t,2,t,49,positive
v,t,t,2,t,120,positive
v,t,t,1,f,50,positive
h,t,t,6,f,400,positive
v,t,f,0,t,160,positive
bb,t,f,0,t,0,positive
bb,t,t,6,f,0,positive
v,t,f,0,t,52,positive
v,t,t,12,t,0,positive
v,t,t,4,f,380,positive
ff,t,f,0,t,0,positive
v,t,f,0,f,110,positive
v,t,t,3,t,0,positive
v,t,t,2,f,260,positive
n,f,f,0,f,200,positive
ff,t,t,15,f,0,positive
v,t,t,1,t,840,positive
h,t,t,12,t,93,positive
h,t,t,12,t,583,positive
h,t,f,0,t,393,positive
v,t,f,0,t,280,positive
z,t,t,1,t,0,positive
v,t,t,11,f,0,positive
v,t,t,5,t,480,positive
v,t,t,40,f,0,positive
v,t,t,1,t,80,positive
bb,f,f,0,f,216,positive
v,t,f,0,t,70,positive
bb,t,t,15,t,0,positive
v,t,t,5,t,160,positive
bb,t,t,16,f,117,positive
v,t,t,3,f,260,positive
v,t,t,9,f,250,positive
h,t,t,12,t,408,positive
h,t,f,0,f,340,positive
h,t,t,1,t,180,positive
v,t,t,7,t,96,positive
h,t,t,1,f,0,positive
h,t,f,0,f,0,positive
v,t,t,3,f,200,positive
v,t,t,7,f,150,positive
v,t,f,0,t,280,positive
v,t,t,1,t,395,positive
v,t,t,14,f,0,positive
v,t,t,1,t,371,positive
v,t,t,3,t,156,positive
v,t,t,4,f,0,positive
v,t,f,0,t,239,positive
h,t,t,3,f,0,positive
v,t,t,4,f,80,positive
v,t,t,6,t,70,positive
h,t,t,2,f,100,positive
v,f,t,1,f,560,positive
v,t,t,5,t,108,positive
h,t,f,0,t,164,positive
v,t,t,5,t,0,positive
v,t,f,0,t,0,positive
h,t,t,1,f,120,positive
v,t,t,5,t,120,positive
v,t,t,7,t,100,positive
v,t,f,0,t,260,positive
v,t,t,5,t,168,positive
v,t,t,1,t,520,positive
v,t,f,0,f,280,positive
v,t,t,15,f,0,positive
h,t,t,8,f,0,positive
z,t,t,7,t,22,positive
h,t,t,1,f,333,positive
h,t,t,4,t,253,positive
h,t,t,11,f,0,positive
ff,f,f,0,t,300,positive
v,t,f,0,t,225,positive
v,t,f,0,f,40,positive
v,t,f,0,f,0,positive
v,f,f,0,t,431,positive
h,t,f,0,t,24,positive
ff,t,t,11,t,0,positive
v,t,t,8,t,303,positive
v,t,t,5,t,100,positive
v,t,t,3,t,380,positive
bb,t,f,0,f,349,positive
v,f,f,0,f,100,positive
h,t,t,2,t,300,positive
v,t,t,7,f,0,positive
