@relation crx

@attribute A1 {b,a}
@attribute A3 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A13 {g,s,p}
@attribute Class {positive,negative}

@data
a,835,t,t,1,g,positive
a,1233,t,t,6,g,positive
b,104,t,t,6,g,positive
a,14,t,t,11,g,positive
b,621,t,t,1,g,positive
a,165,t,f,0,g,positive
b,1585,t,t,12,g,positive
a,6,t,f,0,g,positive
b,104,t,f,0,g,positive
b,175,t,t,5,g,positive
b,4,t,f,0,g,positive
a,135,t,t,2,g,positive
b,165,f,f,0,s,positive
b,1125,t,f,0,g,positive
b,15,t,f,0,g,positive
a,54,t,f,0,g,positive
b,275,t,t,5,g,positive
b,979,t,t,8,g,positive
a,8585,t,t,7,g,positive
a,5,t,t,4,g,positive
a,125,t,t,12,g,positive
b,375,t,t,8,g,positive
b,125,f,f,0,g,positive
b,16165,t,t,9,g,positive
b,15,f,f,0,g,positive
a,9,t,t,5,g,positive
b,95,t,f,0,g,positive
b,25,t,t,6,g,positive
b,85,t,t,1,g,positive
b,9,t,f,0,g,positive
b,5,t,f,0,g,positive
b,28,t,t,40,g,positive
a,11835,t,f,0,g,positive
b,10,t,f,0,s,positive
a,204,t,t,23,g,positive
b,15,t,t,11,g,positive
a,229,t,t,7,g,positive
b,11,t,t,6,g,positive
a,1254,t,t,3,g,positive
b,185,t,t,17,g,positive
a,0,t,f,0,g,positive
a,846,f,f,0,g,positive
b,2125,t,t,1,g,positive
a,95,t,t,6,g,positive
b,1585,t,t,6,g,positive
b,5,t,t,10,g,positive
b,175,t,f,0,g,positive
b,1375,t,f,0,g,positive
b,3,t,f,0,g,positive
b,171,t,t,5,g,positive
b,154,t,f,0,g,positive
b,6625,t,f,0,s,positive
a,10,t,t,14,g,positive
a,5,t,f,0,g,positive
b,404,t,t,7,g,positive
b,1004,t,t,9,g,positive
a,15,t,t,14,g,positive
a,8,t,t,6,g,positive
a,375,f,f,0,s,positive
b,4,t,f,0,g,positive
b,9335,t,t,6,g,positive
b,65,t,t,8,g,positive
b,29,t,t,8,g,positive
b,675,t,t,11,g,positive
a,6665,t,t,3,g,positive
b,4,f,f,0,g,positive
b,585,t,t,2,g,positive
a,5,t,t,1,g,positive
b,65,t,t,15,g,positive
b,25,t,t,7,g,positive
a,9,t,f,0,g,positive
a,915,t,t,4,g,positive
b,604,f,f,0,g,positive
b,11125,t,t,1,g,positive
b,665,f,f,0,g,positive
a,46,t,t,4,g,positive
a,4415,t,f,0,g,positive
b,425,t,f,0,g,positive
a,304,t,t,1,g,positive
b,15,t,t,9,g,positive
a,375,t,t,9,g,positive
b,425,t,t,16,g,positive
b,4,f,t,1,s,positive
b,15,t,t,3,g,positive
a,75,t,t,1,g,positive
a,3,t,t,2,g,positive
b,917,t,t,12,g,positive
a,2875,t,f,0,g,positive
b,446,t,t,3,g,positive
b,58,t,t,7,g,positive
b,1835,t,t,1,g,positive
b,115,t,t,9,g,positive
b,5875,t,t,14,g,positive
a,3,t,t,19,g,positive
a,65,t,t,7,g,positive
a,375,f,f,0,g,positive
a,4625,t,t,2,g,positive
a,165,t,t,1,g,positive
b,875,t,t,2,g,positive
b,55,t,f,0,g,positive
b,83,t,t,8,g,positive
b,1225,t,t,4,g,positive
b,2,t,t,2,g,positive
b,154,f,f,0,g,positive
b,204,t,f,0,g,positive
b,154,t,t,1,g,positive
a,925,t,t,4,g,positive
b,1125,t,t,17,g,positive
b,12335,t,f,0,g,positive
b,65,t,t,12,g,positive
b,95,t,t,14,g,positive
b,154,t,t,5,g,positive
a,115,t,t,11,g,positive
b,7,t,t,3,g,positive
b,205,t,f,0,g,positive
b,1125,f,f,0,g,positive
b,2,t,t,2,g,positive
b,215,t,t,11,g,positive
b,25,t,f,0,g,positive
a,65,t,t,3,g,positive
b,6,t,t,5,g,positive
a,1,t,t,11,g,positive
a,446,t,t,6,g,positive
b,10125,t,t,6,g,positive
a,5125,t,f,0,g,positive
b,204,t,t,3,g,positive
b,404,t,t,8,g,positive
b,15,t,f,0,g,positive
b,95,t,f,0,g,positive
a,585,t,t,2,g,positive
a,105,t,t,7,g,positive
b,8,t,t,1,g,positive
b,125,t,f,0,s,positive
b,1,t,f,0,s,positive
b,25,t,t,11,g,positive
b,2415,t,t,11,g,positive
b,83,f,f,0,g,positive
b,271,t,t,1,g,positive
b,1625,t,t,10,g,positive
a,35,t,f,0,s,positive
a,1125,t,t,4,g,positive
b,1775,t,f,0,g,positive
b,25,t,f,0,g,positive
b,5,t,t,7,g,positive
b,0,t,f,0,g,positive
b,479,t,t,1,g,positive
a,254,t,f,0,g,positive
b,65,t,t,1,g,positive
b,75,t,t,3,g,positive
b,45,f,f,0,s,positive
b,375,t,t,2,g,positive
b,55,t,t,12,g,positive
b,704,t,t,6,g,positive
b,25,t,f,0,g,positive
b,3,t,t,1,g,positive
b,29,t,t,20,g,positive
b,9625,t,t,5,g,positive
b,817,t,t,14,g,positive
a,1835,t,t,5,g,positive
b,15,t,t,11,g,positive
b,325,t,f,0,g,positive
b,5,t,t,6,g,positive
a,55,t,f,0,g,positive
a,12,t,t,1,g,positive
a,10,t,t,4,g,positive
b,35,t,t,7,g,positive
a,11,t,t,11,g,positive
b,11625,t,f,0,g,positive
a,4,t,f,0,g,positive
b,25085,t,t,3,g,positive
b,11,t,t,7,g,positive
b,42,t,t,6,g,positive
b,125,t,t,67,g,positive
a,3,t,t,3,g,positive
a,11585,t,f,0,g,positive
a,9,t,t,2,g,positive
b,425,t,t,1,g,positive
b,65,t,t,7,g,positive
b,11,t,t,1,g,positive
b,115,t,t,11,g,positive
b,45,t,t,2,g,positive
b,145,t,t,15,g,positive
b,105,t,f,0,g,positive
b,165,f,f,0,g,positive
b,105,t,f,0,g,positive
a,1175,t,t,2,g,positive
b,4,t,t,2,g,positive
b,1415,t,t,1,g,positive
b,75,t,f,0,g,positive
a,375,t,t,1,g,positive
b,1665,t,t,9,g,positive
b,5,t,t,11,g,positive
a,195,t,t,7,g,positive
b,0,t,f,0,g,positive
b,5,t,f,0,g,positive
b,20,t,t,9,g,positive
b,85,t,t,9,g,positive
b,3335,t,t,14,g,positive
b,205,t,t,11,g,positive
b,2229,t,t,1,g,positive
b,13915,t,t,6,g,positive
b,2,t,t,4,g,positive
b,4625,t,f,0,s,positive
b,4415,t,t,10,g,positive
b,9415,t,t,11,g,positive
a,13585,t,f,0,g,positive
b,15,t,t,3,g,positive
b,75,t,t,5,g,positive
b,7585,t,t,15,g,positive
b,11,t,t,7,g,positive
b,55,t,t,1,g,positive
a,10335,t,t,1,g,positive
b,0,t,t,1,g,positive
b,85,t,t,3,g,positive
b,4,t,f,0,g,positive
b,12,t,f,0,s,positive
b,1,t,f,0,g,positive
b,504,t,t,8,g,positive
a,104,t,t,5,g,positive
b,11,t,f,0,g,positive
b,175,t,t,4,g,positive
a,375,t,t,4,g,positive
b,54,t,t,1,g,positive
b,7625,t,t,12,g,positive
b,171,t,t,1,g,positive
b,21,t,f,0,g,positive
b,25125,t,t,1,g,positive
b,254,t,f,0,g,positive
a,3,t,t,8,g,positive
b,22,f,f,0,p,positive
a,2335,t,t,4,s,positive
b,65,t,f,0,g,positive
b,6,t,t,3,g,positive
b,875,t,t,3,g,positive
b,5,t,t,5,g,positive
b,195,t,t,16,g,positive
a,15,t,t,14,g,positive
a,79,t,t,2,g,positive
b,5625,t,f,0,s,positive
a,6,t,t,3,g,positive
a,1,t,f,0,g,positive
a,46,t,t,11,g,positive
b,925,t,t,3,g,positive
b,275,t,t,6,g,positive
a,10,t,f,0,g,positive
a,16,t,t,15,g,positive
b,504,t,f,0,g,positive
a,1075,t,t,5,g,positive
a,8665,t,f,0,g,positive
a,8,t,t,6,g,positive
a,21,t,t,13,g,positive
a,1025,t,t,2,g,positive
b,5,t,t,6,g,positive
b,1479,t,t,5,g,positive
a,925,t,t,4,g,positive
a,5665,t,t,7,g,positive
b,3,t,t,8,g,positive
b,96,t,f,0,g,positive
a,875,t,f,0,g,positive
a,21,t,t,11,g,positive
b,3,t,t,11,g,positive
b,0,f,f,0,s,positive
a,15,t,f,0,g,positive
a,754,t,t,14,g,positive
b,525,f,f,0,g,positive
b,125,t,f,0,g,positive
b,3165,t,t,3,g,positive
b,115,t,t,5,g,positive
a,375,f,t,6,g,negative
a,25,f,f,0,g,negative
a,1625,f,f,0,g,negative
b,875,f,t,2,g,negative
b,125,f,f,0,g,negative
b,0,f,f,0,g,negative
b,625,t,f,0,g,negative
b,65,f,f,0,g,negative
a,5,f,f,0,g,negative
b,125,t,t,3,g,negative
a,125,f,f,0,g,negative
b,1,f,f,0,s,negative
a,29,f,t,1,g,negative
b,415,f,t,1,g,negative
a,1665,f,f,0,g,negative
a,585,f,f,0,g,negative
b,175,t,f,0,g,negative
a,10665,f,t,12,g,negative
b,0,f,f,0,s,negative
b,9,f,f,0,g,negative
b,4,f,f,0,g,negative
a,1125,t,t,2,g,negative
b,55,f,f,0,g,negative
