@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,7,13,16-21'

@attribute A2 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A7 numeric
@attribute A13 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
-0.1669,-0.9974,-0.9459,-1.4933,-0.5912,-2.0039,-1.3395,-1.1801,1.3244,0.0202,1
-1.7165,-0.7118,-0.9282,-0.3491,1.2052,-0.0754,-0.3115,-0.8571,-2.8611,-0.4501,1
0.535,-0.5772,-0.0547,-2.1996,0.1303,0.7856,-1.5538,-1.0281,1.7261,-0.5213,1
-0.7743,-0.7385,-0.5065,-1.2168,-0.7977,-0.0331,-1.5656,0.0141,-1.4358,-0.6591,1
-1.1279,-1.4314,-0.1873,-0.7602,-0.5905,-0.4296,-2.4746,-0.8375,-0.713,-1.3519,1
-0.9258,0.2464,-1.033,-1.2487,0.4705,-1.887,1.2586,-0.2443,1.8665,-1.4511,1
-0.0838,-0.9241,-0.1296,1.3047,0.9624,0.9429,3.1887,0.6173,0.2408,-0.6946,0
-0.2498,-1.1951,0.9169,0.406,-0.8303,-0.2181,0.4712,0.8698,0.5666,0.7023,0
0.5067,-0.5832,1.7369,0.6747,-1.2294,-0.6759,0.4816,-2.9967,0.5124,0.6339,1
-0.695,-0.2026,-0.8858,-0.8408,0.4315,0.0371,1.1465,1.1687,0.5181,1.3477,0
-0.0175,-1.5011,-1.4781,-0.5844,0.4676,2.4691,-0.3858,-0.9138,-0.3361,0.0605,1
0.3868,1.0844,-1.1969,-0.5896,0.5275,-0.4631,0.6532,0.1684,0.4384,-0.3952,0
-0.5359,0.8069,-0.1909,1.0011,0.8949,2.6002,2.9243,1.9223,-0.3629,-0.0349,0
-0.8228,-0.0957,-0.7506,2.2758,0.0296,-0.3167,-1.6112,-2.1758,-0.629,-1.1709,1
-0.2666,-0.3516,0.3748,0.5002,0.828,0.4509,-0.1453,0.4028,-0.819,-1.3369,1
0.3698,1.4107,-1.885,1.9726,-1.0699,-1.8071,0.6056,-1.0551,-0.0933,-0.7695,1
0.1775,-2.6287,0.5138,0.7294,-0.1172,-0.3873,-0.6359,-1.1302,-1.3067,-1.4898,1
-0.1122,-0.4224,0.3569,-2.1706,-1.1022,-1.6257,-0.2892,-1.301,0.8197,-0.2442,1
0.0549,0.419,-0.5286,-1.2621,-0.4487,-0.9321,-1.2259,-0.2059,1.0464,0.1003,1
0.459,-0.2852,-0.5593,1.4666,1.1302,1.3575,1.5562,0.3903,1.3395,-0.0352,0
-0.6602,-0.5732,-1.0333,-1.0013,-1.6356,-1.1915,1.5515,0.045,-2.041,-1.5338,1
1.0902,-0.1419,-0.6481,0.3152,-0.861,-1.074,0.3353,-1.5552,-0.4511,0.977,1
-0.59,0.7728,1.5152,-0.8757,-0.2105,1.2188,-0.2764,0.8678,1.5895,-1.318,0
-1.1781,-0.3703,1.4749,0.7809,1.156,0.4158,-1.4102,-0.0504,0.2169,-0.362,0
1.6531,0.4083,0.9807,-0.9456,0.1328,-0.1198,0.6202,0.6533,-0.7686,0.2286,0
1.4114,1.2025,-0.5689,1.0518,-0.1978,0.3024,-0.4455,-1.2433,1.5482,0.7649,0
-0.7044,-1.0058,-0.339,-1.1525,0.2215,2.7077,-1.2562,0.0378,0.0943,-0.619,0
0.2239,-0.2484,-1.619,0.0783,-1.4663,-0.1428,-1.8536,0.4096,-1.5538,-0.8189,1
-0.9,1.4895,-0.7387,-0.3893,0.1649,-1.9375,-0.247,0.804,1.1142,0.9207,1
-0.7155,0.1754,-1.3823,-0.5382,-0.3093,0.7702,0.1958,-1.2627,-1.826,-0.5254,1
0.1579,-0.4964,-0.3151,-0.2098,-1.0042,-0.1869,-0.6825,-0.0644,0.7116,0.659,1
1.0422,-0.3637,0.2234,1.2135,0.8677,0.8552,1.0097,0.4131,-0.76,0.5206,0
0.841,0.4619,-0.2021,1.7086,0.9568,0.3662,0.5167,-0.0297,1.8463,0.9423,0
1.3704,-0.1493,0.5123,-1.1831,-0.5132,0.9858,-0.2102,2.1722,2.2499,0.9512,0
1.4634,-0.0272,1.3147,0.2772,0.6615,-0.1521,-0.0453,1.0097,-0.294,-0.1607,0
-1.2113,-2.2559,-1.4126,1.5582,-1.1032,0.8819,-0.4628,2.2367,-1.4258,-1.4535,1
-0.6891,1.3942,-2.7754,0.631,0.1128,-1.315,0.2583,-1.6199,0.6472,-0.7965,1
-0.8088,-2.0343,-0.2364,-0.7941,-0.443,-2.2217,-0.9678,-0.1644,-0.545,-3.0412,1
-0.2594,-0.8569,-1.1541,-0.9747,-1.6947,-1.1117,-1.5326,-1.0679,-0.1156,0.733,1
-0.1765,-1.208,-0.9027,-2.5171,0.2458,-0.305,0.6807,-0.9752,0.1584,0.6104,1
-1.479,-1.2648,-0.3777,-0.5147,-0.9585,0.325,-1.0317,0.3445,0.3841,-0.6232,1
0.9784,-1.3912,-0.785,-0.4564,-0.4256,-1.1709,-0.5668,-0.9024,-0.2429,-0.815,1
3.1256,0.3157,-0.7029,0.1022,0.6083,-1.8005,0.8189,2.0299,0.5842,0.1453,0
-1.1128,-0.5204,-0.0482,0.6485,-0.1786,0.1844,-1.1977,-0.5565,0.3426,-2.0477,1
0.2762,0.799,-1.2364,0.3196,0.2267,0.9923,-0.4885,0.5582,-1.2311,-0.0548,0
0.947,-0.1846,1.211,0.7764,0.5459,-0.5542,-0.7735,0.7506,0.2151,2.0367,0
-0.4981,1.3517,-0.9667,-0.6581,0.0416,1.9448,0.2994,0.8748,-0.661,1.2962,0
3.001,-0.7379,-0.169,-0.131,1.3899,-0.0614,1.6957,0.9264,1.229,0.5628,0
-0.5212,1.7395,0.136,-0.1903,0.6951,-1.3404,-0.5783,0.3568,-0.6318,1.8941,0
-2.6224,-1.6412,-0.578,-1.2243,-0.4345,-0.5198,-1.2393,-1.4536,-0.7844,-0.5819,1
0.4414,-0.4218,1.0138,0.7929,0.4469,0.3443,0.3419,-1.3867,0.5243,-1.2288,1
-1.2808,1.3686,0.4396,-1.7817,-0.8887,0.1073,-0.1974,1.705,0.2033,1.6684,0
-1.7871,0.4536,0.6875,0.5608,0.0892,-0.3786,0.2366,1.939,-0.3756,0.5774,0
-2.2185,0.5928,-0.1065,-1.6032,0.9124,-0.517,0.8222,-0.3292,-0.0797,-0.4343,1
-0.2188,0.4934,2.4769,2.0295,0.4715,0.0803,0.894,-0.4486,0.8113,-0.6679,0
0.3667,1.5236,2.1642,1.2485,0.6214,0.5565,0.8658,0.6925,0.2872,1.302,0
1.279,-1.0253,-1.9313,-0.3069,-1.3924,0.1093,-1.037,1.0893,0.8367,-0.2342,1
-0.1251,2.4841,1.1575,2.4413,0.9154,1.8065,1.0167,0.4711,0.9671,0.9735,0
1.7524,1.2965,-0.1558,0.819,2.0941,0.2544,1.0263,0.3455,-0.6369,0.1651,0
-1.0038,0.1415,-2.6722,0.6784,0.0977,-0.8915,0.8151,0.8247,-1.3571,-1.1351,1
-1.5173,-0.9202,0.4332,-1.878,-1.1274,-3.0044,-1.269,-0.193,0.1809,0.5919,1
-0.0169,-2.6172,1.7127,0.7204,0.7341,-0.42,0.1228,0.4694,0.7846,3.055,0
-0.1739,-0.3803,2.3647,-0.387,0.9811,1.9341,-0.9109,-0.3132,1.3024,-2.4726,0
0.2096,1.2393,1.495,-1.1599,2.5677,-0.3336,-0.1587,1.1307,-0.7258,1.0381,0
0.7837,1.0153,0.7465,-2.7704,-0.5198,0.0275,-0.834,1.1495,-0.8129,-2.359,1
0.1975,0.3334,0.6666,0.3897,0.452,-0.8471,-0.6817,1.8047,-0.1295,1.205,0
0.2869,0.1811,0.6849,-0.0587,0.6217,-0.0481,0.3087,0.3309,-1.3466,0.2861,1
-1.3021,0.1422,-1.6694,-0.2857,0.8656,-0.7579,-0.8928,-0.041,-0.6063,-1.0265,1
1.8923,-0.7414,-1.4774,0.2636,2.7743,0.5799,-0.7391,-0.273,-2.2611,0.6053,0
-1.414,-1.0333,-1.4626,-1.0618,-0.7925,-0.2852,-0.6605,0.324,0.7748,0.8687,1
1.7336,1.3195,0.9014,0.6142,-0.4401,-0.3218,0.3486,2.0204,-0.6435,0.5166,0
-1.3716,-1.3101,0.9759,-0.5487,-0.2819,0.1348,1.9119,0.2741,0.0413,-0.7081,1
-1.6747,0.4031,-0.3401,-1.3434,-1.1399,1.2525,0.3447,-0.4055,-0.4554,0.1197,1
0.134,-2.5751,0.1478,-2.6149,0.6454,-0.623,-0.5162,-1.0614,1.66,-1.5299,1
1.1666,-0.4781,-0.4443,-0.8707,0.9509,0.4876,-0.3074,1.4351,-1.0813,2.7963,0
-2.1532,1.9917,0.0248,0.345,0.3669,-0.5169,0.8026,0.0995,-3.0871,0.261,1
-0.584,-0.6642,1.3317,1.5837,0.5932,0.18,-0.391,-1.573,0.0456,-0.3287,0
-0.1538,-0.1246,1.2738,-1.3374,0.1908,0.2663,0.4001,1.8449,0.2412,0.5552,0
0.0614,-1.3964,-1.1878,0.7168,0.5077,-0.7876,-1.0282,0.8661,-1.7566,-0.098,1
0.4786,-0.0442,-0.2692,-0.3878,0.062,-0.1404,-0.8736,0.4989,-0.7553,-0.4646,1
0.5205,-2.3177,-0.1464,-0.9275,-0.4439,-0.6532,-0.4987,1.5916,-1.7304,-0.0519,1
-2.1893,-0.2036,0.6477,0.1356,-1.3833,0.9257,-1.5947,0.2516,-1.1707,1.6155,1
-1.3033,-0.5512,0.2295,-1.2289,0.1344,-1.1156,-0.4236,-0.3285,-1.6758,-1.3896,1
-0.595,-1.2371,1.2383,1.8391,1.0445,-0.2397,1.8223,1.9542,0.7014,-1.0169,0
0.4215,-0.6763,0.0854,1.1146,0.6017,-0.2263,-0.2984,-1.5812,-1.3064,0.648,1
-0.7343,1.2165,-0.4646,1.3699,0.7754,-0.8864,0.8503,1.2504,-0.0341,0.9821,0
-0.4837,-1.0549,0.5316,-1.9123,-1.3465,-0.7948,-0.7761,-0.2377,-0.2482,-0.4214,1
-0.4807,-1.2582,-1.9314,-2.0112,-0.8344,-0.4959,-0.8166,-0.6049,-1.1857,-1.4819,1
0.675,1.381,-2.17,-0.4349,-0.8975,0.0068,0.0494,-1.2143,0.9257,0.2885,1
0.3453,-0.0514,-1.1675,-1.4779,-0.7891,1.0249,-1.549,0.2746,-0.8685,0.3783,0
1.0226,-0.6477,-0.8828,0.5,-0.0601,1.1632,1.6992,-2.0007,-1.3266,0.5349,1
1.1209,1.1451,-0.015,1.1613,-0.3465,1.9069,0.2886,-1.8024,1.2421,0.3522,0
1.1437,0.8019,1.8185,1.0217,-0.5617,0.132,0.4322,-1.2622,1.808,0.0947,0
-0.106,-0.1658,0.7691,0.942,2.528,0.0963,1.6081,-0.0341,2.0335,0.6142,0
-1.0749,-1.0059,-1.049,-0.9148,-0.9554,-0.9661,0.1713,-1.4683,-0.6767,-2.608,1
1.9659,1.2774,2.2144,2.1612,0.2862,0.0912,-1.0069,0.2564,-0.3934,2.0383,0
-0.2565,-2.0054,0.1427,-1.4774,-1.7353,-0.3722,-0.7213,0.1746,-0.4329,0.3215,1
-0.0018,1.2816,-0.9312,-0.1593,1.2854,-1.6033,1.036,0.1433,0.4473,-0.2418,0
