@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R1,5,7,9-13,16,21'

@attribute A1 numeric
@attribute A5 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A16 numeric
@attribute Class {0,1}

@data
1.0426,1.4626,0.9125,-0.0606,1.2063,2.6698,-0.2527,-0.1471,-0.6529,0
0.346,1.1393,0.933,-0.9421,0.4421,2.9961,-0.1589,0.8809,-0.9432,0
2.4622,0.5017,1.559,-1.13,0.1215,0.7229,0.2166,-1.1217,-0.277,0
0.8056,-0.3089,0.4668,1.9058,-0.0415,-0.1243,0.6362,-0.3289,-1.5637,0
-2.0343,0.3199,0.2142,1.0884,-1.082,-0.8306,-0.6203,0.2734,-2.1147,1
-0.8701,-0.3746,-1.3284,-1.4448,-1.231,-0.5063,1.1216,0.9923,-0.6438,1
0.232,-0.4873,0.0307,-0.4757,-0.471,-0.4662,-1.5329,-1.0808,-0.8385,1
1.6368,-1.6006,-0.7975,0.525,0.3477,-0.3386,-0.7236,1.0322,-1.8943,0
-2.2152,0.9435,2.6627,0.9224,-0.6274,2.1326,1.1848,2.4293,0.1684,0
0.1571,-0.203,-0.7582,-0.2971,-0.318,0.5854,0.2935,-1.3474,-1.8812,1
0.6797,2.2131,0.482,-1.9176,1.1389,0.9205,-0.4229,-0.9167,-1.3356,0
1.3576,0.3684,1.3212,0.9293,0.5118,-0.1847,0.7228,-0.2866,0.7262,0
3.4611,2.3323,0.3852,1.2257,0.5089,1.5797,2.3151,0.589,0.7058,0
0.6694,0.0249,0.8411,-0.6064,1.8004,1.9098,0.7848,-1.0625,2.1532,0
1.5123,-2.0025,-0.575,1.7034,-0.4794,-0.7267,-0.1034,-0.8705,0.3869,0
-1.1412,1.5099,-0.4762,-0.3041,0.1958,-2.2203,-1.302,0.072,0.5126,0
-1.2846,0.4677,1.983,-1.4249,-1.5498,0.269,-0.2932,-1.56,0.7757,1
1.3558,-0.2422,0.7468,-0.2748,1.2669,-0.008,1.0609,-1.488,0.8292,0
1.2112,1.6947,-1.9396,0.155,2.5008,-0.8319,0.0741,2.6295,-0.1096,0
0.9432,-0.017,0.2241,-1.3886,-1.0156,0.82,-1.0834,0.5778,-0.7272,1
1.7948,-0.4947,0.7795,2.2021,0.9669,0.9367,-0.7744,0.0257,-1.1317,0
0.1695,-0.3911,-0.4481,0.3169,-1.0904,0.7289,2.0574,0.4726,-0.1847,1
1.6737,0.8391,-1.3165,0.5307,0.9398,-0.1729,0.8514,0.3775,0.6111,0
-1.6536,1.3841,1.7668,0.1071,-1.8828,-0.3084,0.7166,-1.1274,1.3545,1
-1.4746,-1.0174,-1.1435,-0.88,-0.4921,0.5965,-1.0926,-1.4429,-1.0632,1
0.9477,-1.7552,0.1272,1.2156,-0.7935,1.7562,-0.6384,-1.058,0.8209,0
1.1245,0.5724,-2.1365,-0.4228,-0.5843,0.2279,-1.5518,0.0044,-1.1685,1
-0.2862,0.8218,-1.2889,-0.4328,-0.7829,1.1562,-0.8769,0.4908,0.2127,0
-1.1229,-0.7774,-1.1418,0.9528,0.7164,0.4307,1.0645,0.6952,0.2392,0
0.1361,0.8344,0.0162,-0.3537,-0.0524,-0.1433,-0.3328,-0.422,-0.3887,1
-1.1754,0.7027,1.0818,-0.3909,-1.0457,-0.4841,1.0896,-2.1285,0.2966,1
-1.2797,1.9053,0.1298,-2.3481,0.4508,0.0691,0.1402,1.6266,1.1986,1
-0.1276,0.1169,0.8878,-0.3661,0.6013,0.5995,0.3076,-0.1596,2.5573,0
0.8071,1.1623,-0.9458,0.0159,1.1572,-0.4272,-0.1833,-1.0527,2.2316,0
