@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R2-5,7,9,13-14,18-21'

@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
0.8295,-1.0473,-1.5558,0.6791,-1.5196,1.3138,0.6303,-0.13,-0.028,-0.6141,-1.3867,1
-0.1899,0.5606,0.3304,-0.1008,-0.5027,0.1268,-0.6688,-0.1173,1.8749,0.7594,2.3512,0
-0.5382,0.4609,-0.4952,1.2847,1.1339,1.3676,0.7559,1.3912,1.1609,-0.4601,0.1687,0
0.9633,0.3777,-0.2037,-0.6592,2.9136,1.4107,-0.9807,1.6085,1.5107,-0.15,0.1237,0
0.3998,-0.0818,-0.8427,0.2437,0.215,-1.305,-0.4084,-1.1397,0.886,2.3787,1.0751,0
0.7071,-0.3894,-1.7727,0.5828,-2.4343,-0.0077,-0.8748,-0.4961,-1.2072,0.5351,0.1769,1
0.4991,-1.3311,0.9328,-0.303,0.5484,0.7906,0.477,1.5651,1.4677,0.348,-0.9644,0
-1.7159,-0.6053,1.542,-2.2849,-0.0868,0.9349,0.0882,-0.9884,1.4092,-0.8953,0.3217,1
0.0463,0.2819,0.1771,-0.5326,-0.9146,-0.1269,-0.8245,-1.9261,0.2253,0.394,-1.4961,1
-0.3194,-0.7527,1.3388,0.7651,0.2699,-0.3535,0.0218,0.2071,3.7287,-0.0164,0.7831,0
-0.3839,-0.228,-0.2157,0.3393,-0.6364,2.3878,0.4313,0.4524,-1.5873,1.6716,3.2649,0
-0.9021,0.6615,0.5841,-1.4287,1.4586,-2.1448,-1.0297,-0.4015,-1.7565,-0.3997,-0.4916,1
-1.3213,-1.0796,-0.4417,0.4686,-1.1929,-1.4934,-0.0813,-0.6888,-0.5336,-0.0207,0.0559,1
1.2312,2.3779,-0.771,0.1854,0.5278,2.7915,1.5572,-0.3868,0.2165,0.8762,1.5599,0
-0.4724,-0.1919,0.2732,-0.3845,-1.9688,0.4159,-0.0964,-1.3825,-0.396,-1.3344,0.3546,1
0.4414,-1.3406,-1.4295,0.4017,-0.5794,-1.1363,0.5,0.633,-1.584,0.1676,1.0581,1
0.9346,1.1184,1.269,1.5155,2.0063,0.3581,0.781,1.5689,-0.4143,0.1993,2.1013,0
0.6569,0.531,-0.5148,-0.1577,-0.2,-0.4172,0.1781,-0.5719,0.5554,-0.7049,0.0273,1
-1.1937,-1.4089,0.1408,1.0171,-0.0642,-0.3128,0.2495,0.7932,-2.6215,-0.5152,-0.1701,1
0.1043,-0.755,-1.5453,0.7027,-0.7619,-1.0659,-1.6947,-2.1954,-2.81,-1.0208,0.0611,1
