@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,10-11'

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
5,15,0.6,0.533,1,1
11,88,0.727,0.58,10,1
11,88,0.727,0.409,1,1
10,660,6.6,0.273,93,1
9,576,7.111,0.299,95,1
9,756,9.333,0.222,93,1
9,486,6,0.292,96,1
10,830,8.3,0.266,105,1
12,528,3.667,0.261,58,1
12,84,0.583,0.214,5,1
9,288,3.556,0.271,35,1
13,130,0.769,0.3,6,1
9,45,0.556,0.378,6,1
14,2590,13.214,0.254,289,1
1,12,12,0.583,2,1
7,406,8.286,0.202,35,1
2,62,15.5,0.194,6,1
1,12,12,0.583,2,1
11,77,0.636,0.468,10,1
1,43,43,0.907,4,2
9,864,10.667,0.281,124,1
8,640,10,0.303,113,1
11,286,2.364,0.297,42,1
8,64,1,0.203,3,1
9,909,11.222,0.442,150,1
5,10,0.4,0.8,1,4
10,20,0.2,0.55,1,2
9,180,2.222,0.261,20,1
1,45,45,0.756,6,2
6,162,4.5,0.136,11,1
4,188,11.75,0.298,24,1
10,210,2.1,0.324,20,1
9,207,2.556,0.304,39,1
9,288,3.556,0.292,55,1
10,640,6.4,0.295,84,1
9,738,9.111,0.343,125,1
11,913,7.545,0.274,146,1
19,2337,6.474,0.089,1,1
10,650,6.5,0.445,112,1
8,360,5.625,0.156,30,1
10,330,3.3,0.367,62,1
1,124,124,0.444,7,2
10,1260,12.6,0.456,202,1
10,850,8.5,0.333,124,1
1,40,40,1,1,2
1,46,46,0.783,3,2
7,329,6.714,0.271,40,1
8,472,7.375,0.322,63,1
8,376,5.875,0.362,68,1
7,700,14.286,0.411,157,1
12,996,6.917,0.301,151,1
12,516,3.583,0.357,68,1
8,368,5.75,0.318,56,1
8,224,3.5,0.259,30,1
11,1353,11.182,0.25,173,1
10,110,1.1,0.427,31,1
12,504,3.5,0.355,66,1
9,684,8.444,0.38,118,1
11,1100,9.091,0.473,158,1
1,7,7,1,1,2
24,8160,14.167,0.211,643,1
7,14,0.286,0.5,1,1
9,180,2.222,0.461,32,1
21,2226,5.048,0.136,152,1
8,304,4.75,0.349,55,1
12,1080,7.5,0.183,103,1
9,729,9,0.287,94,1
12,516,3.583,0.328,66,1
1,79,79,0.608,7,2
8,168,2.625,0.381,34,1
8,320,5,0.409,59,1
9,1170,14.444,0.448,199,1
3,42,4.667,0.381,5,1
7,280,5.714,0.186,23,1
14,532,2.714,0.244,44,1
15,465,2.067,0.204,24,1
52,23972,8.865,0.192,400,5
9,873,10.778,0.455,174,1
9,441,5.444,0.58,86,1
9,189,2.333,0.317,23,1
9,828,10.222,0.35,140,1
9,108,1.333,0.444,27,1
9,108,1.333,0.426,29,1
9,81,1,0.16,8,1
10,640,6.4,0.477,109,1
9,360,4.444,0.386,57,1
69,207,0.043,0.643,64,4
5,155,6.2,0.239,18,1
17,1309,4.529,0.314,140,1
12,96,0.667,0.438,1,1
10,970,9.7,0.423,165,1
12,996,6.917,0.253,144,1
12,876,6.083,0.259,108,1
9,729,9,0.322,106,1
10,290,2.9,0.221,18,1
9,387,4.778,0.481,59,1
8,344,5.375,0.392,61,1
10,970,9.7,0.425,152,1
9,450,5.556,0.32,54,1
8,144,2.25,0.472,27,1
10,1180,11.8,0.277,162,1
8,336,5.25,0.423,60,1
38,2660,1.842,0.059,8,5
1,147,147,0.864,11,2
1,17,17,0.941,1,2
9,9,0.111,1,1,4
7,1330,27.143,0.293,218,1
7,812,16.571,0.262,116,1
10,940,9.4,0.25,138,1
11,869,7.182,0.342,135,1
5,195,7.8,0.344,32,1
9,756,9.333,0.407,112,1
6,174,4.833,0.333,38,1
5,575,23,0.417,118,1
13,1079,6.385,0.373,115,1
10,1240,12.4,0.473,171,1
10,1190,11.9,0.39,169,1
7,1323,27,0.339,237,1
3,777,86.333,0.411,24,2
10,220,2.2,0.491,29,1
13,6474,38.308,0.281,799,1
12,5964,41.417,0.269,658,1
9,540,6.667,0.413,81,1
9,1062,13.111,0.372,164,1
25,2875,4.6,0.296,333,1
7,1281,26.143,0.265,181,1
5,135,5.4,0.407,26,1
8,592,9.25,0.412,114,1
5,190,7.6,0.316,29,1
13,4524,26.769,0.308,543,1
10,1210,12.1,0.402,180,1
10,980,9.8,0.392,154,1
18,1422,4.389,0.257,115,1
9,612,7.556,0.335,88,1
7,385,7.857,0.374,69,1
8,536,8.375,0.392,91,1
7,105,2.143,0.114,5,5
4,28,1.75,0.286,4,5
7,154,3.143,0.156,15,1
8,272,4.25,0.309,56,1
6,30,0.833,0.233,4,5
6,54,1.5,0.148,2,5
10,2710,27.1,0.199,381,1
2,98,24.5,0.51,1,2
11,2992,24.727,0.171,348,1
8,864,13.5,0.235,144,1
7,161,3.286,0.373,35,1
7,336,6.857,0.292,64,1
6,1122,31.167,0.188,168,1
6,90,2.5,0.278,13,1
5,105,4.2,0.295,21,1
5,30,1.2,0.333,4,1
7,224,4.571,0.339,52,1
5,40,1.6,0.425,11,1
6,192,5.333,0.292,41,1
6,72,2,0.319,11,1
6,246,6.833,0.224,46,1
7,280,5.714,0.229,50,1
6,144,4,0.257,26,1
9,135,1.667,0.178,15,1
5,85,3.4,0.4,26,1
7,231,4.714,0.342,53,1
5,55,2.2,0.345,13,1
6,102,2.833,0.275,21,1
7,56,1.143,0.357,9,1
6,294,8.167,0.286,61,1
6,60,1.667,0.333,13,1
9,207,2.556,0.222,34,1
5,35,1.4,0.429,11,1
8,128,2,0.258,28,1
7,182,3.714,0.302,36,1
7,77,1.571,0.364,18,1
7,35,0.714,0.371,7,1
7,378,7.714,0.235,58,1
8,80,1.25,0.238,11,1
7,189,3.857,0.37,39,1
7,126,2.571,0.286,23,1
1,14,14,0.571,3,1
9,333,4.111,0.228,60,1
8,208,3.25,0.236,39,1
7,77,1.571,0.299,17,1
5,35,1.4,0.4,12,1
7,35,0.714,0.257,8,1
7,42,0.857,0.381,7,1
10,630,6.3,0.184,83,1
7,147,3,0.388,31,1
7,91,1.857,0.33,19,1
7,231,4.714,0.351,53,1
10,380,3.8,0.187,52,1
7,133,2.714,0.203,12,1
7,112,2.286,0.313,20,1
7,77,1.571,0.403,20,1
7,140,2.857,0.307,29,1
7,175,3.571,0.303,35,1
6,78,2.167,0.359,21,1
4,44,2.75,0.432,14,1
4,24,1.5,0.542,8,1
5,85,3.4,0.388,18,1
5,60,2.4,0.55,15,1
9,306,3.778,0.209,45,1
5,65,2.6,0.431,15,1
6,72,2,0.375,18,1
6,108,3,0.315,21,1
7,105,2.143,0.371,22,1
7,182,3.714,0.346,42,1
7,119,2.429,0.361,26,1
5,115,4.6,0.322,28,1
9,99,1.222,0.283,18,1
6,186,5.167,0.263,35,1
6,138,3.833,0.283,35,1
7,28,0.571,0.321,1,1
5,50,2,0.36,14,1
7,203,4.143,0.281,43,1
10,390,3.9,0.285,58,1
7,84,1.714,0.417,19,1
7,63,1.286,0.429,11,1
