@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,7-8,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
1.2,0.333,10,10,1
10,0.675,27,27,2
1.333,0.444,1.71,48,1
11.875,0.303,1.77,230,1
1.167,0.357,2.31,60,1
37.667,0.357,30.25,121,2
0.031,0.48,141,141,4
5.909,0.39,2.61,279,1
4.4,0.393,3.15,173,1
27,0.593,4,16,1
9.5,0.237,1.8,9,1
1.8,0.267,1.71,12,1
2.875,0.288,1.47,53,1
5.75,0.391,1.85,144,1
0.105,0.816,31,31,4
5.5,0.426,3.26,150,1
5,0.403,2.53,129,1
5.625,0.469,2.91,169,1
5.125,0.335,2.08,110,1
56,0.496,55.5,111,2
5.375,0.349,2.26,120,1
0.8,0.5,5,40,1
2.5,0.525,3.5,84,1
8.3,0.295,2.02,245,1
6.083,0.257,2.14,225,1
9.111,0.247,2.09,182,1
36,0.722,8.67,26,2
9.667,0.246,1.99,343,1
10.333,0.323,2.06,270,1
1.286,0.333,21,21,1
3.8,0.434,2.89,165,1
4,0.552,3.51,179,1
6.091,0.331,2.28,244,1
9.111,0.389,2.33,287,1
7.818,0.283,1.91,268,1
0.667,0.5,13.5,27,1
9.8,0.463,2.72,454,1
9.091,0.456,3.04,502,1
4.778,0.509,3.58,197,1
5.222,0.31,2.34,131,1
55,0.564,10.33,31,2
32,0.531,17,68,2
4,0.336,2.46,86,1
1.917,0.417,8.21,115,1
5.222,0.371,2.75,157,1
1.8,0.511,2.97,92,1
17,0.412,1.75,7,2
11.786,0.057,31,527,2
2.189,0.052,11.84,5066,5
0.667,0.667,18,36,1
4.667,0.429,2.75,162,1
18,0.944,17,17,2
5.111,0.365,2.01,151,1
7.111,0.491,2.57,283,1
11.111,0.463,2.92,417,1
21.429,0.263,2.39,1106,1
5.625,0.222,1.9,80,1
4.429,0.221,1.78,48,1
8.286,0.212,2.26,86,1
1.9,0.332,3.71,63,1
0.727,0.545,3.2,48,1
2.556,0.324,1.63,67,1
9,0.332,2.09,242,1
9.75,0.231,1.68,324,1
4.6,0.226,1.63,26,1
8,0.313,2.11,40,1
3.2,0.313,2.08,25,1
6.091,0.269,2.96,198,1
45,0.933,21,42,2
25,0.46,15.33,46,2
11,0.288,1.95,257,1
8.333,0.369,2.09,249,1
2.25,0.318,2.64,103,1
9.222,0.335,2.05,250,1
10.545,0.274,1.8,350,1
0.375,0.458,2.2,11,1
7.375,0.206,3.13,97,1
2.333,0.365,2.88,69,1
10.375,0.398,2.15,264,1
0.75,0.542,13,26,1
4,0.531,2.82,172,1
1,0.234,1.5,15,1
0.095,0.738,31,31,2
8.875,0.31,1.85,176,1
12.111,0.243,1.58,238,1
8,0.301,1.93,154,1
14.778,0.236,1.89,283,1
16.667,0.342,1.71,205,1
16.692,0.361,3.05,1019,1
0.071,1,14,14,4
14.833,0.303,1.82,162,1
6.455,0.37,2.41,289,1
16.4,0.272,2.29,2792,1
