@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1-2,7-8,11'

@attribute Height numeric
@attribute Lenght numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
6,3,2.25,9,1
5,2,8,8,1
4,18,2.57,18,1
10,34,1.71,101,1
10,100,2.53,436,1
9,75,2.19,173,1
2,69,10.75,86,2
11,77,2.43,292,1
1,57,3.71,26,2
10,152,2.17,452,1
2,17,6.67,20,2
6,27,2.78,25,1
7,15,3.09,34,1
11,9,6,48,1
9,55,1.92,148,1
9,14,1.78,16,1
8,35,1.66,106,1
9,80,1.85,211,1
8,84,1.79,181,1
7,14,18,18,1
8,26,1.77,78,1
9,36,3.02,184,1
6,46,2,60,1
11,21,3.96,95,1
10,38,2.83,167,1
11,100,1.9,296,1
8,82,2.51,261,1
8,40,2.08,125,1
8,45,2.44,132,1
1,9,7,7,2
44,3,2.47,79,4
3,213,11.94,203,2
10,24,2.06,64,1
12,84,1.91,284,1
10,63,2.2,185,1
1,75,11.5,69,2
9,34,2.1,88,1
12,8,46,46,1
12,7,5.22,47,1
14,18,3.33,40,1
11,98,2.8,342,1
9,7,2.2,22,1
9,45,2.77,172,1
10,38,2.78,164,1
9,36,3.45,190,1
9,22,1.93,77,1
9,32,2.16,110,1
11,125,3.03,594,1
9,40,2.85,174,1
9,44,2.97,178,1
9,47,2.75,157,1
7,42,2.61,86,1
6,11,1.3,13,1
11,98,2.61,428,1
1,23,19,19,2
8,53,1.64,143,1
12,41,2.06,142,1
8,75,1.95,224,1
8,36,3.04,161,1
8,71,1.83,187,1
9,37,2.03,132,1
9,100,1.91,248,1
9,81,1.97,246,1
9,84,1.83,189,1
9,27,1.87,84,1
9,33,1.85,126,1
6,7,10,10,2
9,47,1.95,121,1
9,46,2.18,120,1
9,122,2.73,415,1
1,36,4.2,21,2
8,32,1.81,103,1
9,47,1.99,171,1
9,36,3.16,183,1
10,100,2.64,444,1
10,101,2.92,446,1
12,118,2.06,361,1
10,126,2.98,575,1
8,21,2.92,35,1
7,2,2.25,9,1
7,14,2.67,32,1
11,9,5.75,46,1
9,36,1.75,114,1
9,80,2.09,240,1
9,33,1.84,105,1
8,11,1.63,39,1
11,74,2.21,217,1
8,53,1.63,140,1
11,62,1.62,149,1
1,84,19.25,77,2
8,40,2.7,146,1
8,41,1.92,115,1
7,43,3.48,73,1
22,72,8.64,743,1
8,71,1.86,177,1
7,49,2.08,102,1
6,43,1.77,53,1
10,48,2.5,150,1
13,1,13,13,4
5,39,1.74,66,1
13,1,13,13,4
10,33,3.25,130,1
10,86,2.44,364,1
12,103,2.55,436,1
18,168,2.34,564,1
14,217,2.12,813,1
10,35,1.87,118,1
9,45,2.17,113,1
9,62,2.23,194,1
9,40,3.08,182,1
5,39,2.46,96,1
14,116,2.12,439,1
9,13,3.26,62,1
8,13,4.69,61,1
10,61,3.13,297,1
12,500,2.45,1584,1
11,34,2.78,136,1
6,99,1.46,179,1
3,27,1.77,39,1
12,414,2.3,1554,1
10,20,3.48,80,1
14,19,30,30,5
5,12,4,8,5
9,272,1.86,679,1
4,5,2.33,7,5
8,29,2.07,89,1
11,271,1.49,527,1
8,7,2,22,1
10,15,1.61,37,1
10,60,1.44,122,1
10,179,1.41,358,1
10,271,1.38,533,1
8,9,4.5,9,5
10,51,1.29,112,1
8,271,1.29,470,1
11,189,1.41,361,1
10,173,1.52,155,1
9,175,1.35,299,1
8,71,1.31,77,1
8,29,1.6,48,1
6,20,1.5,21,1
5,18,1.62,34,1
8,126,1.27,189,1
8,99,1.39,158,1
804,11,15.64,1689,4
5,12,1.46,19,1
7,14,1.56,25,1
9,158,1.45,308,1
1,41,12.67,38,2
6,6,3.67,11,1
6,7,1.89,17,1
6,7,1.86,13,1
1,12,1.75,7,1
9,23,1.82,51,1
6,14,1.64,23,1
4,14,1.67,15,1
7,41,1.48,65,1
7,8,1.62,21,1
6,59,1.27,95,1
9,8,1.27,19,1
8,23,1.7,51,1
7,49,1.54,109,1
7,29,1.48,62,1
7,11,1.5,24,1
7,16,1.38,29,1
5,5,1.57,11,1
7,87,1.27,141,1
7,9,1.54,20,1
9,49,1.46,102,1
8,5,1.67,15,1
8,23,1.76,44,1
7,30,1.64,64,1
6,18,1.32,33,1
7,15,1.46,35,1
6,25,1.17,41,1
9,49,1.51,109,1
8,57,1.45,122,1
7,8,2,20,1
7,19,1.77,53,1
10,262,1.32,499,1
7,16,1.41,38,1
7,40,1.47,94,1
7,9,1.4,21,1
7,57,1.3,109,1
7,13,1.61,29,1
7,9,2,24,1
7,35,1.48,74,1
7,20,1.61,53,1
7,23,1.59,46,1
8,39,1.21,70,1
7,19,1.77,46,1
8,20,1.38,33,1
