@relation page-blocks

@attribute Height numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
8,64,1
7,500,1
10,80,1
8,372,1
10,584,1
14,813,1
7,61,1
1,7,1
16,2292,1
12,159,1
7,99,1
7,64,1
10,95,1
9,784,1
8,96,1
12,131,1
8,695,1
7,55,1
8,28,1
9,525,1
7,23,1
7,42,1
8,341,1
12,343,1
7,54,1
1,25,1
9,356,1
9,485,1
5,22,1
9,47,1
7,13,1
9,256,1
9,82,1
10,116,1
8,135,1
9,354,1
7,33,1
10,304,1
10,121,1
14,1956,1
9,302,1
8,181,1
9,63,1
10,30,1
8,44,1
6,58,1
7,27,1
6,9,1
7,71,1
8,74,1
8,126,1
74,7366,1
10,92,1
5,22,1
6,211,1
9,16,1
24,3604,1
8,48,1
8,23,1
8,140,1
13,384,1
7,35,1
10,44,1
6,13,1
9,74,1
8,103,1
10,684,1
25,2221,1
8,196,1
9,238,1
9,30,1
7,19,1
9,164,1
9,440,1
8,68,1
9,51,1
7,90,1
10,121,1
8,24,1
7,161,1
25,923,1
25,791,1
10,451,1
9,210,1
8,40,1
8,152,1
13,733,1
6,303,1
12,174,1
8,122,1
8,39,1
10,824,1
16,265,1
11,664,1
7,24,1
7,36,1
10,30,1
7,144,1
8,125,1
9,56,1
12,61,1
9,199,1
11,278,1
6,39,1
8,62,1
6,161,1
8,191,1
8,70,1
10,448,1
10,233,1
13,1475,1
9,163,1
7,147,1
3,8,1
8,48,1
6,10,1
10,114,1
5,24,1
14,1232,1
7,36,1
5,34,1
6,22,1
8,81,1
7,118,1
7,57,1
11,1260,1
12,888,1
12,538,1
8,60,1
8,365,1
9,1240,1
8,50,1
7,340,1
7,193,1
9,245,1
6,73,1
4,28,1
8,13,1
7,113,1
7,34,1
8,133,1
8,26,1
9,320,1
38,2623,1
13,740,1
10,477,1
9,262,1
14,495,1
8,221,1
8,349,1
7,69,1
13,154,1
1,25,1
17,133,1
9,80,1
9,434,1
7,94,1
8,151,1
10,114,1
10,477,1
9,90,1
11,279,1
9,402,1
10,384,1
10,67,1
7,93,1
1,36,1
10,53,1
8,336,1
13,382,1
7,213,1
8,499,1
11,350,1
15,226,1
3,7,1
7,64,1
7,20,1
7,512,1
3,39,1
10,91,1
11,121,1
11,979,1
9,51,1
8,114,1
8,31,1
10,15,1
11,37,1
9,684,1
8,116,1
10,61,1
7,144,1
9,415,1
13,361,1
10,128,1
7,122,1
10,167,1
10,155,1
8,43,1
7,109,1
8,81,1
9,440,1
7,68,1
7,197,1
10,128,1
9,152,1
9,174,1
6,16,1
7,38,1
25,3496,1
11,265,1
9,290,1
8,277,1
13,114,1
8,289,1
11,121,1
7,75,1
8,15,1
7,222,1
9,732,1
12,1636,1
7,115,1
8,85,1
9,273,1
7,34,1
8,131,1
9,114,1
8,176,1
5,14,1
6,13,1
9,386,1
8,252,1
8,84,1
6,11,1
5,38,1
9,172,1
7,216,1
11,90,1
22,784,1
7,33,1
8,348,1
8,44,1
10,132,1
9,281,1
11,267,1
9,267,1
9,148,1
11,324,1
2,12,1
10,55,1
11,518,1
8,15,1
3,138,1
10,114,1
9,105,1
13,668,1
9,282,1
5,68,1
25,3315,1
7,24,1
24,3018,1
10,59,1
11,47,1
8,29,1
6,47,1
10,345,1
11,747,1
10,297,1
31,6881,1
7,42,1
8,38,1
9,861,1
7,183,1
10,237,1
8,8,1
9,120,1
11,185,1
8,253,1
6,137,1
13,451,1
8,69,1
10,587,1
9,217,1
7,455,1
7,141,1
5,19,1
7,32,1
12,872,1
10,705,1
10,246,1
8,54,1
6,75,1
5,67,1
7,19,1
10,159,1
10,99,1
7,40,1
7,132,1
7,361,1
9,271,1
6,34,1
12,1605,1
6,26,1
25,4304,1
9,247,1
8,52,1
8,54,1
13,881,1
7,69,1
16,151,1
8,43,1
8,88,1
9,142,1
10,189,1
11,188,1
11,119,1
9,183,1
9,19,1
9,371,1
13,759,1
5,17,1
17,78,1
7,44,1
11,58,1
9,84,1
1,16,1
8,73,1
5,58,1
9,133,1
10,455,1
8,430,1
9,162,1
9,32,1
7,23,1
6,28,1
5,194,1
8,52,1
18,196,1
8,135,1
6,49,1
7,45,1
8,55,1
7,29,1
8,112,1
11,47,1
13,155,1
10,173,1
7,177,1
9,127,1
7,18,1
7,143,1
8,73,1
9,225,1
14,1341,1
6,119,1
10,45,1
9,186,1
6,178,1
9,111,1
7,18,1
1,7,1
13,1579,1
8,122,1
9,169,1
9,268,1
9,247,1
7,74,1
9,196,1
7,16,1
8,52,1
7,134,1
8,117,1
7,31,1
10,632,1
11,351,1
10,130,1
4,199,1
9,530,1
8,71,1
10,44,1
9,248,1
8,106,1
7,73,1
9,93,1
8,250,1
8,41,1
12,337,1
11,937,1
9,138,1
5,14,1
13,1919,1
3,7,1
9,329,1
7,517,1
8,73,1
7,89,1
16,2232,1
10,52,1
9,130,1
8,33,1
6,356,1
10,105,1
7,55,1
6,25,1
7,32,1
9,23,1
10,403,1
10,27,1
14,592,1
7,33,1
10,360,1
7,22,1
9,128,1
6,7,1
8,92,1
8,99,1
8,103,1
7,40,1
10,138,1
9,74,1
9,629,1
7,121,1
10,1508,1
8,80,1
7,22,1
2,11,1
8,174,1
7,52,1
8,46,1
9,184,1
10,107,1
10,392,1
5,24,1
8,96,1
12,142,1
8,173,1
10,108,1
9,355,1
8,24,1
7,53,1
14,72,1
10,45,1
7,62,1
6,20,1
9,75,1
7,27,1
7,87,1
24,5363,1
5,13,1
8,534,1
12,535,1
12,721,1
8,560,1
10,73,1
9,357,1
9,73,1
5,9,1
8,49,1
9,247,1
9,619,1
6,62,1
24,3040,1
7,19,1
14,1315,1
9,101,1
10,91,1
8,142,1
6,35,1
10,758,1
11,685,1
12,76,1
6,29,1
8,52,1
8,247,1
11,500,1
16,2150,1
7,354,1
9,187,1
6,19,1
10,333,1
8,31,1
5,62,1
9,196,1
7,213,1
8,117,1
12,843,1
9,964,1
16,1992,1
10,103,1
8,629,1
24,2063,1
12,159,1
14,1865,1
9,130,1
8,340,1
5,16,1
14,754,1
11,48,1
7,53,1
27,747,1
9,22,1
7,174,1
8,119,1
9,687,1
7,810,1
9,107,1
8,39,1
7,46,1
8,18,1
8,202,1
7,11,1
7,66,1
6,51,1
9,344,1
9,266,1
10,199,1
8,66,1
7,20,1
9,131,1
12,43,1
7,29,1
8,197,1
8,37,1
7,691,1
24,348,1
7,136,1
3,11,1
11,152,1
11,1096,1
7,16,1
20,176,1
7,23,1
9,793,1
7,27,1
11,157,1
9,341,1
10,840,1
8,25,1
7,53,1
8,294,1
11,722,1
8,111,1
7,20,1
9,359,1
9,215,1
7,26,1
9,70,1
7,16,1
6,24,1
5,10,1
11,99,1
79,4009,1
8,58,1
8,56,1
5,7,1
11,302,1
9,132,1
8,63,1
12,69,1
9,405,1
9,228,1
82,7618,1
7,32,1
11,153,1
9,26,1
8,20,1
8,83,1
11,81,1
10,537,1
14,1271,1
5,7,1
15,1378,1
12,311,1
8,146,1
2,7,1
3,16,1
8,102,1
6,19,1
6,72,1
9,177,1
11,969,1
10,469,1
12,142,1
7,50,1
9,43,1
7,185,1
10,171,1
8,47,1
6,184,1
7,85,1
8,33,1
9,175,1
13,783,1
9,218,1
8,183,1
6,19,1
9,55,1
5,13,1
14,975,1
11,465,1
13,2144,1
22,808,1
7,23,1
12,599,1
7,33,1
6,25,1
9,522,1
5,69,1
9,643,1
9,243,1
13,758,1
9,179,1
3,7,1
6,22,1
7,245,1
4,13,1
8,21,1
8,88,1
22,823,1
9,299,1
9,528,1
10,1361,1
7,21,1
8,31,1
5,158,1
10,149,1
25,5572,1
7,24,1
8,38,1
10,492,1
12,184,1
7,79,1
12,239,1
9,358,1
9,107,1
12,60,1
10,97,1
7,413,1
7,246,1
9,501,1
15,2127,1
8,69,1
14,133,1
7,386,1
7,333,1
9,585,1
9,287,1
8,44,1
7,262,1
7,34,1
10,133,1
10,92,1
10,432,1
9,63,1
7,19,1
10,131,1
11,22,1
10,102,1
7,99,1
9,178,1
7,19,1
7,98,1
7,35,1
17,411,1
13,147,1
10,333,1
8,45,1
8,141,1
9,190,1
10,201,1
8,167,1
8,113,1
9,102,1
9,69,1
11,76,1
7,64,1
6,135,1
7,46,1
11,611,1
10,83,1
8,69,1
9,344,1
8,143,1
8,222,1
11,662,1
7,23,1
8,72,1
7,17,1
7,35,1
6,178,1
8,105,1
7,45,1
8,887,1
5,31,1
7,30,1
6,105,1
11,36,1
9,144,1
1,7,1
15,489,1
9,261,1
10,88,1
7,223,1
8,561,1
7,22,1
9,103,1
5,42,1
9,243,1
8,15,1
11,50,1
3,8,1
6,95,1
8,123,1
10,93,1
9,278,1
7,42,1
9,223,1
4,7,1
11,527,1
1,12,1
8,327,1
6,37,1
5,65,1
7,7,1
10,83,1
9,136,1
8,88,1
8,23,1
9,383,1
5,10,1
10,48,1
10,805,1
10,103,1
9,179,1
8,98,1
8,398,1
10,326,1
13,710,1
7,15,1
8,56,1
10,338,1
7,33,1
8,158,1
13,552,1
7,92,1
9,131,1
9,57,1
9,46,1
8,161,1
7,79,1
9,40,1
7,98,1
5,15,1
10,68,1
8,29,1
7,32,1
8,274,1
6,10,1
7,74,1
3,7,1
9,168,1
8,86,1
7,21,1
8,83,1
9,208,1
8,131,1
8,115,1
7,72,1
5,43,1
28,623,1
10,675,1
13,1076,1
7,101,1
5,91,1
9,1094,1
9,555,1
9,34,1
10,908,1
10,412,1
14,1032,1
9,222,1
7,19,1
6,27,1
6,29,1
5,25,1
7,60,1
10,667,1
11,158,1
7,43,1
8,150,1
11,133,1
5,80,1
6,29,1
9,265,1
7,23,1
8,144,1
11,140,1
7,130,1
9,286,1
1,15,1
9,178,1
14,505,1
10,508,1
4,205,1
10,283,1
8,229,1
9,120,1
8,11,1
9,209,1
8,34,1
10,509,1
11,51,1
8,120,1
5,7,1
7,411,1
7,56,1
9,567,1
22,330,1
10,64,1
12,53,1
9,35,1
6,24,1
8,230,1
9,236,1
8,30,1
8,43,1
8,26,1
9,222,1
6,22,1
10,236,1
11,124,1
7,152,1
9,275,1
8,136,1
10,138,1
7,60,1
7,100,1
8,28,1
10,744,1
11,520,1
10,594,1
8,58,1
11,931,1
24,7164,1
16,2582,1
8,52,1
7,26,1
9,158,1
8,178,1
8,177,1
9,371,1
23,4409,1
6,153,1
24,2746,1
11,1612,1
12,486,1
7,65,1
6,20,1
8,157,1
8,15,1
10,278,1
9,244,1
11,360,1
8,9,1
2,7,1
7,228,1
10,190,1
7,23,1
8,27,1
7,46,1
10,23,1
6,98,1
9,145,1
7,87,1
9,69,1
13,663,1
8,816,1
9,53,1
11,71,1
9,63,1
9,64,1
9,127,1
6,13,1
9,173,1
9,199,1
15,1232,1
8,230,1
8,103,1
7,82,1
8,39,1
9,164,1
1,40,1
1,13,1
10,366,1
8,66,1
10,261,1
7,28,1
6,91,1
6,1,1
8,60,1
10,1158,1
6,70,1
7,158,1
7,195,1
14,1624,1
7,88,1
8,71,1
7,52,1
8,139,1
9,50,1
7,54,1
7,96,1
9,260,1
11,847,1
8,159,1
10,121,1
9,290,1
10,461,1
7,125,1
7,29,1
3,13,1
9,117,1
9,192,1
8,222,1
6,19,1
9,219,1
9,44,1
7,46,1
4,7,1
26,2252,1
9,372,1
8,140,1
10,219,1
8,389,1
10,426,1
8,147,1
7,97,1
7,53,1
7,323,1
7,116,1
9,195,1
7,14,1
7,72,1
7,50,1
4,18,1
8,411,1
13,1749,1
11,102,1
23,2739,1
7,25,1
8,99,1
5,11,1
14,1453,1
11,525,1
10,32,1
7,15,1
10,159,1
8,91,1
9,123,1
9,242,1
9,20,1
5,9,1
26,833,1
5,86,1
10,259,1
6,24,1
8,49,1
10,378,1
8,26,1
6,62,1
7,114,1
7,35,1
14,1636,1
8,54,1
8,111,1
3,9,1
8,171,1
9,330,1
8,27,1
7,268,1
9,141,1
7,109,1
9,67,1
8,89,1
8,39,1
10,258,1
9,77,1
7,43,1
10,297,1
8,522,1
8,36,1
9,439,1
9,151,1
9,87,1
8,57,1
6,20,1
7,254,1
7,87,1
16,1530,1
8,20,1
8,106,1
8,91,1
7,76,1
9,251,1
5,8,1
13,1891,1
5,41,1
8,18,1
10,889,1
10,204,1
9,390,1
8,510,1
5,58,1
10,508,1
9,757,1
10,112,1
9,60,1
9,482,1
5,63,1
6,16,1
10,439,1
19,69,1
11,314,1
9,320,1
8,47,1
7,30,1
9,266,1
9,17,1
7,22,1
7,380,1
9,136,1
12,727,1
5,14,1
9,681,1
7,336,1
8,15,1
7,65,1
9,120,1
7,7,1
7,75,1
9,151,1
10,520,1
8,51,1
10,445,1
8,76,1
7,149,1
9,61,1
9,409,1
13,684,1
9,240,1
8,30,1
7,44,1
10,135,1
8,370,1
8,55,1
7,65,1
5,78,1
6,11,1
9,78,1
4,11,1
10,99,1
9,136,1
12,47,1
9,117,1
10,173,1
11,379,1
10,157,1
9,564,1
10,191,1
9,16,1
77,8396,1
9,257,1
34,406,1
10,124,1
10,484,1
1,9,1
14,1028,1
8,237,1
8,36,1
7,26,1
9,583,1
8,251,1
8,80,1
9,423,1
17,153,1
10,108,1
6,158,1
11,95,1
7,28,1
8,61,1
8,31,1
8,30,1
20,181,1
8,52,1
11,92,1
7,20,1
6,56,1
14,376,1
8,46,1
7,20,1
14,1791,1
8,208,1
7,76,1
4,7,1
7,50,1
9,651,1
7,204,1
20,188,1
5,33,1
11,135,1
11,118,1
8,106,1
7,61,1
7,672,1
9,396,1
28,1235,1
9,124,1
11,274,1
8,15,1
5,14,1
8,92,1
9,190,1
25,2272,1
9,48,1
9,61,1
5,33,1
7,23,1
7,24,1
8,61,1
17,147,1
10,26,1
9,518,1
7,248,1
11,46,1
8,32,1
9,826,1
8,106,1
10,439,1
8,70,1
11,511,1
8,65,1
11,140,1
9,250,1
7,24,1
9,210,1
14,181,1
14,657,1
5,64,1
9,157,1
7,210,1
11,365,1
9,395,1
12,518,1
7,81,1
16,283,1
11,166,1
10,334,1
10,721,1
6,21,1
9,502,1
9,510,1
10,97,1
7,24,1
11,34,1
8,101,1
8,26,1
8,139,1
5,55,1
7,19,1
6,57,1
5,17,1
9,279,1
10,1302,1
6,87,1
9,283,1
9,192,1
10,297,1
5,218,1
7,36,1
8,153,1
7,50,1
9,36,1
6,169,1
4,10,1
16,361,1
9,446,1
10,80,1
9,223,1
10,57,1
9,198,1
4,8,1
10,82,1
10,133,1
8,23,1
8,80,1
10,645,1
8,77,1
12,288,1
7,62,1
8,37,1
9,221,1
38,4341,1
24,4645,1
10,85,1
11,234,1
14,799,1
8,63,1
11,60,1
7,35,1
8,273,1
5,58,1
8,87,1
9,84,1
12,466,1
11,60,1
11,609,1
9,168,1
8,80,1
6,70,1
8,427,1
9,117,1
7,70,1
7,80,1
8,48,1
5,12,1
6,60,1
6,42,1
13,1421,1
8,142,1
9,546,1
7,156,1
7,40,1
9,216,1
12,81,1
7,22,1
6,37,1
8,24,1
7,19,1
11,286,1
25,3392,1
7,48,1
6,21,1
11,98,1
23,2684,1
7,90,1
9,302,1
9,397,1
8,83,1
8,77,1
6,23,1
10,251,1
7,121,1
9,29,1
5,33,1
11,502,1
9,476,1
5,15,1
10,483,1
7,404,1
10,849,1
10,761,1
16,2476,1
8,42,1
6,156,1
10,299,1
7,279,1
8,66,1
8,181,1
13,1820,1
10,506,1
7,45,1
6,59,1
8,42,1
7,89,1
8,72,1
8,35,1
8,424,1
17,2273,1
12,324,1
10,65,1
9,182,1
9,143,1
5,34,1
9,58,1
4,160,1
5,46,1
13,332,1
5,10,1
9,760,1
9,116,1
8,42,1
8,32,1
19,703,1
8,30,1
11,738,1
7,30,1
9,205,1
6,39,1
