@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7-8,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
5,2.5,15,1
3,84,84,2
9,3,81,1
9,1.93,237,1
9,1.91,212,1
9,1.84,210,1
8,10,10,1
2,30,60,2
9,3.18,175,1
9,1.57,55,1
9,2.84,182,1
9,2.42,116,1
1,8,8,2
2,2.75,11,1
11,5.75,46,1
11,15.67,47,1
10,2.41,383,1
11,1.69,242,1
9,1.93,241,1
8,1.54,152,1
12,1.58,174,1
7,2.36,33,1
8,1.97,57,1
9,1.83,218,1
8,1.84,81,1
9,2.57,372,1
11,4.13,33,1
9,3.3,178,1
1,5.75,23,2
8,2.49,204,1
8,2,48,1
8,2.37,249,1
9,3.49,199,1
10,3.02,471,1
9,3.35,184,1
66,2.6,130,4
10,3,597,1
1,61,61,2
8,1.44,222,1
9,2.25,146,1
306,2.69,7861,5
10,2.74,439,1
9,2.35,280,1
10,2.84,329,1
9,3.36,198,1
9,2.19,136,1
12,3.11,28,1
8,1.68,52,1
10,3.17,73,1
10,2.1,132,1
1,5.17,31,2
10,3.18,632,1
7,2.15,58,1
1,2,8,2
8,1.79,77,1
12,2.21,86,1
1,30.67,92,2
9,3.23,181,1
8,2.1,128,1
8,2.38,31,1
4,4,16,1
9,2.18,183,1
11,2.74,159,1
7,21,21,1
76,76,76,4
8,2.13,83,1
10,2.64,439,1
10,2.92,570,1
6,2.67,112,1
1,13,13,2
12,9.17,55,1
11,8.86,62,1
1,13,13,2
9,2.74,156,1
11,2.18,266,1
9,2.16,278,1
12,1.77,184,1
8,2.3,101,1
7,1.54,230,1
10,9,54,1
10,9.2,46,1
9,1.42,34,1
8,2.24,235,1
9,1.64,46,1
9,1.96,161,1
9,1.67,70,1
8,1.72,103,1
8,3.4,170,1
9,2.98,176,1
11,2.72,166,1
10,3.32,93,1
17,17,17,4
10,2.41,448,1
13,13,13,4
23,23,23,4
8,1.82,348,1
9,2.24,112,1
10,2.28,321,1
7,1.77,202,1
15,2.81,489,1
7,1.65,400,1
12,3.5,458,1
14,2.16,1525,1
5,1.67,80,1
4,1.83,179,1
8,2.88,72,1
10,3.03,360,1
8,1.99,241,1
9,2.14,344,1
13,2.8,617,1
22,10.59,784,1
8,2.01,328,1
12,2.61,637,1
12,2.59,96,1
7,2.58,49,1
8,2.05,225,1
8,1.76,167,1
7,1.99,147,1
13,2.19,1437,1
11,3.05,125,1
10,2.84,338,1
10,10,10,4
19,3.01,208,1
12,5.3,53,1
9,1.99,619,1
5,2.67,8,5
10,1.87,482,1
14,2.83,34,5
7,1.89,17,5
7,8,8,1
8,1.35,404,1
10,1.57,11,5
10,1.31,509,1
21,5.69,74,5
8,1.54,83,1
10,1.47,469,1
10,1.38,441,1
10,1.29,247,1
7,1.46,57,1
11,1.44,177,1
8,1.57,36,1
6,1.4,116,1
5,1.82,20,1
5,1.28,59,1
8,1.11,20,1
6,1.28,23,1
10,3,27,1
7,1.6,32,1
7,2.2,22,1
7,1.61,29,1
7,1.45,80,1
9,1.44,456,1
7,1.35,50,1
7,1.75,28,1
7,1.46,114,1
5,1.38,29,1
10,1.36,469,1
7,1.46,51,1
7,1.46,136,1
9,1.49,131,1
6,1.58,41,1
7,1.53,98,1
9,1.78,16,1
6,1.2,49,1
7,1.57,94,1
5,2,16,1
7,1.39,25,1
7,1.94,33,1
7,2,8,1
7,1.82,31,1
7,2,28,1
7,2.38,19,1
5,1.48,31,1
7,1.48,40,1
7,1.38,69,1
9,1.44,36,1
9,1.52,50,1
7,1.19,32,1
6,1.33,20,1
8,1.36,61,1
7,1.67,45,1
5,1.63,13,1
4,1.41,31,1
7,1.36,68,1
9,1.62,42,1
8,3,27,1
7,1.2,61,1
7,1.19,38,1
7,1.52,35,1
7,1.69,22,1
9,1.29,22,1
7,1.35,101,1
7,1.85,50,1
7,1.64,36,1
9,1.42,95,1
7,1.67,15,1
4,4.5,9,1
7,1.71,53,1
5,2.67,8,1
7,1.32,66,1
7,1.35,35,1
9,1.48,181,1
5,10,10,1
7,1.45,81,1
8,1.24,31,1
7,1.45,45,1
7,1.68,52,1
7,1.29,85,1
6,1.17,96,1
7,1.15,75,1
7,1.33,24,1
9,1.52,47,1
5,1.31,67,1
8,1.34,79,1
7,1.26,115,1
8,2.2,88,1
24,2.07,60,5
8,2,46,1
8,2.03,61,1
8,2.3,108,1
7,1.8,9,5
8,1.74,59,1
9,2,40,1
11,1.86,67,1
11,2.27,118,1
21,2.3,46,1
13,5.25,21,5
8,1.81,65,1
9,1.81,29,1
8,7,14,5
10,2.33,105,1
9,2.8,28,1
8,2.13,34,1
9,1.82,133,1
8,1.88,92,1
9,3.31,53,1
9,1.59,520,1
8,2.2,33,1
9,2.14,120,1
9,2.31,67,1
10,2.43,102,1
8,2.1,42,1
10,2.3,159,1
10,2,50,1
8,2.54,66,1
8,2.41,77,1
8,2.28,41,1
10,2.29,215,1
8,2.2,44,1
6,2.11,80,1
11,2.08,212,1
10,2.38,93,1
8,1.77,99,1
8,2.59,44,1
8,1.87,103,1
11,1.89,140,1
8,2.57,59,1
10,1.85,191,1
9,1.84,57,1
8,1.85,124,1
5,2,24,1
12,1.92,698,1
8,2,92,1
9,1.86,65,1
11,1.93,131,1
8,2.1,42,1
8,1.61,111,1
6,2.24,47,1
8,2,54,1
8,2.17,26,1
10,1.87,71,1
8,2.55,51,2
8,3.38,54,1
7,3.5,14,1
10,1.85,427,1
8,1.9,80,1
1,7,7,1
5,7,7,1
5,3.17,38,1
5,4.67,28,1
5,2.35,47,1
5,2.57,36,1
5,2.33,49,1
8,1.84,57,1
10,1.74,676,1
9,2.23,29,1
8,1.8,36,1
10,2.13,96,1
6,10,10,1
10,2.07,116,1
8,3.11,28,1
6,3.12,81,1
5,2.37,64,1
5,2.19,59,1
5,2.75,33,1
8,3,54,1
8,2.21,86,1
5,2.42,58,1
8,2.1,42,1
10,2.89,52,1
11,2.46,64,1
8,1.78,16,1
8,2.38,93,1
7,2.33,21,1
10,1.93,56,1
7,1.87,170,1
8,2.32,44,1
11,1.94,747,1
10,1.89,85,1
10,1.89,34,1
7,1.81,76,1
8,1.64,100,1
8,1.61,124,1
10,2.25,133,1
8,1.85,161,1
8,2,46,1
10,2.09,138,1
8,1.93,162,1
8,2.45,27,1
8,1.94,167,1
8,1.89,85,1
8,2.38,31,1
8,3.22,29,1
7,1.81,76,1
10,2.25,27,1
10,1.86,95,1
11,1.97,201,1
8,1.88,111,1
6,2.22,20,1
8,2.5,50,1
10,1.98,81,1
5,2.33,21,1
8,2.09,96,1
8,1.88,158,1
7,3,12,1
11,1.84,685,1
7,2.13,100,1
10,1.8,110,1
8,3,12,1
7,1.85,61,1
8,1.89,136,1
7,1.91,109,1
8,1.87,161,1
10,1.72,452,1
7,1.62,34,1
8,1.66,106,1
28,5.96,411,1
7,2.77,672,1
8,1.19,197,1
1,5,10,1
5,1.3,126,1
7,1.64,18,1
8,1.38,54,1
9,1.21,374,1
25,7.16,2221,1
9,1.3,732,1
9,1.31,629,1
10,1.28,703,1
13,4,164,1
9,1.73,216,1
9,2.53,537,1
9,1.38,130,1
7,1.37,278,1
8,1.91,153,1
2,16.76,419,2
2,10.75,43,2
9,1.33,681,1
9,1.31,358,1
9,1.39,655,1
2,95.8,479,2
1,537,537,2
8,1.39,174,1
28,7.02,414,3
9,2.3,507,1
8,1.27,290,1
1,29.22,263,2
10,1.19,301,1
1,24.33,73,2
9,2.15,476,1
8,2.29,32,1
10,1.51,886,1
10,1.47,827,1
9,1.38,201,1
8,1.83,33,1
9,1.53,221,1
8,2.91,198,1
7,1.8,149,1
7,1.4,63,1
9,1.42,755,1
7,1.28,333,1
2,32.11,578,2
8,1.28,232,1
9,1.31,740,1
7,1.94,149,1
8,3.18,705,1
8,2.91,285,1
2,1.08,13,1
9,1.34,760,1
9,1.42,143,1
9,1.6,117,1
9,1.36,478,1
9,1.3,196,1
7,1.23,75,1
24,7.86,2099,1
25,7.28,2207,1
9,1.6,184,1
8,1.2,250,1
9,1.29,582,1
8,1.38,113,1
1,1.06,19,1
8,1.21,179,1
9,1.26,345,1
1,1.05,22,1
1,1.11,10,1
11,2.09,438,1
95,3.63,5966,3
9,6.42,212,1
15,10.38,83,1
13,6.61,251,1
10,5.2,317,1
9,21,42,1
13,5.19,384,1
1,14,14,2
13,4.63,2144,1
10,2.67,869,1
13,4.97,1579,1
10,9,108,1
1,38,114,2
1,25,25,2
14,4.54,2010,1
14,4.71,1865,1
10,2.42,645,1
7,2.93,223,1
24,16.91,2333,1
11,2.85,567,1
1,10,10,2
1,5.33,32,2
10,9.4,94,1
10,3.04,781,1
12,4.75,1259,1
26,3.46,2252,1
12,12,12,4
11,4.53,937,1
10,7.25,87,1
13,4.58,733,1
10,8.07,121,1
10,8.29,116,1
14,4.44,2152,1
10,7.5,105,1
10,9.5,114,1
8,2.51,617,1
13,4.71,1007,1
7,2.56,164,1
3,9,9,1
14,4.46,1584,1
9,2.56,810,1
10,7.5,105,1
24,17.27,4645,1
11,2.96,609,1
12,9.94,159,1
11,8.93,125,1
83,8.77,7353,5
17,5.15,597,1
16,5.35,2268,1
14,5.97,376,1
16,5.38,1890,1
11,7.78,140,1
3,10,10,1
11,7.35,125,1
11,14,14,4
3,11,11,1
8,6.9,69,1
9,1.76,573,1
10,1.77,461,1
8,6.22,56,1
9,2.98,387,1
8,2.85,424,1
15,4.15,228,1
24,38.65,10359,2
9,1.93,356,1
7,1.62,372,1
8,1.61,191,1
5,3.08,40,1
8,1.34,142,1
8,1.45,331,1
6,1.48,89,1
5,1.51,86,1
17,4.79,163,1
18,5.76,196,1
7,3.14,135,1
16,4.72,151,1
17,4.88,166,1
16,4.51,158,1
9,1.42,359,1
6,1.85,174,1
4,2.19,160,1
7,1.49,248,1
160,55.42,9199,5
10,2.16,218,1
7,2.4,12,1
6,1.39,25,1
7,1.82,109,1
7,2.31,90,1
7,1.73,19,1
7,1.42,17,1
1,1.04,25,1
7,1.79,100,1
9,1.61,111,1
9,2.03,266,1
9,1.52,403,1
5,2,20,1
5,7,7,4
9,1.66,123,1
7,1.41,38,1
5,1.6,40,1
17,1.46,328,1
11,189.79,2657,2
6,30,30,1
23,21.18,233,1
10,1.59,240,1
9,2.13,51,1
12,1.68,721,1
1,27.13,217,2
1,18.6,93,2
13,1.58,811,1
2,3.5,7,1
6,3,18,1
8,1.35,459,1
20,13.68,260,1
20,19.56,176,1
20,21.15,275,1
8,34.33,103,1
7,2.05,119,1
9,3.88,31,1
8,1.64,454,1
7,3.11,28,1
12,3.07,89,1
11,4.36,48,1
1,64,192,2
2,32.17,193,2
38,3.29,1574,1
1,9,9,2
14,2.21,505,1
9,1.39,146,1
1,64,128,2
11,1.59,516,1
4,40.57,1136,2
