@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8,11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
6,10,1
5,15,1
6,17,1
13,76,1
11,147,1
10,162,1
10,156,1
11,250,1
12,172,1
2,31,2
11,391,1
11,442,1
11,341,1
11,309,1
8,116,1
2,26,2
7,27,1
9,50,1
9,192,1
9,103,1
7,111,1
5,35,1
3,18,1
9,283,1
10,42,1
9,96,1
4,11,1
10,449,1
9,249,1
2,392,2
48,1058,5
304,8898,5
9,248,1
6,28,1
5,64,1
19,4591,2
10,270,1
1,28,2
22,162,1
10,121,1
37,1053,1
10,76,1
1,42,2
8,138,1
9,62,1
10,214,1
10,274,1
10,246,1
7,15,1
7,234,1
11,64,1
11,36,1
9,261,1
9,231,1
9,44,1
9,169,1
11,223,1
8,45,1
12,315,1
12,70,1
11,273,1
8,28,1
9,411,1
8,30,1
11,73,1
10,195,1
9,102,1
10,223,1
12,243,1
9,239,1
11,23,1
9,252,1
10,455,1
9,236,1
9,182,1
9,130,1
9,600,1
9,69,1
11,213,1
9,61,1
8,18,1
9,86,1
8,116,1
10,194,1
14,1084,1
9,397,1
261,492,4
8,12,1
8,11,1
10,55,1
10,47,1
8,92,1
12,197,1
9,277,1
11,81,1
8,236,1
10,317,1
10,638,1
36,793,5
13,421,1
11,11,4
9,112,1
7,98,1
3,59,2
6,324,1
8,231,1
5,176,1
13,1406,1
11,230,1
6,190,1
7,66,1
22,760,1
12,469,1
11,107,1
22,810,1
8,259,1
11,130,1
6,231,1
9,51,1
8,421,1
11,151,1
12,1657,1
8,47,1
9,298,1
8,194,1
7,220,1
8,172,1
9,191,1
8,319,1
11,431,1
2,8,2
9,354,1
11,420,1
6,215,1
18,301,1
10,81,1
13,21,5
8,681,1
8,47,1
7,9,1
7,18,1
100,458,5
7,52,5
11,483,1
10,105,1
8,140,1
11,502,1
10,284,1
8,85,1
10,522,1
7,35,1
7,14,1
7,39,1
5,23,1
7,33,1
10,22,1
6,24,1
10,27,1
10,47,1
9,114,1
9,45,1
9,46,1
5,35,1
7,44,1
7,74,1
9,100,1
7,96,1
7,21,1
6,15,1
7,53,1
8,22,1
7,24,1
7,34,1
7,27,1
7,12,1
7,68,1
5,25,1
9,106,1
9,38,1
8,57,1
7,53,1
7,28,1
5,45,1
7,23,1
7,62,1
7,69,1
10,30,1
7,23,1
6,21,1
7,15,1
7,30,1
7,40,1
6,42,1
7,76,1
9,25,1
6,56,1
7,70,1
7,14,1
7,37,1
7,69,1
8,8,1
7,71,1
7,30,1
7,143,1
6,38,1
9,155,1
7,29,1
6,25,1
7,17,1
5,98,1
5,13,1
9,313,1
6,34,1
5,9,1
9,98,1
7,68,1
7,61,1
7,65,1
9,47,1
7,67,1
9,492,1
6,36,1
8,69,1
9,30,1
7,33,1
9,31,1
9,36,1
6,68,1
5,20,1
9,18,1
7,68,1
9,104,1
9,49,1
8,56,1
10,106,1
8,22,1
16,10,5
8,33,1
8,137,1
8,44,1
9,100,1
8,21,1
10,256,1
27,36,4
7,57,2
9,54,1
11,143,1
9,262,1
10,72,1
6,54,1
9,55,1
6,8,5
9,90,1
6,48,1
11,258,1
11,824,1
8,116,1
10,105,1
8,151,1
8,123,1
7,81,1
9,65,1
9,199,1
11,165,1
11,211,1
8,42,1
10,77,1
10,69,1
11,619,1
11,292,1
10,186,1
10,166,1
10,120,1
8,23,1
8,38,1
8,74,1
8,135,1
10,53,1
8,197,1
6,31,2
8,85,1
6,35,1
11,317,1
10,22,1
10,35,1
10,99,1
7,56,1
8,15,1
8,118,1
5,23,1
10,115,1
10,203,1
10,98,1
8,65,1
8,39,1
10,88,1
8,87,1
8,38,1
10,87,1
8,57,1
6,66,1
8,164,1
10,54,1
7,62,1
8,49,1
5,14,1
8,57,1
8,58,1
8,97,1
8,82,1
8,26,1
9,240,1
8,54,1
8,40,1
10,736,1
7,49,1
10,156,1
8,222,1
9,83,1
11,697,1
8,38,1
9,53,1
8,76,1
6,21,1
8,117,1
7,49,1
10,122,1
10,109,1
7,120,1
8,52,1
7,40,1
7,52,1
8,79,1
8,131,1
7,12,1
7,47,1
6,55,1
9,199,1
7,22,1
9,441,1
6,20,1
9,658,1
1,17,1
6,21,1
9,499,1
9,748,1
9,449,1
30,278,5
8,202,1
9,336,1
9,500,1
14,862,1
8,268,1
8,460,1
9,840,1
8,329,1
10,733,1
8,147,1
9,215,1
8,290,1
9,394,1
25,5707,1
28,437,3
8,446,1
8,261,1
1,214,2
9,415,1
7,62,1
7,82,1
10,406,1
9,316,1
2,685,2
10,319,1
10,618,1
10,822,1
13,751,1
8,38,1
8,34,1
8,106,1
13,160,1
24,2182,1
9,283,1
9,576,1
25,2121,1
9,601,1
9,258,1
9,594,1
9,160,1
9,187,1
2,562,2
9,279,1
8,469,1
8,167,1
8,631,1
9,712,1
7,95,1
9,501,1
6,83,1
1,20,1
54,54,4
10,373,1
10,735,1
1,11,2
10,99,1
11,724,1
13,1027,1
6,27,1
1,365,2
10,301,1
10,220,1
11,868,1
7,143,1
1,11,2
8,504,1
24,7238,1
7,7,2
132,26693,3
1,14,1
10,486,1
1,12,2
24,2683,1
10,108,1
15,2170,1
54,6238,5
9,292,1
10,10,4
17,1671,1
17,4167,1
9,96,1
1,110,2
8,211,1
10,485,1
10,919,1
14,2188,1
9,106,1
14,1654,1
6,178,1
9,9,4
1,15,2
11,2137,1
14,2209,1
24,4329,1
9,823,1
24,3799,1
10,116,1
17,2162,1
12,1079,1
16,1157,1
7,313,1
10,514,1
9,326,1
11,293,1
12,518,1
24,6828,1
16,1956,1
16,1276,1
3,683,1
186,33017,3
9,483,1
23,2695,1
11,305,1
9,524,1
1,7,2
15,976,1
12,1315,1
17,2388,1
11,1371,1
9,384,1
8,66,1
7,202,1
8,258,1
8,389,1
8,421,1
4,32,1
17,159,1
7,147,1
8,162,1
6,25,4
4,52,1
6,133,1
1,7,1
10,641,1
8,576,1
10,764,1
6,171,1
6,174,1
6,155,1
10,543,1
4,104,1
32,32,4
9,129,1
9,310,1
8,240,1
1,15,1
7,73,1
1,60,2
7,188,1
7,33,1
9,131,1
8,144,1
1,16,1
6,53,1
8,31,1
8,306,1
7,70,1
7,182,1
7,274,1
1,178,2
3,543,2
10,52,1
11,68,1
10,72,1
3,411,2
9,50,1
1,8,2
13,612,1
5,18,1
8,236,1
9,456,1
2,24,2
158,4213,5
9,354,1
7,66,1
11,125,5
9,407,1
7,114,1
1,80,2
7,178,1
7,169,1
7,120,1
8,149,1
5,20,1
7,120,1
5,75,1
5,12,1
8,98,1
10,56,1
1,138,2
9,81,1
2,18,2
2,17,2
11,52,1
1,158,2
1,197,2
60,1574,1
11,385,1
11,66,1
