@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R2,4,11'

@attribute Lenght numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
18,3,1
6,1.5,1
25,1.923,1
16,2.286,1
103,14.714,1
9,0.818,1
113,37.667,2
98,9.8,1
22,11,2
90,10,1
13,13,2
20,1.818,1
13,1.444,1
107,15.286,1
95,10.556,1
35,3.889,1
75,75,2
8,1.6,1
13,13,2
2,0.021,4
81,8.1,1
82,9.111,1
84,7.636,1
115,10.455,1
2,0.5,4
46,5.75,1
41,5.125,1
236,118,2
14,1.75,1
80,8.889,1
120,13.333,1
35,3.182,1
21,2.333,1
53,5.3,1
40,4,1
82,10.25,1
13,1.182,1
8,0.727,1
43,3.909,1
75,8.333,1
121,13.444,1
40,4,1
340,24.286,1
8,0.667,1
2,0.118,4
118,10.727,1
41,4.556,1
29,29,2
31,4.429,1
17,2.833,1
49,4.9,1
34,3.778,1
82,9.111,1
8,0.667,1
86,8.6,1
48,4.8,1
40,40,2
13,2.167,1
8,0.8,1
24,3,1
17,2.125,1
82,9.111,1
63,6.3,1
34,3.778,1
11,11,2
17,17,2
121,17.286,1
38,3.8,1
36,4,1
13,1.444,2
52,5.778,1
46,4.6,1
9,1,1
42,42,2
176,88,2
52,26,1
44,8.8,1
14,7,2
123,17.571,1
8,0.667,1
8,0.727,1
12,1.333,1
101,9.182,1
42,4.667,1
455,23.947,1
23,2.875,1
15,1.875,1
14,1.75,1
2,0.333,1
7,0.7,1
12,1.333,1
101,9.182,1
73,73,2
21,2.625,1
46,5.75,1
93,10.333,1
106,8.154,1
17,3.4,1
72,9,1
108,10.8,1
409,31.462,1
100,16.667,1
84,7,1
35,3.182,1
42,4.667,1
147,11.308,1
128,10.667,1
410,34.167,1
69,8.625,1
106,11.778,1
29,4.833,1
37,4.111,1
54,5.4,1
71,3.227,1
43,8.6,1
96,2.667,5
105,10.5,1
84,6.462,1
185,23.125,1
89,14.833,1
118,9.833,1
105,8.75,1
33,3.3,1
389,55.571,1
48,2.667,1
41,5.857,1
271,27.1,1
271,30.111,1
69,8.625,1
272,34,1
54,6.75,1
25,3.125,1
49,0.605,5
6,1,5
272,27.2,1
8,0.615,5
272,27.2,1
272,27.2,1
62,7.75,1
24,4,1
271,24.636,1
7,1,1
271,27.1,1
7,1,1
8,1.143,1
7,1.4,1
81,9,1
52,10.4,1
38,7.6,1
25,4.167,1
79,7.9,1
41,5.857,1
40,6.667,1
17,2.125,1
17,2.833,1
13,2.167,1
3,0.6,1
9,1.286,1
151,15.1,1
37,4.111,1
23,2.875,1
11,1.571,1
36,5.143,1
29,4.143,1
9,1.286,1
9,1.286,1
4,0.571,1
18,2.571,1
32,4.571,1
29,3.222,1
13,1.857,1
11,1.375,1
24,3.429,1
18,2.571,1
13,1.857,1
19,2.714,1
11,1.571,1
39,5.571,1
11,1.833,1
26,4.333,1
41,5.857,1
32,4.571,1
24,3.429,1
11,1.833,1
11,1.833,1
4,0.571,1
25,3.571,1
8,1.143,1
13,2.167,1
22,5.5,1
29,3.222,1
6,0.857,1
41,5.857,1
19,2.375,1
19,2.375,1
86,12.286,1
47,6.714,1
19,2.714,1
11,1.833,1
43,6.143,1
40,8,1
52,5.778,1
17,2.429,1
33,4.714,1
4,0.8,1
13,1.857,1
8,1.333,1
16,1.778,1
20,3.333,1
11,1.571,1
47,6.714,1
7,1.4,1
11,1.571,1
201,22.333,1
5,0.833,1
39,4.333,1
18,2.571,1
6,0.667,5
25,2.273,1
12,1.2,1
13,1.625,1
39,4.333,1
271,22.583,1
94,8.545,1
6,0.6,1
4,0.5,1
25,2.5,1
31,3.875,1
6,0.75,1
4,0.444,1
30,3,1
53,6.625,1
12,1.5,1
271,22.583,1
11,1.1,1
16,2,1
25,3.125,1
4,0.667,1
32,2.909,1
12,1.5,1
86,7.818,1
17,2.429,1
37,4.111,1
53,6.625,1
5,0.714,1
185,16.818,1
10,1.25,1
47,5.222,1
15,1.875,1
29,3.222,1
19,2.111,1
34,4.25,1
26,2.889,1
21,2.1,1
7,0.875,1
28,2.8,1
8,1,1
69,8.625,1
21,2.625,1
7,0.778,1
8,1,1
26,3.25,1
145,14.5,1
7,0.875,1
44,4,1
16,2,1
10,1.25,1
40,4,1
35,3.5,1
57,7.125,1
13,1.3,1
13,1.625,1
51,6.375,1
25,25,1
19,2.375,1
25,3.125,1
5,0.625,1
34,0.5,5
19,2.111,1
34,3.4,1
20,2.222,1
13,1.444,1
10,2.5,1
91,10.111,1
3,0.6,1
10,2,1
228,22.8,1
7,0.875,1
4,0.667,1
262,26.2,1
23,2.875,1
20,2.5,1
14,1.75,1
23,2.875,1
14,1.75,1
14,2.8,1
261,23.727,1
18,2,1
38,3.8,1
99,9.9,1
31,3.1,1
31,3.1,1
18,2.571,1
63,6.3,1
14,2,1
22,2.75,1
53,7.571,1
14,2.8,1
27,5.4,1
22,2.75,1
119,11.9,1
34,3.4,1
157,15.7,1
9,1.125,1
45,4.5,1
262,23.818,1
132,12,1
9,1.125,1
28,3.5,1
18,2.25,1
119,14.875,1
33,4.125,1
22,2.2,1
225,17.308,1
185,7.4,1
291,11.64,1
82,10.25,1
510,56.667,1
12,1.714,1
35,35,1
280,35,1
80,11.429,1
60,60,1
82,10.25,1
4,0.8,1
180,20,1
123,15.375,1
536,268,2
240,26.667,1
519,74.143,1
197,28.143,1
214,26.75,1
103,11.444,1
508,63.5,1
495,19.8,1
170,18.889,1
152,19,1
535,66.875,1
534,59.333,1
138,15.333,1
537,268.5,2
284,31.556,1
105,3.387,5
38,2.714,1
102,11.333,1
250,27.778,1
535,59.444,1
186,7.75,1
181,20.111,1
103,11.444,1
186,23.25,1
63,63,2
29,5.8,1
109,109,1
86,8.6,1
314,34.889,1
175,21.875,1
198,28.286,1
57,4.071,1
14,1.75,1
40,5,1
13,1.857,1
69,34.5,1
14,2,1
98,24.5,1
171,19,1
60,60,1
218,27.25,1
317,31.7,1
72,9,1
92,13.143,1
363,40.333,1
57,4.071,1
61,2.033,5
99,24.75,1
107,11.889,1
315,45,1
120,13.333,1
510,63.75,1
511,51.1,1
163,18.111,1
13,2.6,1
98,19.6,1
32,1.103,3
535,66.875,1
332,36.889,1
71,10.143,1
69,9.857,1
1,0.026,4
20,1.818,1
413,413,2
67,7.444,1
3,1,1
14,1.556,1
15,2.143,1
67,5.154,1
40,3.333,1
10,1,1
331,27.583,1
257,21.417,1
16,8,2
12,12,2
14,14,2
83,9.222,1
1,0.143,4
90,8.182,1
80,7.273,1
357,6.611,5
82,9.111,1
71,5.917,1
9,1,1
126,15.75,1
326,23.286,1
269,19.214,1
246,22.364,1
106,35.333,2
19,19,2
203,11.941,1
121,15.125,1
18,2,1
17,1.7,1
30,30,2
82,9.111,1
