@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8,10-11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
5,22,9,1
5,13,1,1
5,22,4,1
5,10,1,1
2,31,2,2
11,240,144,1
3,134,4,2
1,11,5,2
8,15,3,1
9,128,56,1
9,115,49,1
2,54,3,2
9,111,58,1
1,9,1,2
9,401,153,1
2,9,1,1
11,45,5,1
10,255,86,1
10,69,27,1
8,216,123,1
11,265,165,1
12,69,43,1
12,130,66,1
9,268,104,1
9,413,164,1
11,338,168,1
10,516,196,1
9,121,63,1
9,59,28,1
11,1019,458,1
1,41,4,2
9,44,26,1
9,286,162,1
12,58,25,1
12,151,66,1
8,24,3,1
9,61,35,1
11,350,81,1
10,87,30,1
12,358,184,1
11,185,43,1
9,213,122,1
9,284,124,1
22,330,155,1
9,157,58,1
1,23,5,2
10,575,206,1
7,49,18,1
8,61,25,1
12,76,5,1
11,314,143,1
10,131,41,1
11,365,159,1
9,163,65,1
9,433,156,1
3,348,4,2
9,316,133,1
12,357,171,1
23,166,92,1
9,218,90,1
12,61,26,1
10,133,60,1
1,29,3,2
7,9,5,1
8,134,63,1
8,20,4,5
9,13,2,5
11,376,189,1
9,528,186,1
8,122,56,1
11,101,25,1
9,151,91,1
11,269,155,1
11,68,28,1
8,177,55,1
10,359,171,1
12,377,189,1
9,144,58,1
1,40,2,2
1,13,2,2
11,38,10,1
1,29,1,2
9,187,62,1
10,201,94,1
7,11,7,1
9,119,69,1
12,160,69,1
8,129,59,1
8,13,2,1
10,48,8,1
1,58,7,2
9,54,31,1
8,242,125,1
8,237,120,1
9,140,84,1
9,219,96,1
11,133,61,1
9,216,112,1
9,549,194,1
26,26,1,4
13,255,99,1
7,9,1,5
2,8,2,2
10,345,161,1
6,303,175,1
15,15,1,4
14,245,98,1
13,1492,579,1
8,62,26,1
8,208,122,1
8,146,71,1
13,441,177,1
10,455,202,1
7,48,19,1
6,119,50,1
5,78,33,1
13,1475,556,1
13,1054,407,1
3,12,4,2
31,350,34,5
10,108,46,1
9,436,171,1
7,52,16,1
9,263,135,1
8,180,85,1
6,87,41,1
9,67,14,1
12,381,166,1
9,21,2,1
5,64,31,1
4,121,74,1
8,251,147,1
8,183,96,1
10,493,210,1
7,206,123,1
6,98,49,1
10,97,53,1
11,367,137,1
8,69,22,1
8,380,181,1
13,1919,623,1
85,969,674,5
10,758,382,1
9,692,358,1
5,7,2,5
8,370,264,1
10,432,330,1
10,520,348,1
8,221,156,1
5,16,9,1
9,401,313,1
11,314,223,1
8,55,38,1
8,118,84,1
5,38,29,1
6,7,1,1
7,20,7,1
9,61,47,1
6,64,49,1
9,32,24,1
1,107,5,2
7,63,47,1
7,60,44,1
4,7,7,1
6,75,59,1
7,78,43,1
7,53,35,1
1,32,7,2
7,54,32,1
6,13,8,1
7,58,34,1
