@relation page-blocks

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
5,1.48,31,1
7,2.44,110,1
5,2.13,164,1
10,1.82,93,1
8,2.3,108,1
9,1.27,275,1
9,2.04,243,1
8,2.12,104,1
10,2.47,299,1
7,1.46,79,1
7,1.28,82,1
11,4.41,931,1
8,1.64,389,1
8,2.87,473,1
1,1.07,16,1
7,1.4,320,1
3,9,9,1
9,1.75,320,1
10,2.1,88,1
8,1.76,65,1
8,1.34,79,1
1,25,25,1
10,1.98,115,1
7,1.63,26,1
8,1.54,91,1
6,1.35,42,1
13,4.63,2144,1
8,2,128,1
25,2.02,791,1
11,3.96,95,1
10,1.36,506,1
8,2.29,87,1
10,2.58,598,1
7,1.41,24,1
9,2.42,63,1
8,1.95,224,1
9,1.58,310,1
12,2.46,418,1
7,2.07,354,1
9,1.2,165,1
8,2.32,534,1
9,1.24,99,1
13,1.87,758,1
9,2.16,110,1
5,2.5,15,1
8,3.18,705,1
7,1.49,79,1
4,1.67,15,1
10,1.52,155,1
10,2.81,410,1
8,1.74,113,1
7,1.52,85,1
8,1.27,731,1
8,2,40,1
9,1.68,106,1
11,1.83,292,1
8,1.45,122,1
5,1.63,80,1
9,1.62,645,1
9,1.71,123,1
6,1.42,37,1
7,1.56,42,1
5,1.32,37,1
23,16.83,8027,1
6,1.97,156,1
10,8.14,114,1
8,2.24,235,1
6,1.38,84,1
5,1.83,11,1
9,1.63,44,1
6,2.2,174,1
9,1.98,247,1
9,1.39,187,1
9,2.22,171,1
5,4.33,13,1
9,2.09,182,1
7,1.69,237,1
5,2.11,19,1
8,2.94,715,1
21,2.3,46,1
8,1.88,141,1
10,2.94,232,1
9,7.13,107,1
13,6,114,1
10,2.64,361,1
9,1.27,168,1
8,1.8,36,1
9,1.93,264,1
7,1.88,32,1
11,9.44,151,1
17,2.94,411,1
10,2.25,214,1
10,1.76,60,1
9,6.17,74,1
7,1.15,30,1
7,1.37,56,1
10,2.05,82,1
8,1.7,321,1
16,7.21,101,1
8,3.13,97,1
7,1.88,32,1
9,1.97,246,1
7,1.75,35,1
10,2.38,38,1
8,2.21,374,1
9,1.46,131,1
7,1.69,177,1
5,1.69,27,1
8,2.08,125,1
9,1.34,43,1
10,2.27,195,1
11,4.44,40,1
6,2.44,178,1
11,2.65,305,1
12,8.35,142,1
7,1.87,196,1
7,2.56,23,1
11,4.13,66,1
8,1.79,177,1
7,1.28,128,1
6,1.67,70,1
7,1.6,233,1
8,1.34,398,1
8,2.58,103,1
9,3.23,181,1
10,2.33,105,1
8,1.91,42,1
5,1.14,75,1
7,1.59,46,1
10,5.57,301,1
24,15.91,7238,1
12,1.8,715,1
13,2.37,422,1
7,1.49,109,1
4,1.4,14,1
15,3.96,95,1
13,3.04,258,1
10,2.25,274,1
12,2.99,302,1
6,1.62,367,1
10,1.58,30,1
10,2.16,218,1
10,2.01,167,1
10,2.24,114,1
8,1.58,168,1
7,2.25,27,1
5,2,12,1
8,1.18,183,1
12,2.59,96,1
6,2.09,23,1
8,2.18,24,1
9,1.38,22,1
11,1.64,891,1
14,4.44,2152,1
6,3.38,27,1
3,11,11,1
17,5.3,2162,1
8,2.44,88,1
11,1.62,149,1
10,1.48,192,1
9,2,186,1
20,21.15,275,1
25,7.28,2207,1
9,1.85,211,1
17,17.75,71,1
