@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7-8,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
6,4.43,31,1
4,5.5,11,1
13,6,114,1
7,2.57,36,1
7,1.76,213,1
11,3.4,34,1
3,13.9,139,2
10,2.22,371,1
2,33,33,2
9,2.18,211,1
1,13,13,2
11,3.36,37,1
9,4.67,28,1
7,1.6,202,1
9,2.1,244,1
9,2.86,83,1
1,5.55,61,2
5,4.67,14,1
1,4.5,9,2
94,97,97,4
10,2.11,226,1
9,2.11,243,1
11,1.77,232,1
11,1.79,337,1
4,7,7,4
8,1.97,128,1
8,2.53,139,1
2,10.27,267,2
8,3.57,25,1
9,2.04,243,1
9,1.98,358,1
11,4.78,129,1
9,3.33,100,1
10,1.82,180,1
10,1.9,135,1
8,1.99,189,1
11,2.22,60,1
11,2.44,22,1
11,2.47,158,1
9,2.21,267,1
9,2.2,388,1
10,3.05,171,1
14,2.45,1232,1
12,5.9,59,1
17,24,24,4
11,2.71,452,1
9,3.28,187,1
1,2.13,17,2
7,1.64,64,1
6,2.29,32,1
10,3.11,289,1
9,1.91,126,1
9,2.39,273,1
12,2.9,29,1
10,1.85,280,1
10,2.37,159,1
1,11.67,35,2
6,1.67,10,1
10,4,32,1
8,1.43,57,1
8,2.33,42,1
9,1.93,228,1
10,1.84,158,1
9,1.76,111,1
1,4,8,2
1,4.67,14,2
7,1.79,258,1
10,2.78,161,1
9,2.93,164,1
9,4,12,2
9,1.71,173,1
10,2.01,167,1
9,2.38,31,1
1,2.6,13,2
2,31,186,2
2,2.5,15,1
5,2.52,53,1
2,8,8,2
7,1.66,228,1
12,7,49,1
11,7.88,63,1
9,1.46,41,1
11,1.72,297,1
9,2.34,131,1
19,33.48,703,1
8,2.14,47,1
8,3.88,31,1
8,2.82,31,1
6,8,8,1
10,30,30,1
9,1.63,44,1
11,1.71,281,1
1,3.75,45,2
8,1.69,61,1
8,2.11,131,1
9,1.74,217,1
13,2.37,422,1
5,2.35,40,1
8,2.25,230,1
10,1.84,321,1
13,2.23,1421,1
6,1.68,207,1
12,2.35,334,1
11,2.25,135,1
9,2.65,143,1
13,3.6,684,1
12,2.91,520,1
12,2.47,1595,1
8,2.16,229,1
