@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,9,11'

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
5,1.4,0.371,26,1
5,1.6,0.375,19,1
5,1,0.4,14,1
11,0.727,0.602,88,1
2,50.5,0.54,150,2
2,9,0.806,30,2
9,10.222,0.292,698,1
9,4.556,0.298,286,1
10,6.3,0.233,444,1
1,10,1,10,2
1,8,1,8,2
11,0.727,0.705,88,1
11,0.727,0.443,41,1
11,3.818,0.335,383,1
8,6,0.31,310,1
10,13,0.425,1005,1
9,5.444,0.594,440,1
9,2.222,0.339,157,1
1,19,0.789,19,2
14,24.214,0.248,2596,1
93,0.043,0.419,210,4
9,19.333,0.178,1154,1
7,3.857,0.101,117,1
9,10.778,0.466,849,1
9,2.333,0.354,166,1
1,51,0.471,51,2
7,3.857,0.238,140,1
1,49,0.286,49,1
9,4,0.42,288,1
9,2.333,0.392,170,1
10,8,0.314,639,1
1,33,1,33,2
9,4.889,0.467,374,1
1,8,0.875,8,2
9,4.333,0.293,329,1
1,11,1,11,2
4,28.75,0.426,224,2
7,2.286,0.42,86,1
10,5.1,0.306,436,1
9,2.667,0.537,216,1
10,9.8,0.376,844,1
9,5.222,0.492,401,1
10,7.8,0.381,668,1
12,12.167,0.091,225,5
9,13.444,0.399,918,1
9,4.556,0.444,360,1
11,5.545,0.361,412,1
9,4,0.556,299,1
9,2.333,0.487,162,1
12,8.167,0.267,737,1
10,5.3,0.343,430,1
9,9.111,0.408,682,1
9,9.111,0.374,639,1
23,2.043,0.315,808,1
10,6.5,0.475,631,1
10,4.3,0.458,404,1
7,2.286,0.241,71,1
11,1.909,0.468,166,1
11,0.727,0.693,87,1
9,4,0.506,292,1
8,1.75,0.143,112,1
9,3.778,0.31,274,1
11,7.727,0.268,843,1
10,1.2,0.367,120,1
1,13,0.692,13,2
8,1,0.25,43,1
9,13.444,0.322,845,1
8,6,0.328,340,1
13,2.538,0.245,229,1
11,0.818,0.404,71,1
9,10.111,0.302,783,1
11,9.182,0.264,947,1
8,5.5,0.486,335,1
1,39,0.897,39,2
4,4.25,0.309,38,1
3,18.667,0.065,84,1
3,61,0.488,317,2
25,12,0.065,531,2
10,4.9,0.529,460,1
9,8.778,0.323,621,1
9,9,0.357,629,1
12,0.167,0.625,16,4
8,1.5,0.438,96,1
10,9.8,0.3,765,1
2,102,0.412,278,2
9,7.222,0.463,527,1
9,9.556,0.337,586,1
6,23.667,0.115,147,2
1,14,0.857,14,2
9,4,0.491,272,1
9,7,0.289,441,1
8,2.125,0.294,89,1
8,10.375,0.294,634,1
9,3.556,0.302,194,1
10,10,0.41,846,1
9,9.556,0.3,524,1
12,19.167,0.164,1572,1
6,4.833,0.339,152,1
9,4.111,0.453,321,1
13,33.846,0.255,3983,1
12,9.833,0.309,1028,1
37,1.946,0.12,685,5
38,10.789,0.254,9403,1
13,8.846,0.314,1039,1
10,10.7,0.273,790,1
8,7.75,0.357,480,1
8,23.75,0.326,957,1
10,7.7,0.469,697,1
14,16.714,0.383,2077,1
12,34.167,0.333,3254,1
3,101.33,0.555,626,2
8,8.75,0.388,471,1
6,8.333,0.327,206,1
10,3.5,0.42,289,1
12,4.167,0.345,376,1
12,41.417,0.297,4374,1
9,12,0.376,792,1
6,30.667,0.323,830,1
6,31.5,0.324,941,1
8,8.75,0.332,502,1
12,5.583,0.35,557,1
5,66.6,0.374,688,2
9,4.444,0.494,333,1
12,19.333,0.316,1957,1
10,11.9,0.392,1060,1
10,12.1,0.415,1063,1
27,4.259,0.293,2087,1
10,8.3,0.425,714,1
10,18.1,0.491,1567,1
10,41.3,0.315,3018,1
10,5.1,0.41,340,1
12,5.75,0.4,613,1
6,6.5,0.466,208,1
24,2.667,0.227,875,1
9,1.889,0.144,70,5
10,27.2,0.232,1767,1
15,0.933,0.11,71,5
10,27.1,0.267,1892,1
6,2,0.139,37,5
8,34,0.187,1236,1
10,27.1,0.187,1632,1
10,27.1,0.176,1556,1
8,9.75,0.244,465,1
7,2,0.357,85,1
10,27.1,0.168,1659,1
7,18.286,0.203,594,1
5,3,0.4,71,1
5,6,0.36,142,1
4,2.75,0.364,42,1
5,15,0.259,325,1
9,1.778,0.208,78,1
6,2.167,0.295,68,1
5,6.4,0.431,158,1
6,2.833,0.255,76,1
5,2.6,0.246,54,1
1,22,0.5,22,2
3,3,0.296,27,1
9,11.889,0.204,658,1
9,2.111,0.269,110,1
5,3.2,0.425,80,1
9,6.111,0.251,400,1
6,3.667,0.326,132,1
7,2,0.388,83,1
7,1.857,0.297,76,1
7,3,0.327,107,1
7,3.286,0.248,152,1
7,2.143,0.314,105,1
8,3.375,0.236,148,1
8,0.5,0.375,32,1
7,5.429,0.226,170,1
6,5.5,0.268,168,1
7,1.857,0.374,89,1
7,3.714,0.269,169,1
5,1,0.36,25,1
9,5.333,0.273,296,1
9,3.556,0.24,263,1
6,1.167,0.262,33,1
8,2.625,0.232,108,1
7,2.714,0.248,83,1
7,1,0.347,48,1
6,3.5,0.349,126,1
6,2.667,0.198,73,1
7,2.429,0.261,113,1
5,3.6,0.4,73,1
7,4.286,0.3,186,1
7,1.571,0.247,47,1
7,2.286,0.241,71,1
9,2.222,0.294,104,1
7,0.571,0.25,24,1
7,6.143,0.292,256,1
7,1,0.306,44,1
9,3.111,0.25,194,1
6,3.167,0.307,103,1
7,1.571,0.416,74,1
9,4.778,0.274,234,1
6,2.167,0.333,71,1
10,4.9,0.165,318,1
6,1.833,0.394,63,1
7,2,0.347,98,1
10,25.1,0.179,1293,1
7,3.429,0.268,119,1
7,1.571,0.325,64,1
5,2.8,0.386,60,1
7,8,0.319,325,1
6,1.833,0.333,64,1
9,0.556,0.244,28,1
9,2.444,0.212,151,1
7,1.571,0.416,75,1
