@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7-8,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
5,2.44,22,1
5,13,13,1
5,5.5,22,1
5,10,10,1
2,15.5,31,2
11,1.67,240,1
3,33.5,134,2
1,2.2,11,2
8,5,15,1
9,2.29,128,1
9,2.35,115,1
2,18,54,2
9,1.91,111,1
1,9,9,2
9,2.62,401,1
2,9,9,1
11,9,45,1
10,2.97,255,1
10,2.56,69,1
8,1.76,216,1
11,1.61,265,1
12,1.6,69,1
12,1.97,130,1
9,2.58,268,1
9,2.52,413,1
11,2.01,338,1
10,2.63,516,1
9,1.92,121,1
9,2.11,59,1
11,2.22,1019,1
1,10.25,41,2
9,1.69,44,1
9,1.77,286,1
12,2.32,58,1
12,2.29,151,1
8,8,24,1
9,1.74,61,1
11,4.32,350,1
10,2.9,87,1
12,1.95,358,1
11,4.3,185,1
9,1.75,213,1
9,2.29,284,1
22,2.13,330,1
9,2.71,157,1
1,4.6,23,2
10,2.79,575,1
7,2.72,49,1
8,2.44,61,1
12,15.2,76,1
11,2.2,314,1
10,3.2,131,1
11,2.3,365,1
9,2.51,163,1
9,2.78,433,1
3,87,348,2
9,2.38,316,1
12,2.09,357,1
23,1.8,166,1
9,2.42,218,1
12,2.35,61,1
10,2.22,133,1
1,9.67,29,2
7,1.8,9,1
8,2.13,134,1
8,5,20,5
9,6.5,13,5
11,1.99,376,1
9,2.84,528,1
8,2.18,122,1
11,4.04,101,1
9,1.66,151,1
11,1.74,269,1
11,2.43,68,1
8,3.22,177,1
10,2.1,359,1
12,1.99,377,1
9,2.48,144,1
1,20,40,2
1,6.5,13,2
11,3.8,38,1
1,29,29,2
9,3.02,187,1
10,2.14,201,1
7,1.57,11,1
9,1.72,119,1
12,2.32,160,1
8,2.19,129,1
8,6.5,13,1
10,6,48,1
1,8.29,58,2
9,1.74,54,1
8,1.94,242,1
8,1.98,237,1
9,1.67,140,1
9,2.28,219,1
11,2.18,133,1
9,1.93,216,1
9,2.83,549,1
26,26,26,4
13,2.58,255,1
7,9,9,5
2,4,8,2
10,2.14,345,1
6,1.73,303,1
15,15,15,4
14,2.5,245,1
13,2.58,1492,1
8,2.38,62,1
8,1.7,208,1
8,2.06,146,1
13,2.49,441,1
10,2.25,455,1
7,2.53,48,1
6,2.38,119,1
5,2.36,78,1
13,2.65,1475,1
13,2.59,1054,1
3,3,12,2
31,10.29,350,5
10,2.35,108,1
9,2.55,436,1
7,3.25,52,1
9,1.95,263,1
8,2.12,180,1
6,2.12,87,1
9,4.79,67,1
12,2.3,381,1
9,10.5,21,1
5,2.06,64,1
4,1.64,121,1
8,1.71,251,1
8,1.91,183,1
10,2.35,493,1
7,1.67,206,1
6,2,98,1
10,1.83,97,1
11,2.68,367,1
8,3.14,69,1
8,2.1,380,1
13,3.08,1919,1
85,1.44,969,5
10,1.98,758,1
9,1.93,692,1
5,3.5,7,5
8,1.4,370,1
10,1.31,432,1
10,1.49,520,1
8,1.42,221,1
5,1.78,16,1
9,1.28,401,1
11,1.41,314,1
8,1.45,55,1
8,1.4,118,1
5,1.31,38,1
6,7,7,1
7,2.86,20,1
9,1.3,61,1
6,1.31,64,1
9,1.33,32,1
1,21.4,107,2
7,1.34,63,1
7,1.36,60,1
4,1,7,1
6,1.27,75,1
7,1.81,78,1
7,1.51,53,1
1,4.57,32,2
7,1.69,54,1
6,1.63,13,1
7,1.71,58,1
8,1.37,52,1
7,1.9,19,1
8,1.38,76,1
9,1.6,117,1
7,1.63,52,1
7,1.44,46,1
9,1.56,302,1
7,1.55,76,1
9,1.44,443,1
7,1.2,24,1
7,1.34,103,1
10,1.48,74,1
9,1.38,120,1
7,1.5,48,1
7,2,74,1
6,1.33,53,1
7,1.46,98,1
9,1.22,39,1
9,1.36,117,1
7,1.25,89,1
8,1.37,119,1
7,1.5,69,1
7,1.33,36,1
9,1.35,130,1
5,1.18,26,1
8,1.24,138,1
7,1.22,39,1
