@relation page-blocks

@attribute Height numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
10,682,1
9,2484,1
8,189,1
9,318,1
11,464,1
6,73,1
7,747,1
11,1045,1
10,1556,1
5,325,1
9,1200,1
10,407,1
9,324,1
12,798,1
9,764,1
8,117,1
8,77,1
8,323,1
10,263,1
10,248,1
11,188,1
8,89,1
1,91,1
8,1235,1
9,768,1
1,36,1
12,1768,1
6,53,1
7,69,1
9,632,1
7,336,1
9,959,1
7,125,1
6,61,1
8,338,1
6,435,1
4,384,1
9,546,1
9,598,1
7,476,1
12,312,1
15,422,1
5,9,1
10,272,1
7,71,1
10,1730,1
9,427,1
7,60,1
6,214,1
5,31,1
9,192,1
7,84,1
13,1821,1
10,1002,1
12,1039,1
12,3568,1
8,1114,1
7,817,1
9,234,1
8,1024,1
5,145,1
9,1025,1
10,887,1
10,341,1
6,405,1
17,3680,1
7,28,1
5,48,1
9,137,1
8,2166,1
7,44,1
9,114,1
11,943,1
8,1183,1
10,70,1
8,71,1
9,1008,1
22,1290,1
9,676,1
12,1002,1
9,178,1
11,200,1
8,165,1
12,1981,1
15,2425,1
10,1123,1
10,248,1
9,101,1
10,281,1
8,200,1
7,98,1
10,93,1
12,1293,1
7,75,1
8,407,1
7,500,1
12,945,1
11,881,1
7,72,1
13,2470,1
17,123,1
6,70,1
5,103,1
10,159,1
9,131,1
11,412,1
5,341,1
7,43,1
2,15,1
8,130,1
7,518,1
13,644,1
8,176,1
22,251,1
1,118,1
6,163,1
10,925,1
7,75,1
9,292,1
10,569,1
8,114,1
5,14,1
5,35,1
10,226,1
12,84,1
9,1309,1
5,18,1
9,167,1
9,108,1
7,341,1
7,111,1
9,114,1
5,151,1
10,3189,1
8,48,1
7,1042,1
7,68,1
8,248,1
28,4369,1
8,346,1
8,364,1
6,76,1
7,220,1
17,316,1
9,106,1
10,564,1
10,2771,1
11,88,1
8,11,1
24,3905,1
9,866,1
14,1378,1
9,1207,1
9,561,1
11,567,1
11,2670,1
10,509,1
9,312,1
6,18,1
6,239,1
8,1236,1
7,109,1
5,44,1
9,371,1
7,243,1
4,48,1
12,1810,1
7,88,1
9,232,1
8,91,1
14,3066,1
8,294,1
6,274,1
12,153,1
9,705,1
10,373,1
9,742,1
12,97,1
12,518,1
10,162,1
10,182,1
9,614,1
12,2448,1
9,574,1
5,79,1
7,1093,1
8,1002,1
7,96,1
16,2713,1
11,776,1
9,2005,1
9,843,1
10,631,1
11,151,1
10,250,1
10,256,1
11,959,1
9,1659,1
7,130,1
7,236,1
9,1131,1
6,52,1
11,2171,1
11,1789,1
10,308,1
9,28,1
5,487,1
11,81,1
5,30,1
9,2013,1
7,1214,1
10,724,1
2,13,1
13,3176,1
11,1635,1
8,91,1
6,80,1
9,1542,1
12,2722,1
6,12,1
9,547,1
9,400,1
14,3625,1
10,353,1
5,66,1
7,76,1
10,1068,1
7,483,1
7,98,1
9,2211,1
4,25,1
14,2022,1
6,56,1
12,409,1
11,839,1
10,1771,1
9,319,1
6,493,1
12,1102,1
7,60,1
9,270,1
9,256,1
22,779,1
5,40,1
3,7,1
11,1674,1
7,71,1
24,2282,1
6,69,1
12,1507,1
8,858,1
7,89,1
11,326,1
5,211,1
8,975,1
11,3662,1
7,186,1
25,4035,1
9,3190,1
7,28,1
7,42,1
17,81,1
9,169,1
8,57,1
8,41,1
7,28,1
4,289,1
11,1278,1
7,84,1
7,189,1
25,4101,1
9,2960,1
10,2013,1
8,672,1
8,472,1
8,231,1
8,495,1
11,666,1
10,2027,1
9,323,1
9,249,1
7,79,1
8,258,1
13,1462,1
10,295,1
7,153,1
10,90,1
11,970,1
9,633,1
17,121,1
9,181,1
22,1343,1
10,193,1
6,434,1
8,850,1
8,470,1
9,1091,1
10,149,1
9,179,1
9,738,1
8,72,1
17,4152,1
9,693,1
8,38,1
12,222,1
7,12,1
8,257,1
1,41,1
7,185,1
11,508,1
7,90,1
10,38,1
6,42,1
8,469,1
9,1961,1
5,14,1
10,108,1
8,237,1
11,915,1
7,49,1
8,388,1
7,1082,1
7,415,1
24,3939,1
7,49,1
4,15,1
8,96,1
5,23,1
9,300,1
8,87,1
9,2049,1
7,248,1
8,811,1
10,161,1
10,790,1
10,1349,1
10,1916,1
8,73,1
1,7,1
5,20,1
9,55,1
7,122,1
7,47,1
8,897,1
7,211,1
7,868,1
11,346,1
11,1572,1
7,107,1
5,74,1
8,382,1
3,7,1
7,47,1
7,92,1
12,193,1
8,355,1
8,433,1
6,173,1
1,77,1
9,108,1
10,397,1
11,244,1
9,73,1
16,2654,1
14,1430,1
10,1162,1
11,254,1
8,762,1
8,298,1
10,160,1
1,13,1
6,890,1
9,1007,1
11,88,1
11,2694,1
12,770,1
9,256,1
9,667,1
10,181,1
7,13,1
8,1886,1
10,364,1
9,89,1
10,196,1
7,56,1
8,1222,1
9,849,1
8,769,1
9,683,1
13,3988,1
12,95,1
9,96,1
8,165,1
17,3568,1
9,245,1
10,1206,1
7,213,1
8,50,1
5,172,1
7,591,1
7,325,1
8,1277,1
11,72,1
12,3474,1
8,1562,1
9,471,1
9,1080,1
7,51,1
6,278,1
16,3863,1
13,462,1
8,92,1
8,74,1
10,1803,1
10,1335,1
9,166,1
6,63,1
6,105,1
8,120,1
5,147,1
12,790,1
8,65,1
7,189,1
12,2471,1
10,2257,1
8,129,1
7,334,1
20,355,1
7,78,1
7,412,1
8,336,1
7,64,1
8,624,1
8,72,1
10,282,1
9,327,1
1,22,1
3,7,1
6,496,1
7,1254,1
8,149,1
16,2756,1
8,160,1
8,40,1
11,598,1
9,3154,1
6,219,1
9,156,1
4,7,1
9,1558,1
7,218,1
7,111,1
7,83,1
10,586,1
7,845,1
8,89,1
71,659,1
5,71,1
9,254,1
9,756,1
9,1055,1
8,337,1
6,34,1
11,843,1
9,250,1
8,64,1
8,222,1
6,173,1
11,732,1
14,3869,1
