@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R3-4,11'

@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
35,1.4,1
177,19.667,2
189,2.333,1
828,10.222,1
747,9.222,1
684,8.444,1
24,0.375,1
96,24,2
333,4.111,1
189,2.333,1
396,4.889,1
423,5.222,1
8,8,2
34,8.5,1
77,0.636,1
99,0.818,1
980,9.8,1
924,7.636,1
891,11,1
424,6.625,1
744,5.167,1
231,4.714,1
168,2.625,1
756,9.333,1
248,3.875,1
1098,13.556,1
88,0.727,1
324,4,1
32,32,2
536,8.375,1
136,2.125,1
600,9.375,1
333,4.111,1
1010,10.1,1
396,4.889,1
198,0.045,4
1310,13.1,1
61,61,2
976,15.25,1
387,4.778,1
142290,1.52,5
980,9.8,1
738,9.111,1
640,6.4,1
324,4,1
297,3.667,1
96,0.667,1
168,2.625,1
210,2.1,1
340,3.4,1
77,77,2
1300,13,1
217,4.429,1
14,14,2
208,3.25,1
312,2.167,1
98,98,2
405,5,1
344,5.375,1
144,2.25,1
60,3.75,1
576,7.111,1
473,3.909,1
42,0.857,1
76,0.013,4
264,4.125,1
990,9.9,1
1250,12.5,1
210,5.833,1
14,14,2
108,0.75,1
88,0.727,1
14,14,2
351,4.333,1
1034,8.545,1
891,11,1
732,5.083,1
400,6.25,1
847,17.286,1
80,0.8,1
80,0.8,1
99,1.222,1
656,10.25,1
108,1.333,1
567,7,1
234,2.889,1
264,4.125,1
344,5.375,1
387,4.778,1
979,8.091,1
310,3.1,1
17,0.059,4
1210,12.1,1
13,0.077,4
23,0.043,4
1480,23.125,1
297,3.667,1
750,7.5,1
798,16.286,1
2040,9.067,1
1267,25.857,1
1068,7.417,1
5852,29.857,1
195,7.8,1
456,28.5,1
136,2.125,1
760,7.6,1
744,11.625,1
963,11.889,1
1976,11.692,1
1518,3.136,1
1056,16.5,1
2112,14.667,1
300,2.083,1
119,2.429,1
600,9.375,1
560,8.75,1
441,9,1
5018,29.692,1
330,2.727,1
750,7.5,1
10,0.1,4
855,2.368,1
120,0.833,1
2376,29.333,1
35,1.4,5
1970,19.7,1
266,1.357,5
168,3.429,5
28,0.571,1
2176,34,1
70,0.7,5
2710,27.1,1
1428,3.238,5
1080,16.875,1
2710,27.1,1
2340,23.4,1
1470,14.7,1
203,4.143,1
1133,9.364,1
120,1.875,1
414,11.5,1
65,2.6,1
265,10.6,1
96,1.5,1
84,2.333,1
190,1.9,1
98,2,1
63,1.286,1
98,2,1
266,5.429,1
1980,24.444,1
147,3,1
77,1.571,1
322,6.571,1
70,2.8,1
2620,26.2,1
140,2.857,1
462,9.429,1
486,6,1
114,3.167,1
322,6.571,1
72,0.889,1
198,5.5,1
280,5.714,1
35,1.4,1
77,1.571,1
91,1.857,1
28,0.571,1
91,1.857,1
77,1.571,1
56,1.143,1
65,2.6,1
119,2.429,1
210,4.286,1
153,1.889,1
171,2.111,1
140,2.857,1
66,1.833,1
216,3.375,1
147,3,1
30,1.2,1
80,5,1
238,4.857,1
180,2.222,1
136,2.125,1
231,4.714,1
154,3.143,1
182,3.714,1
63,1.286,1
99,1.222,1
357,7.286,1
140,2.857,1
105,2.143,1
396,4.889,1
49,1,1
16,1,1
133,2.714,1
15,0.6,1
245,5,1
140,2.857,1
738,9.111,1
20,0.8,1
231,4.714,1
136,2.125,1
161,3.286,1
161,3.286,1
329,6.714,1
348,9.667,1
315,6.429,1
70,1.429,1
171,2.111,1
160,6.4,1
432,6.75,1
378,7.714,1
224,3.5,1
432,0.75,5
104,1.625,1
144,2.25,1
240,3.75,1
77,1.571,5
152,2.375,1
108,1.333,1
242,2,1
352,2.909,1
273,0.619,1
65,0.385,5
192,3,1
81,1,1
32,0.5,5
330,3.3,1
81,1,1
80,1.25,1
387,4.778,1
240,3.75,1
198,2.444,1
2196,27.111,1
72,1.125,1
315,3.889,1
171,2.111,1
250,2.5,1
104,1.625,1
470,4.7,1
130,1.3,1
128,2,1
208,3.25,1
104,1.625,1
670,6.7,1
96,1.5,1
192,5.333,1
836,6.909,1
270,2.7,1
440,6.875,1
96,1.5,1
248,3.875,1
550,4.545,1
128,2,1
690,6.9,1
162,2,1
336,5.25,1
45,1.8,1
3132,21.75,1
248,3.875,1
180,2.222,1
462,3.818,1
112,1.75,1
296,4.625,1
84,2.333,1
152,2.375,1
64,1,1
260,2.6,1
128,2,2
112,1.75,1
49,1,1
1550,15.5,1
192,3,1
7,7,1
10,0.4,1
75,3,1
60,2.4,1
100,4,1
65,2.6,1
85,3.4,1
192,3,1
2610,26.1,1
81,1,1
96,1.5,1
280,2.8,1
18,0.5,1
330,3.3,1
56,0.875,1
180,5,1
130,5.2,1
110,4.4,1
55,2.2,1
112,1.75,1
288,4.5,1
115,4.6,1
96,1.5,1
140,1.4,1
209,1.727,1
48,0.75,1
232,3.625,1
42,0.857,1
180,1.8,1
434,8.857,1
112,1.75,1
2882,23.818,1
250,2.5,1
100,1,1
189,3.857,1
280,4.375,1
328,5.125,1
450,4.5,1
480,7.5,1
128,2,1
460,4.6,1
392,6.125,1
56,0.875,1
488,7.625,1
184,2.875,1
72,1.125,1
80,1.25,1
175,3.571,1
90,0.9,1
340,3.4,1
814,6.727,1
280,4.375,1
42,1.167,1
96,1.5,1
270,2.7,1
35,1.4,1
256,4,1
416,6.5,1
21,0.429,1
2882,23.818,1
217,4.429,1
430,4.3,1
24,0.375,1
154,3.143,1
384,6,1
343,7,1
424,6.625,1
1760,17.6,1
84,1.714,1
328,5.125,1
896,1.143,1
1498,30.571,1
2824,44.125,1
13,13,1
405,16.2,1
77,1.571,1
552,8.625,1
2979,36.778,1
4650,7.44,1
4572,56.444,1
4806,59.333,1
5340,53.4,1
494,2.923,1
972,12,1
1521,18.778,1
621,7.667,1
1351,27.571,1
496,7.75,1
830,207.5,2
126,31.5,2
4590,56.667,1
2691,33.222,1
4815,59.444,1
950,237.5,2
537,537,2
872,13.625,1
896,1.143,3
1521,18.778,1
1672,26.125,1
278,278,2
2500,25,1
81,81,2
1512,18.667,1
120,1.875,1
4740,47.4,1
5100,51,1
963,11.889,1
112,1.75,1
1755,21.667,1
456,7.125,1
441,9,1
238,4.857,1
4599,56.778,1
3647,74.429,1
1074,268.5,2
1184,18.5,1
4590,56.667,1
441,9,1
1728,27,1
656,10.25,1
208,52,1
3384,41.778,1
594,7.333,1
549,6.778,1
2412,29.778,1
918,11.333,1
350,7.143,1
4272,7.417,1
4675,7.48,1
999,12.333,1
4184,65.375,1
2979,36.778,1
552,8.625,1
99,99,1
1520,23.75,1
2097,25.889,1
118,118,1
50,50,1
1705,14.091,1
8835,0.979,3
324,4,1
165,0.733,1
585,3.462,1
570,5.7,1
72,0.889,1
871,5.154,1
14,14,2
5733,33.923,1
2580,25.8,1
3861,22.846,1
200,2,1
117,117,2
47,47,2
5698,29.071,1
5096,26,1
1860,18.6,1
448,9.143,1
2568,4.458,1
1551,12.818,1
10,10,2
44,44,2
180,1.8,1
2050,20.5,1
3024,21,1
9828,14.538,1
12,0.083,4
2013,16.636,1
160,1.6,1
1768,10.462,1
200,2,1
190,1.9,1
6062,30.929,1
190,1.9,1
190,1.9,1
1544,24.125,1
2483,14.692,1
301,6.143,1
12,1.333,1
4480,22.857,1
2250,27.778,1
180,1.8,1
5016,8.708,1
1694,14,1
276,1.917,1
220,1.818,1
26062,3.783,5
1632,5.647,1
6224,24.313,1
868,4.429,1
4944,19.313,1
242,2,1
12,1.333,1
209,1.727,1
22,0.182,4
12,1.333,1
104,1.625,1
2088,25.778,1
1770,17.7,1
96,1.5,1
1467,18.111,1
1296,20.25,1
435,1.933,1
12240,21.25,2
1431,17.667,1
1701,34.714,1
872,13.625,1
135,5.4,1
760,11.875,1
1936,30.25,1
276,7.667,1
345,13.8,1
408,1.412,1
432,1.333,1
259,5.286,1
384,1.5,1
408,1.412,1
384,1.5,1
1647,20.333,1
582,16.167,1
384,24,1
980,20,1
45760,1.788,5
880,8.8,1
28,0.571,1
102,2.833,1
266,5.429,1
217,4.429,1
119,2.429,1
56,1.143,1
77,77,1
413,8.429,1
441,5.444,1
882,10.889,1
1998,24.667,1
80,3.2,1
10,0.4,4
414,5.111,1
119,2.429,1
145,5.8,1
1870,6.471,1
4697,38.818,2
42,1.167,1
460,0.87,1
1190,11.9,1
153,1.889,1
3624,25.167,1
235,235,2
107,107,2
4381,25.923,1
38,9.5,1
78,2.167,1
2768,43.25,1
600,1.5,1
360,0.9,1
640,1.6,1
256,4,1
294,6,1
90,1.111,1
1240,19.375,1
63,1.286,1
336,2.333,1
110,0.909,1
196,196,2
398,99.5,2
3648,2.526,1
9,9,2
1750,8.929,1
513,6.333,1
131,131,2
2123,17.545,1
2096,131,2
