@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1-2,10-11'

@attribute Height numeric
@attribute Lenght numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
5,7,2,1
6,7,2,1
9,37,55,1
2,18,1,2
9,34,63,1
11,99,117,1
10,12,26,1
9,12,29,1
12,12,26,1
9,85,127,1
3,116,2,2
3,132,10,2
10,131,198,1
10,38,59,1
8,20,29,1
9,36,61,1
8,41,73,1
7,122,139,1
10,96,161,1
25,71,187,1
12,8,9,1
10,126,185,1
9,45,54,1
10,123,149,1
1,9,1,1
8,2,1,1
11,207,332,1
9,92,137,1
1,152,11,2
6,22,9,1
1,52,1,2
10,79,143,1
10,11,26,1
9,47,59,1
8,27,22,1
311,463,3212,5
9,37,64,1
12,101,178,1
10,87,132,1
10,84,121,1
9,5,3,1
10,47,70,1
9,37,64,1
12,85,160,1
9,99,177,1
9,7,10,1
10,99,160,1
10,85,122,1
1,117,8,2
7,7,7,1
9,38,56,1
1,19,3,2
9,22,26,1
9,6,8,1
9,82,111,1
8,99,167,1
12,117,190,1
10,8,6,1
9,41,67,1
12,48,85,1
1,37,5,2
1,46,8,2
1,17,2,2
9,64,89,1
8,54,87,1
9,95,127,1
9,64,88,1
9,27,43,1
10,19,28,1
9,45,61,1
1,35,3,2
7,35,47,1
10,130,212,1
7,6,3,1
9,49,83,1
1,148,3,2
9,99,171,1
9,47,64,1
15,342,495,1
9,123,153,1
10,35,66,1
13,85,131,1
8,76,106,1
15,54,107,1
15,61,121,1
28,137,201,1
9,117,178,1
9,107,166,1
6,90,104,1
6,28,37,1
7,175,221,1
12,58,62,1
7,71,105,1
6,51,61,1
12,80,127,1
9,107,186,1
6,44,56,1
24,117,338,1
11,337,296,1
8,74,109,1
9,43,55,1
153,442,1227,5
12,124,228,1
11,38,70,1
5,28,26,1
8,40,60,1
6,39,45,1
7,17,17,1
5,43,54,1
9,42,61,1
10,249,326,1
12,67,101,1
12,116,176,1
10,174,239,1
9,71,114,1
11,23,30,1
9,71,87,1
6,101,120,1
16,44,111,1
9,35,65,1
9,42,60,1
4,65,29,1
9,35,52,1
9,21,30,1
9,23,12,1
7,13,7,5
8,55,77,1
7,213,237,1
8,28,42,1
16,30,28,5
7,10,11,1
8,25,35,1
8,31,51,1
8,272,310,1
10,261,321,1
8,71,92,1
8,261,340,1
8,88,92,1
9,34,44,1
7,11,18,1
7,21,31,1
8,25,33,1
6,17,16,1
7,30,35,1
5,8,9,1
8,21,29,1
6,129,112,1
7,4,2,1
5,4,4,1
5,43,37,1
4,18,14,1
6,19,25,1
1,33,6,2
1,106,6,2
9,16,12,1
6,41,44,1
9,21,20,1
10,12,6,1
8,16,16,1
7,182,204,1
8,43,52,1
8,30,45,1
7,6,11,1
7,17,26,1
5,8,11,1
8,27,31,1
7,43,56,1
7,33,40,1
7,11,20,1
7,26,47,1
7,31,48,1
7,37,54,1
7,11,21,1
9,55,87,1
7,14,18,1
6,4,5,1
7,14,19,1
6,17,25,1
9,22,28,1
7,16,30,1
9,49,77,1
7,43,58,1
5,6,5,1
7,17,27,1
10,9,16,1
8,6,8,1
7,27,6,1
7,44,53,1
7,15,15,1
7,18,30,1
9,47,77,1
9,30,52,1
5,19,28,1
7,32,47,1
7,13,15,1
7,11,17,1
7,14,19,1
7,23,38,1
7,7,12,1
6,28,35,1
5,7,9,1
7,27,41,1
7,24,28,1
10,33,43,1
7,11,20,1
6,10,16,1
8,44,70,1
7,40,61,1
7,11,18,1
6,11,15,1
7,46,78,1
7,16,14,1
7,11,13,1
7,19,27,1
9,41,69,1
9,26,39,1
5,28,31,1
7,44,33,1
6,19,24,1
7,37,54,1
9,48,79,1
9,86,126,1
8,32,43,1
9,25,37,1
7,10,17,1
9,55,91,1
9,42,65,1
9,42,65,1
7,23,37,1
7,31,50,1
8,10,14,1
7,7,7,1
8,19,30,1
6,7,11,1
8,12,18,1
8,10,21,1
6,8,13,1
8,25,28,1
8,35,58,1
8,36,64,1
10,11,21,1
8,13,19,1
8,19,31,1
6,16,22,1
10,17,27,1
17,9,17,5
8,19,24,1
8,23,32,1
53,48,51,5
8,1,1,4
6,6,6,1
11,11,21,1
10,9,11,1
8,28,48,1
6,18,22,1
10,271,333,1
8,21,37,1
9,25,32,1
8,12,20,1
8,25,39,1
9,16,24,1
11,150,149,1
8,4,3,1
8,27,44,1
