@relation page-blocks

@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
63,1.286,1
360,5.625,1
618,17.167,1
80,0.8,1
532,2.714,1
105,2.143,1
48,0.75,1
1309,10.818,1
2992,24.727,1
480,19.2,1
496,7.75,1
2840,28.4,1
144,1.778,1
590,5.9,1
63,1.286,1
287,5.857,1
4806,59.333,1
63,1.286,1
1629,20.111,1
80,1.25,1
133,2.714,1
876,6.083,1
272,4.25,1
77,1.571,1
28,0.571,1
88,0.727,1
2720,27.2,1
2502,30.889,1
308,6.286,1
120,1.2,1
1098,13.556,1
4225,6.76,1
64,1,1
693,8.556,1
105,2.143,1
774,9.556,1
882,10.889,1
240,6.667,1
819,16.714,1
1000,10,1
1015,20.714,1
972,12,1
184,2.875,1
220,1.818,1
100,4,1
220,2.2,1
200,3.125,1
968,15.125,1
190,1.9,1
153,1.889,1
2752,43,1
81,1,1
352,2.909,1
1370,13.7,1
2784,19.333,1
171,2.111,1
280,4.375,1
8640,11.852,1
5110,51.1,1
1089,13.444,1
576,7.111,1
78,2.167,1
497,10.143,1
640,10,1
200,3.125,1
144,4,1
8626,5.974,1
1034,2.136,1
192,3,1
207,2.556,1
2232,27.556,1
3737,2.73,1
380,0.95,1
384,6,1
3333,27.545,1
64,1,1
729,9,1
96,1.5,1
560,11.429,1
120,1.875,1
104,1.625,1
200,3.125,1
494,2.923,1
24,0.667,1
1233,15.222,1
108,1.333,1
368,5.75,1
4920,34.167,1
369,4.556,1
145,5.8,1
720,8.889,1
160,2.5,1
3471,20.538,1
3692,21.846,1
56,1.143,1
512,8,1
170,1.7,1
90,0.9,1
1550,15.5,1
468,5.778,1
88,1.375,1
1144,9.455,1
261,3.222,1
195,7.8,1
945,11.667,1
220,2.2,1
1536,10.667,1
112,2.286,1
180,2.222,1
534,14.833,1
80,1.25,1
1629,20.111,1
496,7.75,1
368,5.75,1
1672,13.818,1
2620,26.2,1
98,2,1
20,0.8,1
108,1.333,1
738,9.111,1
108,3,1
297,3.667,1
1472,23,1
1188,14.667,1
390,3.9,1
540,15,1
792,5.5,1
5727,10.826,1
112,1.75,1
143,143,1
1010,10.1,1
78,2.167,1
28,0.571,1
90,2.5,1
168,2.625,1
48,5.333,1
168,2.625,1
70,1.429,1
460,18.4,1
580,5.8,1
70,2.8,1
35,1.4,1
3876,3.353,1
900,11.111,1
891,11,1
288,4.5,1
162,2,1
1260,12.6,1
1170,14.444,1
60,0.6,1
2250,27.778,1
266,5.429,1
602,12.286,1
864,10.667,1
125,5,1
301,6.143,1
264,1.833,1
360,5.625,1
552,8.625,1
15,0.6,1
2871,23.727,1
4043,23.923,1
1057,21.571,1
96,1.5,1
2444,14.462,1
360,5.625,1
121,1,1
936,14.625,1
1815,15,1
639,7.889,1
288,3.556,1
91,1.857,1
188,11.75,1
160,2.5,1
160,2.5,1
240,1.667,1
208,3.25,1
4625,7.4,1
528,3.667,1
24,1.5,1
98,2,1
4901,29,1
3222,39.778,1
952,14.875,1
414,5.111,1
2930,29.3,1
9,1,1
1352,8,1
945,11.667,1
1067,8.818,1
747,9.222,1
747,9.222,1
200,3.125,1
161,3.286,1
25,1,1
1464,22.875,1
144,2.25,1
1125,13.889,1
288,4.5,1
744,11.625,1
119,2.429,1
2304,4,1
2992,24.727,1
738,9.111,1
11775,18.84,1
396,4.889,1
9,1,1
648,8,1
55,2.2,1
78,2.167,1
3230,32.3,1
5317,31.462,1
490,4.9,1
207,2.556,1
344,5.375,1
27,3,1
296,4.625,1
108,1.333,1
312,4.875,1
644,13.143,1
2988,36.889,1
684,8.444,1
324,4,1
378,7.714,1
4572,56.444,1
6640,25.938,1
1488,10.333,1
320,5,1
540,5.4,1
270,2.7,1
54,1.5,1
1710,17.1,1
98,2,1
280,4.375,1
490,10,1
182,3.714,1
5280,4.848,1
96,1.5,1
600,9.375,1
420,4.2,1
105,4.2,1
300,3,1
66,1.833,1
215,8.6,1
465,2.067,1
400,6.25,1
40,1.6,1
385,7.857,1
429,2.538,1
520,5.2,1
75,3,1
12,1.333,1
1491,30.429,1
78,2.167,1
450,5.556,1
252,5.143,1
4224,7.333,1
49,1,1
700,14.286,1
684,19,1
980,9.8,1
840,8.4,1
228,6.333,1
144,1.778,1
255,10.2,1
155,6.2,1
324,4,1
135,5.4,1
252,1.286,1
324,4,1
1413,17.444,1
738,9.111,1
4581,56.556,1
960,15,1
472,7.375,1
639,7.889,1
184,2.875,1
270,2.7,1
675,8.333,1
352,2.909,1
140,2.857,1
869,7.182,1
525,10.714,1
350,3.5,1
72,1.125,1
364,7.429,1
6525,10.44,1
120,1.875,1
