@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4,10-11'

@attribute Eccen numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
1.4,3,1
1.6,1,1
1,2,1
0.727,9,1
50.5,10,2
9,1,2
10.222,118,1
4.556,58,1
6.3,87,1
10,1,2
8,1,2
0.727,8,1
0.727,1,1
3.818,69,1
6,62,1
13,198,1
5.444,86,1
2.222,26,1
19,4,2
24.214,481,1
0.043,54,4
19.333,163,1
3.857,5,1
10.778,168,1
2.333,25,1
51,10,2
3.857,16,1
49,2,1
4,68,1
2.333,27,1
8,122,1
33,1,2
4.889,59,1
8,1,2
4.333,50,1
11,1,2
28.75,11,2
2.286,22,1
5.1,68,1
2.667,40,1
9.8,175,1
5.222,86,1
7.8,118,1
12.167,6,5
13.444,181,1
4.556,57,1
5.545,48,1
4,56,1
2.333,28,1
8.167,135,1
5.3,91,1
9.111,126,1
9.111,120,1
2.043,155,1
6.5,112,1
4.3,55,1
2.286,11,1
1.909,15,1
0.727,6,1
4,58,1
1.75,6,1
3.778,59,1
7.727,145,1
1.2,28,1
13,3,2
1,10,1
13.444,169,1
6,63,1
2.538,27,1
0.818,9,1
10.111,125,1
9.182,178,1
5.5,58,1
39,4,2
4.25,6,1
18.667,8,1
61,9,2
12,12,2
4.9,86,1
8.778,105,1
9,117,1
0.167,1,4
1.5,28,1
9.8,171,1
102,16,2
7.222,102,1
9.556,119,1
23.667,15,2
14,1,2
4,48,1
7,83,1
2.125,18,1
10.375,90,1
3.556,40,1
10,146,1
9.556,109,1
19.167,130,1
4.833,39,1
4.111,56,1
33.846,669,1
9.833,181,1
1.946,42,5
10.789,1651,1
8.846,179,1
10.7,161,1
7.75,99,1
23.75,223,1
7.7,137,1
16.714,299,1
34.167,608,1
101.33,12,2
8.75,98,1
8.333,49,1
3.5,66,1
4.167,76,1
41.417,789,1
12,155,1
30.667,179,1
31.5,227,1
8.75,112,1
5.583,99,1
66.6,17,2
4.444,61,1
19.333,375,1
11.9,190,1
12.1,192,1
4.259,388,1
8.3,121,1
18.1,273,1
41.3,527,1
5.1,67,1
5.75,95,1
6.5,52,1
2.667,103,1
