@relation page-blocks

@attribute Height numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
10,164,1
7,61,1
10,719,1
8,44,1
10,199,1
24,1718,1
6,29,1
5,78,1
7,22,1
7,31,1
8,81,1
9,118,1
7,47,1
8,200,1
14,813,1
8,28,1
7,237,1
10,1058,1
7,110,1
10,432,1
7,50,1
8,64,1
5,60,1
11,868,1
10,35,1
12,58,1
14,549,1
8,137,1
9,104,1
6,71,1
10,42,1
7,21,1
9,501,1
8,172,1
8,350,1
9,437,1
11,834,1
8,8,1
5,42,1
8,49,1
9,165,1
8,101,1
8,67,1
6,23,1
8,65,1
8,29,1
9,120,1
11,153,1
7,79,1
7,83,1
9,415,1
10,813,1
10,97,1
6,24,1
7,96,1
9,331,1
16,2158,1
11,708,1
10,110,1
8,715,1
8,122,1
5,167,1
4,47,1
7,178,1
6,104,1
9,346,1
9,197,1
6,110,1
8,81,1
10,1361,1
12,1773,1
11,979,1
12,164,1
13,361,1
3,39,1
9,13,1
8,40,1
10,130,1
10,237,1
12,281,1
10,132,1
9,606,1
11,920,1
5,50,1
8,62,1
9,75,1
12,334,1
6,29,1
10,361,1
5,10,1
6,114,1
8,63,1
1,20,1
9,120,1
8,131,1
6,86,1
14,1028,1
17,174,1
8,98,1
8,586,1
7,115,1
9,120,1
11,1619,1
10,53,1
7,211,1
9,434,1
5,34,1
12,81,1
7,10,1
8,44,1
6,238,1
8,42,1
7,66,1
8,60,1
9,326,1
11,61,1
7,242,1
9,178,1
5,14,1
5,34,1
3,189,1
7,14,1
9,49,1
9,576,1
11,90,1
7,43,1
5,46,1
9,138,1
8,19,1
9,371,1
9,90,1
7,268,1
5,26,1
10,484,1
11,40,1
11,133,1
10,133,1
9,208,1
7,100,1
9,98,1
13,759,1
13,1392,1
11,504,1
9,39,1
8,152,1
6,367,1
16,2582,1
9,126,1
10,335,1
12,307,1
6,43,1
10,242,1
9,215,1
11,160,1
8,132,1
14,580,1
8,103,1
11,724,1
10,112,1
8,278,1
7,202,1
9,114,1
5,62,1
7,65,1
9,441,1
10,366,1
14,31,1
11,152,1
9,74,1
7,110,1
10,121,1
13,1027,1
7,53,1
24,2256,1
6,32,1
11,64,1
1,8,1
7,69,1
8,13,1
7,80,1
10,109,1
9,168,1
11,39,1
11,85,1
10,125,1
7,132,1
5,10,1
8,418,1
6,146,1
12,843,1
7,49,1
7,30,1
8,57,1
3,8,1
8,51,1
8,103,1
8,16,1
10,588,1
8,365,1
5,12,1
7,99,1
10,116,1
7,127,1
9,25,1
4,121,1
7,28,1
11,75,1
6,10,1
9,259,1
7,124,1
14,938,1
11,314,1
25,3496,1
13,1749,1
11,101,1
13,1054,1
4,10,1
9,183,1
8,135,1
13,663,1
8,38,1
11,954,1
14,422,1
8,18,1
5,41,1
7,85,1
8,114,1
8,43,1
9,124,1
8,107,1
12,281,1
7,202,1
5,90,1
14,754,1
10,502,1
4,7,1
1,15,1
7,15,1
12,715,1
8,76,1
5,155,1
7,197,1
5,13,1
5,10,1
8,33,1
8,69,1
7,71,1
8,236,1
8,294,1
8,69,1
11,238,1
9,172,1
1,32,1
6,22,1
10,186,1
16,325,1
11,1260,1
6,202,1
7,32,1
7,28,1
12,1584,1
5,9,1
11,314,1
11,360,1
16,1314,1
8,240,1
8,110,1
19,207,1
7,44,1
10,403,1
7,73,1
6,27,1
11,591,1
7,12,1
8,31,1
6,60,1
7,361,1
9,109,1
9,258,1
8,128,1
5,33,1
10,116,1
9,388,1
6,14,1
9,39,1
12,221,1
7,20,1
1,7,1
10,86,1
1,9,1
6,24,1
10,246,1
14,907,1
5,16,1
24,2168,1
8,93,1
5,19,1
11,170,1
11,452,1
17,159,1
10,832,1
26,3464,1
5,96,1
13,47,1
9,48,1
6,10,1
7,111,1
9,171,1
10,536,1
9,56,1
9,378,1
12,649,1
10,92,1
7,20,1
8,51,1
9,413,1
7,26,1
8,161,1
7,63,1
10,170,1
7,27,1
10,91,1
7,161,1
8,139,1
9,104,1
6,164,1
10,54,1
10,100,1
9,33,1
10,93,1
37,1053,1
10,256,1
10,219,1
23,2885,1
7,103,1
2,7,1
7,14,1
7,82,1
8,460,1
9,441,1
9,210,1
13,114,1
5,67,1
8,87,1
9,17,1
6,178,1
12,805,1
8,85,1
6,27,1
8,57,1
5,52,1
10,67,1
10,606,1
9,43,1
8,38,1
8,91,1
7,482,1
8,69,1
10,31,1
3,18,1
7,34,1
9,195,1
8,27,1
9,659,1
9,215,1
19,69,1
8,64,1
12,1606,1
17,146,1
7,18,1
10,928,1
7,40,1
8,478,1
5,7,1
3,11,1
7,35,1
7,141,1
11,824,1
9,131,1
8,129,1
11,500,1
5,54,1
8,140,1
8,88,1
8,118,1
10,195,1
12,46,1
9,182,1
7,196,1
8,195,1
9,425,1
7,411,1
24,3064,1
9,22,1
6,159,1
9,68,1
13,382,1
7,14,1
14,592,1
9,692,1
5,73,1
5,218,1
10,245,1
7,24,1
7,33,1
8,45,1
8,179,1
7,27,1
5,240,1
4,12,1
11,48,1
11,49,1
5,12,1
7,32,1
9,268,1
7,251,1
8,56,1
8,25,1
5,82,1
7,60,1
23,166,1
9,173,1
8,120,1
10,143,1
25,4304,1
6,23,1
9,240,1
11,57,1
9,188,1
10,251,1
9,209,1
11,65,1
6,22,1
11,697,1
9,22,1
11,155,1
3,7,1
9,283,1
7,22,1
24,2182,1
8,53,1
8,79,1
7,18,1
22,838,1
4,205,1
1,16,1
8,95,1
8,208,1
7,31,1
9,53,1
9,19,1
11,250,1
9,126,1
8,151,1
10,99,1
7,67,1
12,549,1
10,53,1
9,270,1
8,17,1
10,226,1
5,45,1
9,432,1
10,42,1
9,283,1
9,67,1
8,11,1
9,187,1
7,52,1
10,188,1
6,70,1
9,443,1
5,13,1
9,328,1
10,130,1
7,94,1
9,157,1
8,52,1
13,147,1
10,167,1
5,25,1
7,30,1
11,53,1
7,111,1
7,21,1
8,9,1
8,31,1
10,40,1
4,15,1
8,45,1
6,44,1
10,41,1
9,82,1
9,456,1
10,161,1
9,215,1
6,28,1
9,67,1
9,339,1
