@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
1.4,0.486,1
1.167,0.357,1
4.111,0.532,1
9,0.667,2
3.778,0.32,1
9,0.23,1
1.2,0.367,1
1.333,0.454,1
1,0.306,1
9.444,0.302,1
38.667,0.356,2
44,0.505,2
13.1,0.415,1
3.8,0.387,1
2.5,0.5,1
4,0.54,1
5.125,0.363,1
17.429,0.281,1
9.6,0.418,1
2.84,0.234,1
0.667,0.198,1
12.6,0.463,1
5,0.442,1
12.3,0.362,1
9,0.778,1
0.25,0.563,1
18.818,0.268,1
10.222,0.365,1
152,0.822,2
3.667,0.197,1
52,0.981,2
7.9,0.385,1
1.1,0.373,1
5.222,0.333,1
3.375,0.218,1
1.489,0.088,5
4.111,0.538,1
8.417,0.292,1
8.7,0.344,1
8.4,0.356,1
0.556,0.711,1
4.7,0.336,1
4.111,0.39,1
7.083,0.305,1
11,0.38,1
0.778,0.302,1
9.9,0.473,1
8.5,0.324,1
117,0.393,2
1,0.327,1
4.222,0.444,1
19,0.684,2
2.444,0.318,1
0.667,0.37,1
9.111,0.32,1
12.375,0.351,1
9.75,0.251,1
0.8,0.525,1
4.556,0.374,1
4,0.252,1
37,0.811,2
46,0.239,2
17,0.882,2
7.111,0.307,1
6.75,0.35,1
10.556,0.284,1
7.111,0.302,1
3,0.346,1
1.9,0.363,1
5,0.319,1
35,0.857,2
5,0.494,1
13,0.453,1
0.857,0.333,1
5.444,0.587,1
148,0.959,2
11,0.484,1
5.222,0.307,1
22.8,0.24,1
13.667,0.39,1
3.5,0.38,1
6.538,0.327,1
9.5,0.475,1
3.6,0.323,1
4.067,0.247,1
4.893,0.265,1
13,0.419,1
11.889,0.383,1
15,0.298,1
4.667,0.405,1
25,0.337,1
4.833,0.343,1
10.143,0.394,1
8.5,0.294,1
6.667,0.324,1
11.889,0.375,1
7.333,0.447,1
4.875,0.347,1
30.636,0.175,1
9.25,0.456,1
4.778,0.388,1
2.889,0.114,5
10.333,0.3,1
3.455,0.328,1
5.6,0.329,1
5,0.463,1
6.5,0.303,1
2.429,0.454,1
8.6,0.405,1
4.667,0.45,1
24.9,0.462,1
5.583,0.376,1
9.667,0.331,1
17.4,0.278,1
7.889,0.352,1
2.091,0.415,1
7.889,0.294,1
16.833,0.393,1
2.75,0.376,1
3.889,0.397,1
4.667,0.452,1
16.25,0.296,1
3.889,0.273,1
2.333,0.302,1
2.556,0.169,1
1.857,0.154,5
6.875,0.243,1
30.429,0.199,1
3.5,0.299,1
1.875,0.133,5
1.429,0.286,1
3.125,0.28,1
3.875,0.298,1
34,0.197,1
26.1,0.183,1
8.875,0.238,1
32.625,0.218,1
11,0.195,1
3.778,0.225,1
1.571,0.351,1
3,0.313,1
3.125,0.24,1
2.833,0.245,1
4.286,0.295,1
1.6,0.425,1
2.625,0.262,1
21.5,0.195,1
0.571,0.357,1
0.8,0.35,1
8.6,0.233,1
4.5,0.333,1
3.167,0.254,1
33,0.667,2
106,0.858,2
1.778,0.16,1
6.833,0.232,1
2.333,0.175,1
1.2,0.142,1
2,0.242,1
26,0.203,1
5.375,0.212,1
3.75,0.233,1
0.857,0.476,1
2.429,0.395,1
1.6,0.6,1
3.375,0.208,1
6.143,0.246,1
4.714,0.342,1
1.571,0.351,1
3.714,0.352,1
4.429,0.276,1
5.286,0.305,1
1.571,0.364,1
6.111,0.259,1
2,0.337,1
0.667,0.458,1
2,0.378,1
2.833,0.324,1
2.444,0.227,1
2.286,0.304,1
5.444,0.222,1
6.143,0.249,1
1.2,0.3,1
2.429,0.353,1
0.9,0.222,1
0.75,0.313,1
3.857,0.079,1
6.286,0.218,1
2.143,0.229,1
2.571,0.365,1
5.222,0.279,1
3.333,0.27,1
3.8,0.442,1
4.571,0.268,1
1.857,0.286,1
1.571,0.286,1
2,0.214,1
3.286,0.342,1
1,0.327,1
4.667,0.369,1
1.4,0.543,1
3.857,0.286,1
3.429,0.244,1
3.3,0.182,1
