@relation page-blocks

@attribute Eccen numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
8.5,124,1
5.6,33,1
2.375,19,1
23.778,307,1
9.8,159,1
23.875,444,1
26.875,243,1
32.538,632,1
4.429,45,1
10.778,174,1
2.5,24,1
3.857,39,1
11.625,125,1
5.125,37,1
5.429,50,1
25,221,1
24.5,159,1
20,481,1
3.5,66,1
19.286,134,1
1.667,24,1
0.286,1,1
0.875,11,1
1.5,28,1
2,29,1
1.7,12,1
11.889,161,1
16,99,1
8.286,38,1
0.667,2,1
5.375,50,1
28.143,66,1
7.792,267,1
2,4,1
7.429,80,1
2.714,17,1
13.833,104,1
13.625,119,1
3,22,1
2.571,28,1
17.556,212,1
44.125,165,1
33.875,375,1
17.333,111,1
1.5,20,1
1,12,1
1.4,12,1
17.538,238,1
0.75,2,1
3.222,48,1
2.222,30,1
4.8,31,1
2.875,25,1
5.75,48,1
4.625,77,1
8.545,143,1
12.75,122,1
56.444,563,1
5.444,88,1
9.051,454,1
3.5,60,1
8.714,77,1
59.444,310,1
3.6,51,1
3.167,17,1
26.25,208,1
29.786,467,1
4,23,1
25,253,1
0.769,6,1
3,22,1
2.473,58,1
11.889,156,1
1,11,1
1.333,28,1
1.333,18,1
56.667,513,1
30.167,192,1
1.5,8,1
2.333,30,1
9.6,161,1
5.111,55,1
15.1,165,1
0.571,1,1
7.571,86,1
1.5,20,1
56.444,614,1
3.778,63,1
4.625,40,1
5.444,74,1
1.444,6,1
6.25,84,1
29.333,349,1
29.333,311,1
3.462,38,1
0.733,8,1
2.833,16,1
7.714,77,1
34.286,221,1
3,56,1
6,113,1
16.444,167,1
2.375,32,1
17.222,198,1
4.111,65,1
8.609,282,1
1.556,12,1
20.556,222,1
1.889,16,1
2.333,15,1
22.429,174,1
19.64,773,1
0.625,4,1
0.857,10,1
143,18,1
17.6,263,1
23.818,373,1
2.714,32,1
1.5,22,1
5.857,62,1
26.125,228,1
1,10,1
16,88,1
21.455,316,1
1.75,20,1
2.2,14,1
6,75,1
13.857,95,1
18.889,218,1
0.286,1,1
13,121,1
4.444,59,1
3.909,58,1
7.222,96,1
1.571,19,1
1.25,17,1
5,44,1
6,43,1
13,178,1
3.889,52,1
8,82,1
5.286,47,1
25.1,287,1
9,106,1
9.182,137,1
0.8,6,1
1.6,12,1
3.857,42,1
0.857,1,1
2.4,6,1
1.333,14,1
3.583,66,1
2.636,42,1
2.6,12,1
7.143,64,1
2.556,41,1
15.333,180,1
5.125,67,1
4.429,50,1
4.857,45,1
1.917,16,1
6,92,1
0.571,1,1
1,13,1
8.091,61,1
3.9,71,1
30.889,398,1
5.429,45,1
41.417,658,1
17.545,325,1
10.059,250,1
2.875,40,1
1.333,1,1
4.636,80,1
0.444,3,1
19,214,1
0.875,9,1
1.13,92,1
15.1,197,1
1,1,1
3.125,36,1
2,18,1
15.125,134,1
26.182,386,1
2.25,31,1
16.5,163,1
13.333,181,1
7.44,305,1
4.1,59,1
12.6,200,1
2.111,31,1
8.708,269,1
19.625,679,1
5.4,65,1
5.435,132,1
25.667,274,1
3,46,1
10.545,194,1
2.333,29,1
5.3,79,1
15.5,78,1
8.5,178,1
1.5,23,1
15.182,238,1
11.64,462,1
10.571,74,1
23.727,361,1
4.444,60,1
24.438,477,1
22.7,311,1
9.833,189,1
20,186,1
1.875,24,1
15.375,146,1
0.6,2,1
1.25,14,1
1.429,16,1
1.182,24,1
6.1,94,1
12.429,116,1
45,15,1
31.111,336,1
2.2,39,1
5.714,51,1
1,14,1
7.9,122,1
3.222,38,1
7.3,108,1
2.625,29,1
1.5,15,1
2.9,48,1
1.5,19,1
2,22,1
9,119,1
5.286,54,1
5.222,86,1
9.429,53,1
1.5,16,1
1.7,14,1
2.857,27,1
0.875,10,1
1.375,21,1
30.571,243,1
2.714,32,1
9.455,585,1
16.667,218,1
5.2,72,1
50.333,269,1
3.3,51,1
1.9,14,1
31.462,637,1
11.071,238,1
4.143,20,1
3.273,54,1
17.286,131,1
16.692,334,1
8.667,110,1
5.625,42,1
3.7,65,1
16.429,128,1
5.4,35,1
4.077,61,1
2,16,1
18.8,53,1
3.667,40,1
9.333,120,1
1.333,28,1
5.75,74,1
2.7,53,1
10.5,5,1
1,6,1
4.667,61,1
9.375,84,1
10,57,1
18.3,293,1
10.826,270,1
28.286,62,1
18.556,197,1
1.556,9,1
3.8,56,1
8.143,84,1
2.1,36,1
2.667,34,1
1.4,9,1
1.875,25,1
5.111,70,1
3,37,1
10.727,168,1
1.375,20,1
7.909,115,1
7,82,1
24.375,221,1
1.625,20,1
19.286,120,1
6.857,77,1
6.25,70,1
7.875,85,1
13.667,154,1
0.7,12,1
3,40,1
26.846,395,1
1.875,14,1
5.833,42,1
6.625,76,1
1.833,19,1
1.727,17,1
6.364,83,1
36.778,452,1
6.429,54,1
26.1,388,1
1.125,13,1
15.75,165,1
3.143,31,1
1.8,11,1
17.375,82,1
7.44,310,1
14.833,89,1
7.714,58,1
7.44,263,1
6.556,81,1
1.333,1,1
9.222,122,1
1.2,3,1
2.286,20,1
53.5,447,1
7.75,304,1
13,71,1
30.125,182,1
0.8,3,1
16.571,116,1
31.556,286,1
0.8,16,1
3,27,1
1,1,1
2.167,21,1
5.889,91,1
6.429,62,1
3.857,41,1
11.222,136,1
5.875,68,1
14,100,1
0.9,9,1
7.818,144,1
1.727,16,1
4,61,1
2,27,1
23.818,386,1
26.143,181,1
2,15,1
8.545,122,1
17.867,326,1
10,81,1
20.286,419,1
10.25,104,1
9.2,28,1
22,418,1
35,175,1
26.8,220,1
22.583,410,1
29.286,124,1
20.143,139,1
3.286,37,1
11.333,56,1
4.667,58,1
2,18,1
2.667,24,1
1.429,9,1
2.6,38,1
0.75,9,1
1.125,7,1
10.727,189,1
1.8,15,1
20.667,213,1
16.818,220,1
7.455,108,1
30.857,223,1
11.5,83,1
11.222,146,1
6,75,1
21.4,92,1
1.9,16,1
1.333,27,1
2,22,1
3.4,61,1
5,33,1
4.418,1134,1
29.571,279,1
3.286,38,1
24.727,348,1
0.667,2,1
39.111,486,1
6.571,38,1
5.75,53,1
3.4,59,1
3.545,55,1
11.667,117,1
2.9,18,1
0.7,12,1
9.111,115,1
4.1,70,1
2.2,14,1
31.071,472,1
0.75,8,1
5.6,26,1
0.5,1,1
2.429,24,1
1.625,23,1
1.7,27,1
7.636,155,1
4.833,34,1
1,8,1
18.4,232,1
0.571,3,1
9,91,1
54.333,323,1
0.875,11,1
1.143,9,1
14.222,175,1
2.444,28,1
