@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8,11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
5,14,1
6,18,1
5,10,1
6,1,1
4,10,1
9,223,1
4,204,2
9,57,1
9,136,1
9,240,1
10,15,1
12,49,1
12,155,1
2,29,2
9,87,1
10,536,1
1,13,2
2,143,2
7,50,1
8,191,1
10,14,1
8,191,1
9,186,1
9,116,1
8,197,1
8,69,1
12,309,1
5,7,1
3,21,1
11,46,1
2,159,2
9,127,1
8,237,1
8,157,1
2,123,2
9,105,1
9,233,1
8,122,1
42,83,4
11,234,1
9,77,1
45,308,5
3,13,1
6,51,1
5,24,1
4,25,1
7,63,1
10,333,1
9,245,1
11,317,1
11,324,1
9,254,1
25,791,1
9,437,1
12,43,1
10,74,1
10,143,1
34,406,1
7,46,1
8,74,1
11,46,1
11,53,1
9,244,1
10,296,1
9,302,1
23,795,1
1,27,2
7,15,1
11,51,1
9,44,1
9,264,1
8,160,1
8,131,1
7,118,1
9,366,1
6,24,1
13,258,1
9,98,1
1,13,2
12,288,1
8,68,1
15,1136,1
14,133,1
11,71,1
11,54,1
9,94,1
9,77,1
9,148,1
9,48,1
8,36,1
10,151,1
10,234,1
10,281,1
9,245,1
13,1564,1
12,515,1
7,54,1
22,823,1
8,172,1
8,327,1
9,261,1
14,1382,1
12,1068,1
49,324,5
8,58,1
9,241,1
23,572,1
8,289,1
6,87,1
8,154,1
13,298,1
12,418,1
39,245,5
7,65,1
9,249,1
26,3424,1
13,591,1
10,451,1
13,1080,1
12,324,1
12,433,1
12,1833,1
9,186,1
7,354,1
9,145,1
10,116,1
9,98,1
5,160,1
22,808,1
7,411,1
5,58,1
10,152,1
43,212,5
7,251,1
8,107,1
22,780,1
8,485,1
6,123,1
33,91,5
9,378,1
24,480,1
9,174,1
4,11,5
8,90,1
9,659,1
10,675,1
4,7,5
23,786,1
8,17,1
8,28,1
8,373,1
11,504,1
5,8,5
7,31,1
6,19,1
8,99,1
7,27,1
7,82,1
10,237,1
8,54,1
10,192,1
7,87,1
9,359,1
10,287,1
2,7,1
5,11,1
6,25,1
