@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
6,2.25,1
5,8,1
4,2.57,1
10,1.71,1
10,2.53,1
9,2.19,1
2,10.75,2
11,2.43,1
1,3.71,2
10,2.17,1
2,6.67,2
6,2.78,1
7,3.09,1
11,6,1
9,1.92,1
9,1.78,1
8,1.66,1
9,1.85,1
8,1.79,1
7,18,1
8,1.77,1
9,3.02,1
6,2,1
11,3.96,1
10,2.83,1
11,1.9,1
8,2.51,1
8,2.08,1
8,2.44,1
1,7,2
44,2.47,4
3,11.94,2
10,2.06,1
12,1.91,1
10,2.2,1
1,11.5,2
9,2.1,1
12,46,1
12,5.22,1
14,3.33,1
11,2.8,1
9,2.2,1
9,2.77,1
10,2.78,1
9,3.45,1
9,1.93,1
9,2.16,1
11,3.03,1
9,2.85,1
9,2.97,1
9,2.75,1
7,2.61,1
6,1.3,1
11,2.61,1
1,19,2
8,1.64,1
12,2.06,1
8,1.95,1
8,3.04,1
8,1.83,1
9,2.03,1
9,1.91,1
9,1.97,1
9,1.83,1
9,1.87,1
9,1.85,1
6,10,2
9,1.95,1
9,2.18,1
9,2.73,1
1,4.2,2
8,1.81,1
9,1.99,1
9,3.16,1
10,2.64,1
10,2.92,1
12,2.06,1
10,2.98,1
8,2.92,1
7,2.25,1
7,2.67,1
11,5.75,1
9,1.75,1
9,2.09,1
9,1.84,1
8,1.63,1
11,2.21,1
8,1.63,1
11,1.62,1
1,19.25,2
8,2.7,1
8,1.92,1
7,3.48,1
22,8.64,1
8,1.86,1
7,2.08,1
6,1.77,1
10,2.5,1
13,13,4
5,1.74,1
13,13,4
10,3.25,1
10,2.44,1
12,2.55,1
18,2.34,1
14,2.12,1
10,1.87,1
9,2.17,1
9,2.23,1
9,3.08,1
5,2.46,1
14,2.12,1
9,3.26,1
8,4.69,1
10,3.13,1
12,2.45,1
11,2.78,1
6,1.46,1
3,1.77,1
12,2.3,1
10,3.48,1
14,30,5
5,4,5
9,1.86,1
4,2.33,5
8,2.07,1
11,1.49,1
8,2,1
10,1.61,1
10,1.44,1
10,1.41,1
10,1.38,1
8,4.5,5
10,1.29,1
8,1.29,1
11,1.41,1
10,1.52,1
9,1.35,1
8,1.31,1
8,1.6,1
6,1.5,1
5,1.62,1
8,1.27,1
8,1.39,1
804,15.64,4
5,1.46,1
7,1.56,1
9,1.45,1
1,12.67,2
6,3.67,1
6,1.89,1
6,1.86,1
1,1.75,1
9,1.82,1
6,1.64,1
4,1.67,1
7,1.48,1
7,1.62,1
6,1.27,1
9,1.27,1
8,1.7,1
7,1.54,1
7,1.48,1
7,1.5,1
7,1.38,1
5,1.57,1
7,1.27,1
7,1.54,1
9,1.46,1
8,1.67,1
8,1.76,1
7,1.64,1
6,1.32,1
7,1.46,1
6,1.17,1
9,1.51,1
8,1.45,1
7,2,1
7,1.77,1
10,1.32,1
7,1.41,1
7,1.47,1
7,1.4,1
7,1.3,1
7,1.61,1
7,2,1
7,1.48,1
7,1.61,1
7,1.59,1
8,1.21,1
7,1.77,1
8,1.38,1
9,1.53,1
7,1.57,1
7,1.23,1
9,1.61,1
7,1.36,1
7,1.54,1
7,1.53,1
7,3.67,1
7,1.66,1
7,1.32,1
6,1.2,1
8,1.42,1
7,1.4,1
7,1.38,1
6,1.11,1
7,1.46,1
6,1.41,1
8,1.35,1
7,1.29,1
9,1.37,1
5,1.41,1
6,1.65,1
5,1.75,1
7,1.57,1
5,1.45,1
7,1.27,1
7,1.55,1
8,1.64,1
5,1.75,1
7,1.28,1
9,1.34,1
9,1.32,1
8,1.43,1
6,1.38,1
9,1.36,1
5,1.57,1
7,1.38,1
7,1.35,1
6,1.93,1
8,2.09,1
5,2.11,1
8,1.69,1
13,8,5
11,1.93,1
10,2.44,1
8,2.12,1
11,2.47,1
11,1.89,1
11,2.47,1
2,10,2
11,1.93,1
19,1.51,1
8,3,1
8,1.96,1
25,2.47,5
9,2.33,1
8,2.02,1
8,1.88,1
11,2.47,1
8,1.74,1
10,2.02,1
10,2.1,1
8,1.86,1
8,2.1,1
11,2.05,1
11,1.89,1
8,1.81,1
8,2.91,1
