@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,11'

@attribute Height numeric
@attribute Area numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
5,35,17,1
6,42,15,1
9,333,177,1
2,36,24,2
9,306,98,1
11,1089,250,1
10,120,44,1
9,108,49,1
12,144,44,1
9,765,231,1
3,348,124,2
3,396,200,2
10,1310,543,1
10,380,147,1
8,160,80,1
9,324,175,1
8,328,119,1
7,854,240,1
10,960,401,1
25,1775,416,1
12,96,19,1
10,1260,584,1
9,405,179,1
10,1230,445,1
1,9,7,1
8,16,9,1
11,2277,610,1
9,828,302,1
1,152,125,2
6,132,26,1
1,52,51,2
10,790,304,1
10,110,41,1
9,423,141,1
8,216,47,1
311,143993,12631,5
9,333,179,1
12,1212,354,1
10,870,299,1
10,840,299,1
9,45,32,1
10,470,158,1
9,333,130,1
12,1020,311,1
9,891,339,1
9,63,19,1
10,990,468,1
10,850,275,1
1,117,46,2
7,49,16,1
9,342,152,1
1,19,13,2
9,198,63,1
9,54,20,1
9,738,236,1
8,792,278,1
12,1404,353,1
10,80,42,1
9,369,138,1
12,576,145,1
1,37,30,2
1,46,11,2
1,17,15,2
9,576,177,1
8,432,151,1
9,855,243,1
9,576,174,1
9,243,84,1
10,190,69,1
9,405,129,1
1,35,30,2
7,245,121,1
10,1300,589,1
7,42,14,1
9,441,259,1
1,148,142,2
9,891,431,1
9,423,130,1
15,5130,1232,1
9,1107,432,1
10,350,133,1
13,1105,361,1
8,608,289,1
15,810,262,1
15,915,226,1
28,3836,1016,1
9,1053,441,1
9,963,369,1
6,540,161,1
6,168,68,1
7,1225,413,1
12,696,239,1
7,497,196,1
6,306,90,1
12,960,311,1
9,963,361,1
6,264,118,1
24,2808,975,1
11,3707,650,1
8,592,270,1
9,387,150,1
153,67626,7689,5
12,1488,447,1
11,418,137,1
5,140,46,1
8,320,148,1
6,234,71,1
7,119,54,1
5,215,87,1
9,378,170,1
10,2490,1151,1
12,804,302,1
12,1392,461,1
10,1740,483,1
9,639,225,1
11,253,105,1
9,639,188,1
6,606,238,1
16,704,265,1
9,315,125,1
9,378,171,1
4,260,77,1
9,315,86,1
9,189,57,1
9,207,35,1
7,91,14,5
8,440,107,1
7,1491,296,1
8,224,67,1
16,480,64,5
7,70,20,1
8,200,56,1
8,248,74,1
8,2176,428,1
10,2610,477,1
8,568,135,1
8,2088,455,1
8,704,137,1
9,306,69,1
7,77,27,1
7,147,46,1
8,200,48,1
6,102,25,1
7,210,62,1
5,40,17,1
8,168,44,1
6,774,151,1
7,28,10,1
5,20,7,1
5,215,50,1
4,72,24,1
6,114,29,1
1,33,22,2
1,106,91,2
9,144,23,1
6,246,57,1
9,189,33,1
10,120,17,1
8,128,31,1
7,1274,259,1
8,344,73,1
8,240,56,1
7,42,20,1
7,119,47,1
5,40,24,1
8,216,45,1
7,301,74,1
7,231,79,1
7,77,27,1
7,182,64,1
7,217,60,1
7,259,79,1
7,77,28,1
