@relation page-blocks

@attribute Lenght numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
4,1.333,1
245,20.417,1
151,16.778,1
10,1.25,1
30,4.286,1
41,5.125,1
66,6.6,1
150,10.714,1
41,5.125,1
99,19.8,1
71,10.143,1
74,9.25,1
38,3.8,1
414,31.846,1
176,17.6,1
31,3.1,1
19,1.9,1
12,1.2,1
6,1.5,1
108,10.8,1
35,3.889,1
36,4,1
155,15.5,1
46,5.75,1
80,11.429,1
14,2.8,1
412,15.846,1
4,0.8,1
111,12.333,1
108,12,1
272,24.727,1
340,14.167,1
12,1.714,1
22,2.2,1
36,3.6,1
30,4.286,1
3,0.429,1
12,1.5,1
11,1.571,1
63,7,1
23,3.286,1
227,16.214,1
69,7.667,1
60,6.667,1
131,21.833,1
118,9.833,1
7,1.4,1
13,1.857,1
8,0.667,1
34,3.778,1
15,3,1
349,38.778,1
7,1.4,1
79,9.875,1
9,1,1
12,1.5,1
13,1.625,1
65,8.125,1
243,34.714,1
23,3.286,1
181,18.1,1
18,2.571,1
53,5.889,1
103,8.583,1
34,4.25,1
225,17.308,1
135,19.286,1
125,8.929,1
109,109,1
196,24.5,1
28,2.8,1
27,3.857,1
39,6.5,1
298,37.25,1
150,16.667,1
166,6.917,1
67,4.467,1
18,2.571,1
271,22.583,1
11,5.5,1
9,1.125,1
16,2,1
71,8.875,1
8,2.667,1
75,9.375,1
300,20,1
16,3.2,1
53,5.3,1
71,8.875,1
102,11.333,1
23,2.091,1
19,1.9,1
48,4.8,1
39,7.8,1
80,11.429,1
57,5.182,1
6,1,1
240,34.286,1
16,2.286,1
33,4.714,1
73,6.083,1
95,15.833,1
21,2.333,1
40,5,1
92,13.143,1
4,0.444,1
3,500,1
104,17.333,1
18,2.25,1
13,1.857,1
48,6.857,1
143,143,1
38,5.429,1
13,2.167,1
258,28.667,1
59,8.429,1
120,13.333,1
11,1.571,1
102,11.333,1
243,22.091,1
4,0.8,1
10,1.667,1
280,35,1
397,28.357,1
12,1.714,1
95,95,1
81,9,1
11,1.571,1
33,4.125,1
50,6.25,1
17,1.545,1
40,4.444,1
12,1.5,1
12,2.4,1
102,11.333,1
75,7.5,1
179,19.889,1
4,0.8,1
174,17.4,1
9,1.5,1
110,15.714,1
25,2.5,1
28,4.667,1
532,59.111,1
12,12,1
6,0.75,1
61,5.083,1
36,4,1
79,7.9,1
70,10,1
22,2.444,1
12,1.5,1
98,7,1
22,1.294,1
7,0.636,1
268,26.8,1
240,26.667,1
83,8.3,1
271,27.1,1
90,7.5,1
310,34.444,1
309,38.625,1
4,1,1
535,53.5,1
8,1,1
414,34.5,1
24,3.429,1
23,3.286,1
46,5.111,1
261,21.75,1
26,3.25,1
22,2,1
13,1.857,1
96,19.2,1
49,5.444,1
49,4.9,1
13,1.625,1
7,0.583,1
376,41.778,1
48,6,1
141,20.143,1
7,0.875,1
7,1.167,1
179,17.9,1
20,3.333,1
54,6,1
19,9.5,1
13,1.857,1
266,20.462,1
14,2.8,1
15,1.667,1
19,2.714,1
22,2,1
136,10.462,1
346,49.429,1
115,23,1
32,3.556,1
151,21.571,1
28,3.5,1
419,27.933,1
101,9.182,1
41,5.857,1
49,7,1
101,2.73,1
118,9.833,1
4,0.5,1
13,2.6,1
402,28.714,1
271,33.875,1
250,27.778,1
118,10.727,1
11,1.571,1
47,5.222,1
294,11.76,1
124,13.778,1
37,3.364,1
108,12,1
34,4.857,1
40,40,1
48,4,1
155,14.091,1
15,3.75,1
309,19.313,1
123,6.474,1
29,4.143,1
54,9,1
154,15.4,1
340,24.286,1
213,19.364,1
127,11.545,1
56,5.091,1
21,2.1,1
59,6.556,1
38,4.222,1
7,1,1
88,17.6,1
260,26,1
35,3.5,1
5,0.556,1
13,1.857,1
33,4.714,1
