@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
18,1152,301,1
12,4920,1636,1
9,1575,279,1
4,176,47,1
6,42,21,1
2,42,7,1
10,860,125,1
9,405,113,1
9,1980,456,1
10,1440,368,1
8,184,47,1
7,112,33,1
9,81,13,1
8,240,58,1
6,582,155,1
8,120,62,1
8,1744,252,1
9,738,226,1
9,1530,567,1
9,729,242,1
8,136,52,1
6,42,11,1
6,42,21,1
12,336,89,1
25,4650,2121,1
7,140,36,1
12,3288,685,1
1,7,7,1
10,1260,536,1
6,192,55,1
11,660,211,1
1,89,17,1
8,184,53,1
6,60,16,1
12,3684,1068,1
8,48,16,1
12,96,28,1
16,5872,2258,1
9,891,241,1
5,160,66,1
8,120,57,1
10,180,97,1
7,245,76,1
14,798,580,1
7,126,45,1
9,2529,687,1
7,1701,336,1
24,7416,6828,1
8,56,21,1
9,1746,333,1
6,42,14,1
10,100,57,1
8,32,15,1
8,216,51,1
6,198,103,1
7,896,182,1
11,1397,371,1
3,81,39,1
9,81,42,1
9,171,38,1
19,8645,703,1
12,84,18,1
10,390,121,1
10,1890,498,1
10,400,118,1
13,871,384,1
9,792,208,1
4,24,13,1
5,165,52,1
11,1969,650,1
7,371,111,1
5,20,13,1
7,35,18,1
8,768,85,1
7,378,108,1
9,738,243,1
8,864,253,1
9,297,105,1
9,2826,440,1
9,729,254,1
7,672,184,1
10,230,85,1
11,737,244,1
11,121,55,1
8,744,194,1
9,351,84,1
12,864,531,1
10,760,360,1
6,354,84,1
9,477,151,1
6,600,231,1
8,208,81,1
8,272,98,1
10,5040,701,1
8,96,37,1
9,720,166,1
3,12,8,1
9,2232,737,1
8,3184,887,1
8,256,96,1
7,126,36,1
10,2360,432,1
10,350,147,1
8,128,49,1
12,1248,418,1
9,702,245,1
7,2205,124,1
7,1386,76,1
8,216,58,1
6,636,82,1
8,656,285,1
12,852,518,1
8,160,60,1
8,288,134,1
13,754,253,1
8,160,84,1
10,250,67,1
15,435,228,1
7,175,61,1
10,660,178,1
10,90,27,1
38,8626,2623,1
10,2710,679,1
7,434,82,1
5,75,38,1
7,231,84,1
8,40,14,1
5,70,27,1
6,174,58,1
8,656,235,1
10,1000,267,1
9,342,127,1
8,1928,230,1
8,200,74,1
6,108,48,1
7,322,98,1
9,675,252,1
14,1176,307,1
9,144,80,1
8,2392,446,1
9,999,218,1
11,1111,265,1
8,144,56,1
10,310,87,1
28,1260,464,1
11,2024,954,1
8,456,122,1
7,91,19,1
7,371,33,1
9,252,65,1
11,88,63,1
10,2680,1058,1
14,5530,1988,1
11,957,305,1
9,486,131,1
8,968,417,1
7,98,31,1
10,340,121,1
7,112,36,1
4,48,7,1
10,190,118,1
9,333,175,1
8,336,124,1
24,8160,1718,1
8,608,141,1
8,200,60,1
8,312,115,1
8,176,71,1
8,136,49,1
9,315,82,1
6,84,33,1
11,99,40,1
7,245,74,1
9,2403,315,1
6,216,107,1
7,238,63,1
10,2610,676,1
8,56,21,1
7,112,52,1
8,72,23,1
8,120,31,1
9,468,95,1
9,261,60,1
10,570,232,1
8,96,46,1
9,882,163,1
11,407,151,1
9,1539,615,1
10,530,180,1
7,266,90,1
9,756,218,1
8,448,190,1
9,243,84,1
9,108,44,1
1,70,14,1
7,147,48,1
12,1224,315,1
5,25,9,1
9,1206,260,1
9,738,247,1
7,175,58,1
14,4760,1636,1
9,1548,546,1
8,104,41,1
8,792,158,1
2,34,11,1
7,399,109,1
11,3333,611,1
11,1837,681,1
5,75,27,1
10,110,22,1
12,792,318,1
1,40,8,1
8,1520,179,1
9,585,271,1
5,90,34,1
9,180,99,1
3,12,11,1
8,248,106,1
1,60,12,1
7,112,50,1
9,2520,415,1
10,100,56,1
7,133,38,1
9,324,113,1
9,2358,492,1
9,153,36,1
7,217,100,1
7,182,68,1
6,72,23,1
1,35,7,1
5,85,34,1
10,550,162,1
14,4172,862,1
8,584,137,1
10,170,38,1
5,85,32,1
9,4815,757,1
8,512,129,1
5,95,30,1
1,18,7,1
12,864,243,1
11,946,281,1
8,664,216,1
7,28,8,1
9,1503,568,1
11,671,197,1
8,320,90,1
8,56,19,1
12,996,300,1
8,112,43,1
12,1416,361,1
7,252,115,1
5,170,38,1
9,477,160,1
8,48,26,1
8,96,42,1
14,798,592,1
12,876,225,1
11,231,95,1
7,112,32,1
9,963,357,1
7,504,204,1
8,168,57,1
5,60,19,1
12,3420,1404,1
10,220,130,1
8,112,28,1
6,108,54,1
5,25,18,1
17,4522,4167,1
7,56,16,1
12,864,551,1
8,176,70,1
11,132,65,1
10,380,161,1
8,24,12,1
22,1540,808,1
9,207,80,1
24,4464,2256,1
8,96,38,1
3,9,7,1
8,80,35,1
9,45,11,1
8,864,169,1
7,301,96,1
10,1270,493,1
10,200,108,1
9,558,225,1
12,828,337,1
11,1034,290,1
9,486,93,1
8,128,58,1
7,77,19,1
22,572,162,1
12,480,221,1
2,558,42,1
8,328,139,1
10,410,124,1
10,400,118,1
13,130,39,1
10,130,50,1
13,1573,591,1
7,238,96,1
9,738,283,1
10,760,245,1
7,189,49,1
5,470,147,1
7,896,237,1
5,135,74,1
9,189,74,1
9,297,112,1
10,380,165,1
13,5499,1034,1
9,1098,366,1
8,184,64,1
8,56,22,1
10,690,191,1
8,192,72,1
8,128,61,1
9,531,261,1
21,273,46,1
5,25,10,1
7,77,28,1
9,387,197,1
9,1863,330,1
8,200,66,1
5,160,56,1
6,570,119,1
5,85,35,1
9,2412,319,1
10,750,338,1
10,1010,471,1
9,477,120,1
8,1048,258,1
7,133,48,1
7,77,23,1
4,124,52,1
25,8500,7358,1
7,140,36,1
8,184,83,1
7,119,27,1
8,32,13,1
5,30,12,1
7,28,15,1
9,117,62,1
7,238,65,1
9,306,118,1
7,644,188,1
9,324,212,1
14,3710,1315,1
7,105,46,1
9,108,48,1
11,2882,697,1
5,20,8,1
8,360,177,1
9,1719,564,1
9,774,233,1
11,671,242,1
10,2510,378,1
8,232,79,1
7,294,98,1
3,270,138,1
8,824,117,1
10,590,159,1
10,5110,805,1
9,324,159,1
13,2444,460,1
9,693,174,1
11,495,132,1
8,112,50,1
8,152,54,1
10,830,173,1
7,301,73,1
9,108,42,1
7,392,129,1
5,150,88,1
9,738,301,1
7,245,85,1
7,154,38,1
10,150,37,1
11,3311,1019,1
9,972,320,1
6,54,19,1
7,231,89,1
5,30,13,1
14,2590,657,1
9,2502,440,1
7,1176,95,1
7,91,27,1
7,378,188,1
25,4625,2214,1
8,152,65,1
8,360,80,1
14,252,75,1
7,1001,113,1
9,351,129,1
9,378,144,1
7,1008,93,1
1,42,16,1
9,198,53,1
11,165,59,1
11,1694,317,1
5,95,20,1
12,1092,307,1
9,423,171,1
7,336,98,1
7,224,69,1
10,90,32,1
8,328,96,1
11,385,129,1
9,1188,225,1
5,105,31,1
8,128,42,1
8,200,81,1
11,132,39,1
12,744,174,1
10,280,87,1
1,123,20,1
11,363,107,1
9,72,49,1
1,32,14,1
6,78,24,1
3,9,7,1
9,1098,372,1
6,1122,211,1
8,64,32,1
7,63,27,1
8,192,65,1
17,4165,3801,1
9,891,168,1
7,749,202,1
9,3168,651,1
9,495,124,1
7,112,47,1
8,1296,265,1
11,1716,385,1
9,1998,403,1
6,36,13,1
11,924,269,1
10,190,116,1
8,2176,407,1
11,2981,525,1
5,215,57,1
10,1540,485,1
9,3141,394,1
10,2800,998,1
10,370,131,1
7,119,34,1
9,882,266,1
9,162,88,1
8,1848,421,1
8,88,28,1
9,1818,158,1
25,7275,3315,1
10,1550,427,1
9,126,42,1
5,145,58,1
7,1204,354,1
10,310,102,1
8,64,13,1
10,110,42,1
8,248,93,1
8,424,147,1
10,140,44,1
8,360,169,1
3,9,8,1
12,1176,288,1
8,184,69,1
9,63,18,1
9,180,47,1
25,10250,2792,1
7,63,15,1
21,2226,302,1
9,1422,308,1
9,828,237,1
6,576,125,1
8,2768,459,1
10,1970,284,1
8,168,64,1
8,1016,319,1
8,104,51,1
7,28,20,1
11,99,46,1
9,738,284,1
12,1416,358,1
8,1160,181,1
5,195,96,1
9,648,156,1
7,182,55,1
6,78,22,1
14,3822,1424,1
6,192,70,1
3,9,8,1
7,63,24,1
10,900,451,1
10,200,80,1
1,25,25,1
8,80,32,1
8,424,161,1
7,77,18,1
6,24,10,1
1,45,9,1
9,1386,563,1
7,259,63,1
11,264,81,1
10,1550,542,1
11,1034,393,1
8,208,88,1
8,176,84,1
10,2710,533,1
15,165,83,1
5,35,15,1
10,450,127,1
8,376,100,1
9,828,290,1
8,664,264,1
25,2950,791,1
8,744,138,1
8,280,107,1
7,1337,411,1
6,72,35,1
15,4410,1743,1
12,528,155,1
9,288,87,1
7,238,60,1
1,200,26,1
9,396,135,1
6,156,66,1
7,91,22,1
8,48,24,1
7,833,237,1
9,1143,243,1
8,824,350,1
8,600,225,1
11,1133,177,1
9,72,42,1
16,5696,2150,1
8,128,66,1
8,280,117,1
9,747,292,1
11,693,286,1
9,135,55,1
5,45,20,1
12,1404,309,1
6,78,28,1
10,670,195,1
