@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
6,4.43,1
4,5.5,1
13,6,1
7,2.57,1
7,1.76,1
11,3.4,1
3,13.9,2
10,2.22,1
2,33,2
9,2.18,1
1,13,2
11,3.36,1
9,4.67,1
7,1.6,1
9,2.1,1
9,2.86,1
1,5.55,2
5,4.67,1
1,4.5,2
94,97,4
10,2.11,1
9,2.11,1
11,1.77,1
11,1.79,1
4,7,4
8,1.97,1
8,2.53,1
2,10.27,2
8,3.57,1
9,2.04,1
9,1.98,1
11,4.78,1
9,3.33,1
10,1.82,1
10,1.9,1
8,1.99,1
11,2.22,1
11,2.44,1
11,2.47,1
9,2.21,1
9,2.2,1
10,3.05,1
14,2.45,1
12,5.9,1
17,24,4
11,2.71,1
9,3.28,1
1,2.13,2
7,1.64,1
6,2.29,1
10,3.11,1
9,1.91,1
9,2.39,1
12,2.9,1
10,1.85,1
10,2.37,1
1,11.67,2
6,1.67,1
10,4,1
8,1.43,1
8,2.33,1
9,1.93,1
10,1.84,1
9,1.76,1
1,4,2
1,4.67,2
7,1.79,1
10,2.78,1
9,2.93,1
9,4,2
9,1.71,1
10,2.01,1
9,2.38,1
1,2.6,2
2,31,2
2,2.5,1
5,2.52,1
2,8,2
7,1.66,1
12,7,1
11,7.88,1
9,1.46,1
11,1.72,1
9,2.34,1
19,33.48,1
8,2.14,1
8,3.88,1
8,2.82,1
6,8,1
10,30,1
9,1.63,1
11,1.71,1
1,3.75,2
8,1.69,1
8,2.11,1
9,1.74,1
13,2.37,1
5,2.35,1
8,2.25,1
10,1.84,1
13,2.23,1
6,1.68,1
12,2.35,1
11,2.25,1
9,2.65,1
13,3.6,1
12,2.91,1
12,2.47,1
8,2.16,1
9,1.97,1
6,1.88,1
9,2.82,1
10,3.14,1
22,11.64,1
5,1.33,1
36,7.7,5
10,1.7,1
13,3.16,1
8,1.97,1
6,1.61,1
12,2.98,1
12,2.91,1
10,1.82,1
7,1.19,1
18,4.3,1
7,1.97,1
10,1.88,1
9,1.9,1
8,1.5,1
8,1.32,1
8,1.29,1
8,1.65,1
81,2.26,5
6,3.5,5
10,1.38,1
13,1.07,5
10,1.43,1
10,1.4,1
8,1.57,1
6,1.56,1
11,1.39,1
7,1.91,1
10,1.28,1
7,1.89,1
7,1.56,1
5,2.33,1
9,1.49,1
5,1.35,1
5,1.42,1
6,1.42,1
10,1.25,1
7,1.47,1
6,1.26,1
8,1.71,1
6,1.63,1
6,1.57,1
5,4.5,1
7,1.77,1
10,1.48,1
9,1.54,1
8,1.84,1
7,1.59,1
7,1.67,1
7,1.4,1
7,1.2,1
7,1.85,1
7,2.33,1
