@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,9,11'

@attribute Height numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
5,11,1
11,88,1
11,42,1
10,436,1
9,559,1
9,708,1
9,465,1
10,686,1
12,405,1
12,49,1
9,171,1
13,105,1
9,42,1
14,1687,1
1,12,1
7,305,1
2,32,1
1,12,1
11,77,1
1,43,2
9,704,1
8,590,1
11,269,1
8,22,1
9,783,1
5,8,4
10,12,2
9,100,1
1,45,2
6,109,1
4,139,1
10,126,1
9,207,1
9,238,1
10,517,1
9,674,1
11,822,1
19,208,1
10,592,1
8,261,1
10,285,1
1,124,2
10,1113,1
10,592,1
1,40,2
1,46,2
7,289,1
8,416,1
8,331,1
7,594,1
12,811,1
12,438,1
8,301,1
8,189,1
11,695,1
10,110,1
12,397,1
9,650,1
11,970,1
1,7,2
24,3822,1
7,13,1
9,180,1
21,881,1
8,230,1
12,773,1
9,602,1
12,407,1
1,79,2
8,142,1
8,319,1
9,1026,1
3,37,1
7,211,1
14,260,1
15,216,1
52,5938,5
9,820,1
9,439,1
9,147,1
9,759,1
9,108,1
9,108,1
9,70,1
10,585,1
9,320,1
69,197,4
5,151,1
17,995,1
12,49,1
10,807,1
12,753,1
12,651,1
9,597,1
10,166,1
9,369,1
8,319,1
10,800,1
9,322,1
8,144,1
10,879,1
8,329,1
38,165,5
1,147,2
1,17,2
9,9,4
7,1126,1
7,640,1
10,678,1
11,731,1
5,142,1
9,664,1
6,139,1
5,529,1
13,678,1
10,1009,1
10,964,1
7,932,1
3,374,2
10,205,1
13,4453,1
12,3544,1
9,444,1
9,869,1
25,1868,1
7,850,1
5,110,1
8,500,1
5,132,1
13,3262,1
10,1027,1
10,832,1
18,876,1
9,483,1
7,316,1
8,388,1
7,31,5
4,28,5
7,80,1
8,247,1
6,19,5
6,16,5
10,1942,1
2,50,2
11,1824,1
8,534,1
7,137,1
7,270,1
6,663,1
6,67,1
5,77,1
5,29,1
7,176,1
5,39,1
6,134,1
6,47,1
6,209,1
7,192,1
6,111,1
9,75,1
5,82,1
7,171,1
5,48,1
6,84,1
7,50,1
6,204,1
6,45,1
9,169,1
5,34,1
8,121,1
7,166,1
7,56,1
7,29,1
7,302,1
8,74,1
7,159,1
7,79,1
1,14,1
9,195,1
8,162,1
7,56,1
5,35,1
7,35,1
7,42,1
10,389,1
7,134,1
7,76,1
7,228,1
10,176,1
7,54,1
7,109,1
7,74,1
7,119,1
7,124,1
6,61,1
4,44,1
4,24,1
5,73,1
5,59,1
9,151,1
5,60,1
6,68,1
6,108,1
7,87,1
7,132,1
7,93,1
5,115,1
9,93,1
6,151,1
6,123,1
7,19,1
5,50,1
7,159,1
10,213,1
7,62,1
7,43,1
7,108,1
7,224,1
8,96,1
14,92,5
8,177,1
55,960,5
12,1999,1
8,65,1
9,440,1
9,143,1
10,362,1
8,252,1
2,51,2
1,127,2
3,146,2
10,209,1
5,13,5
9,383,1
11,231,1
11,620,1
1,86,2
11,240,1
8,119,1
8,66,1
8,77,1
8,184,1
8,182,1
8,134,1
11,649,1
8,40,1
11,250,1
8,100,1
8,244,1
8,86,1
8,106,1
10,414,1
8,64,1
9,172,1
8,95,1
11,1849,1
11,287,1
6,214,1
11,491,1
6,46,1
11,493,1
8,152,1
10,434,1
11,2038,1
8,249,1
8,49,1
11,272,1
8,102,1
10,49,1
11,362,1
8,113,1
8,189,1
11,197,1
6,52,1
10,383,1
7,204,1
9,625,1
5,42,1
10,268,1
11,1830,1
6,64,5
10,142,1
2,11,1
8,178,1
4,7,1
8,49,1
8,275,1
8,138,1
8,133,1
5,52,1
8,61,1
11,414,1
10,119,1
6,52,1
4,92,1
10,394,1
10,283,1
10,115,1
6,95,1
7,103,1
10,238,1
10,257,1
6,84,1
8,40,1
8,93,1
6,24,1
8,85,1
8,224,1
8,325,1
8,204,1
9,305,1
10,128,1
8,146,1
5,128,1
8,111,1
8,134,1
10,259,1
10,918,1
8,291,1
7,44,1
8,750,1
10,421,1
7,140,1
10,1293,1
8,144,1
6,81,1
8,182,1
8,124,1
10,304,1
8,112,1
8,236,1
10,881,1
101,7780,5
9,813,1
7,42,1
10,1974,1
8,725,1
8,511,1
7,77,1
9,1852,1
2,984,2
5,14,1
5,8,1
25,6796,1
9,1303,1
9,1120,1
5,9,1
9,2731,1
9,1530,1
10,1742,1
24,10359,1
7,653,1
8,3066,1
7,186,1
9,1431,1
9,2297,1
25,10437,1
8,769,1
9,1141,1
24,10409,1
9,1205,1
9,1058,1
9,2847,1
9,1204,1
7,988,1
7,1110,1
7,391,1
9,746,1
8,915,1
1,89,1
1,36,2
13,448,1
8,481,1
9,831,1
9,621,1
9,1655,1
8,1380,1
8,1118,1
10,554,1
7,256,1
9,1425,1
8,1506,1
3,685,2
25,6967,1
9,1202,1
2,27,1
7,252,1
9,1881,1
9,1503,1
8,721,1
25,1722,1
24,4410,1
8,404,1
9,770,1
2,654,2
7,84,1
9,935,1
6,77,1
9,3670,1
6,74,1
7,85,1
1,177,1
10,2846,1
9,1745,1
8,1198,1
2,34,2
8,740,1
6,453,1
7,929,1
8,1111,1
2,85,1
11,283,1
1,25,4
1,15,2
14,143,1
58,60,4
11,800,1
10,646,1
11,1584,1
3,9,1
1,7,1
13,35,1
13,430,1
12,375,1
168,23457,3
10,169,1
14,3424,1
14,800,1
11,1071,1
24,3085,1
187,25400,3
10,566,1
9,133,1
14,3050,1
10,139,1
14,2097,1
13,2682,1
9,153,1
8,383,1
14,3315,1
14,2962,1
10,156,1
