@relation page-blocks

@attribute Lenght numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
213,16.385,1
37,4.625,1
80,8,1
17,1.889,1
31,3.875,1
261,21.75,1
37,4.111,1
337,21.063,1
162,23.143,1
46,5.111,1
15,3,1
51,6.375,1
71,6.455,1
94,15.667,1
43,4.778,1
152,13.818,1
17,2.429,1
121,12.1,1
21,3,1
19,9.5,1
162,16.2,1
14,2,1
81,9,1
9,0.9,1
33,3.667,1
107,21.4,1
120,12,1
49,7,1
14,2,1
12,1.333,1
14,2,1
69,8.625,1
12,0.632,1
36,4.5,1
163,18.111,1
180,20,1
18,2.571,1
471,19.625,1
77,9.625,1
71,5.917,1
209,26.125,1
319,22.786,1
36,5.143,1
77,77,1
23,2.3,1
82,10.25,1
43,8.6,1
13,2.6,1
6,1.5,1
11,1.571,1
83,10.375,1
78,8.667,1
90,15,1
19,2.375,1
408,31.385,1
135,10.385,1
38,3.8,1
17,2.429,1
72,12,1
222,24.667,1
27,3.857,1
96,13.714,1
8,1.6,1
21,2.1,1
16,1.778,1
45,5.625,1
7,1,1
4,0.5,1
97,13.857,1
95,15.833,1
42,3.818,1
172,19.111,1
25,2.273,1
92,10.222,1
9,1.286,1
130,14.444,1
41,5.125,1
152,15.2,1
14,2,1
2,0.333,1
5,0.556,1
102,11.333,1
126,12.6,1
100,10,1
35,5,1
90,9,1
441,33.923,1
2,0.286,1
17,4.25,1
265,18.929,1
147,21,1
175,25,1
148,21.143,1
314,3.829,1
309,12.875,1
21,4.2,1
27,3.375,1
87,12.429,1
176,17.6,1
13,0.619,1
18,2.571,1
69,7.667,1
20,2.222,1
8,1.143,1
116,10.545,1
9,1.286,1
159,15.9,1
52,4.727,1
9,0.9,1
25,2.5,1
20,2.222,1
275,30.556,1
249,27.667,1
57,9.5,1
14,14,1
40,5,1
14,2,1
27,3.857,1
108,12,1
39,4.875,1
20,0.87,1
508,56.444,1
65,7.222,1
37,4.111,1
535,59.444,1
54,7.714,1
14,1.75,1
245,22.273,1
6,0.857,1
36,3.273,1
9,1.286,1
41,5.857,1
191,27.286,1
10,1.25,1
13,1.857,1
10,1.667,1
92,5.75,1
38,5.429,1
47,4.7,1
112,7,1
126,12.6,1
25,3.125,1
19,2.714,1
498,38.308,1
34,4.25,1
39,7.8,1
23,3.286,1
47,7.833,1
53,6.625,1
31,3.1,1
13,2.167,1
6,1,1
8,1.333,1
227,22.7,1
22,2,1
10,1.111,1
22,2.444,1
16,2.667,1
8,0.667,1
42,4.667,1
8,0.727,1
34,3.4,1
65,5.909,1
54,7.714,1
333,37,1
29,4.143,1
92,10.222,1
16,3.2,1
420,30,1
85,14.167,1
75,9.375,1
18,2,1
36,4.5,1
59,7.375,1
161,17.889,1
22,2.75,1
27,3,1
48,6,1
261,26.1,1
213,23.667,1
41,5.125,1
48,5.333,1
56,6.222,1
32,3.556,1
24,4,1
36,4,1
40,3.333,1
30,4.286,1
10,1.25,1
272,30.222,1
17,2.429,1
13,1.3,1
97,16.167,1
14,2.8,1
7,1.167,1
19,1.9,1
26,2.889,1
192,24,1
535,59.444,1
13,2.167,1
20,5,1
201,10.579,1
285,28.5,1
92,4,1
184,30.667,1
8,1.333,1
294,11.76,1
227,14.188,1
178,7.417,1
13,1.182,1
8,1.143,1
121,8.067,1
40,4.444,1
26,2.364,1
407,29.071,1
218,31.143,1
85,7.083,1
4,0.667,1
8,0.727,1
88,88,1
19,9.5,1
84,7,1
16,2,1
21,3,1
80,8.889,1
12,1.5,1
53,5.3,1
294,11.308,1
6,0.857,1
110,6.471,1
86,10.75,1
96,16,1
18,1.8,1
27,3.375,1
22,22,1
144,14.4,1
152,16.889,1
202,22.444,1
343,49,1
91,7.583,1
12,1.5,1
22,1.294,1
35,3.889,1
31,3.1,1
8,1.6,1
101,10.1,1
89,89,1
216,27,1
106,6.625,1
16,1.6,1
243,15.188,1
13,1.625,1
14,1.75,1
50,8.333,1
62,4.429,1
24,2.182,1
11,2.2,1
74,7.4,1
471,18.84,1
301,21.5,1
25,2.778,1
120,5,1
35,3.889,1
34,4.25,1
83,9.222,1
58,7.25,1
100,10,1
33,6.6,1
341,21.313,1
141,17.625,1
110,13.75,1
19,1.727,1
58,5.8,1
43,7.167,1
81,13.5,1
11,1.571,1
8,1,1
43,3.583,1
262,29.111,1
82,9.111,1
63,7.875,1
19,2.111,1
5,0.625,1
223,31.857,1
54,3.6,1
7,0.636,1
21,3,1
83,10.375,1
28,3.5,1
34,3.4,1
87,3.783,1
4,0.571,1
518,57.556,1
148,16.444,1
21,2.333,1
27,27,1
37,5.286,1
44,2.75,1
14,2,1
12,1.2,1
51,7.286,1
356,23.733,1
13,1.857,1
11,1.833,1
46,4.6,1
32,2.909,1
8,1,1
26,3.714,1
19,2.375,1
7,1,1
16,2,1
45,7.5,1
175,14.583,1
78,9.75,1
18,1.8,1
55,5.5,1
508,56.444,1
46,5.111,1
131,13.1,1
27,3.375,1
14,2,1
92,10.222,1
535,59.444,1
17,1.889,1
150,16.667,1
23,2.875,1
98,10.889,1
28,4,1
42,5.25,1
15,1.5,1
26,3.714,1
48,5.333,1
280,11.667,1
26,3.714,1
42,4.667,1
59,7.375,1
36,3.6,1
83,7.545,1
8,2,1
35,4.375,1
17,2.833,1
16,2.286,1
6,0.667,1
303,30.3,1
272,30.222,1
29,4.143,1
61,6.1,1
30,3,1
22,2.75,1
27,3.375,1
6,0.857,1
6,1.2,1
33,3.667,1
112,14,1
84,6,1
11,1.1,1
165,15,1
12,1.2,1
127,11.545,1
21,2.333,1
53,5.889,1
205,18.636,1
154,14,1
16,2,1
367,22.938,1
27,4.5,1
20,2,1
131,16.375,1
8,1,1
202,25.25,1
67,6.091,1
83,10.375,1
36,6,1
19,1.9,1
417,29.786,1
348,26.769,1
83,8.3,1
40,5,1
187,23.375,1
4,0.571,1
35,7,1
12,1.091,1
22,3.143,1
16,2,1
29,3.625,1
3,0.375,1
23,4.6,1
82,9.111,1
20,2.222,1
18,2.571,1
268,29.778,1
8,1.143,1
155,15.5,1
38,3.8,1
84,10.5,1
20,2,1
272,24.727,1
280,28,1
94,18.8,1
36,4,1
261,23.727,1
59,8.429,1
136,10.462,1
69,8.625,1
23,4.6,1
123,13.667,1
3,0.375,1
49,49,1
27,3.375,1
68,11.333,1
271,27.1,1
9,1.286,1
19,2.714,1
37,4.111,1
16,2,1
4,0.667,1
190,23.75,1
104,52,1
44,4.889,1
36,4,1
14,1.75,1
190,27.143,1
506,50.6,1
118,13.111,1
34,3.4,1
145,18.125,1
37,5.286,1
14,2,1
227,17.462,1
104,8,1
18,2,1
49,5.444,1
18,2,1
119,17,1
107,11.889,1
108,12,1
5,0.714,1
4,1.333,1
8,0.667,1
21,2.625,1
39,3.9,1
41,4.1,1
109,12.111,1
18,1.286,1
15,1.875,1
24,3,1
414,31.846,1
38,5.429,1
464,51.556,1
535,59.444,1
242,30.25,1
4,0.571,1
337,30.636,1
45,4.5,1
2,0.5,1
10,1.25,1
19,2.111,1
20,2.5,1
13,1.625,1
28,2.333,1
7,1,1
181,20.111,1
22,2,1
170,21.25,1
55,5.5,1
6,1.5,1
