@relation page-blocks

@attribute Height numeric
@attribute Lenght numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
11,141,199,1
10,154,192,1
1,42,15,1
6,39,32,1
21,13,20,1
7,72,110,1
5,17,21,1
9,211,282,1
1,32,7,1
7,46,12,1
12,232,375,1
8,10,16,1
11,22,16,1
14,12,12,1
8,71,100,1
7,40,51,1
8,14,18,1
7,70,93,1
20,32,13,1
9,98,103,1
9,84,103,1
7,315,110,1
12,122,166,1
9,21,34,1
8,214,248,1
12,117,193,1
8,26,43,1
8,271,364,1
8,16,20,1
8,50,84,1
7,74,91,1
8,103,100,1
8,190,223,1
5,12,6,1
8,107,155,1
6,187,168,1
9,52,69,1
8,18,32,1
10,292,397,1
1,40,7,1
8,13,23,1
10,15,26,1
8,346,304,1
8,19,27,1
7,109,112,1
8,53,80,1
10,37,66,1
6,40,42,1
8,33,52,1
10,14,18,1
22,67,112,1
10,242,303,1
10,534,548,1
9,28,43,1
8,23,22,1
8,28,22,1
7,243,230,1
7,13,10,1
7,31,51,1
8,17,36,1
7,116,116,1
7,7,9,1
7,20,27,1
8,34,52,1
9,66,101,1
24,84,110,1
6,4,4,1
9,44,55,1
10,28,45,1
7,11,19,1
16,359,399,1
6,28,26,1
5,43,61,1
24,177,272,1
25,178,276,1
7,52,81,1
10,98,160,1
8,16,22,1
14,185,289,1
10,261,390,1
8,64,79,1
10,97,165,1
9,107,138,1
6,100,123,1
13,159,177,1
16,367,427,1
6,8,9,1
7,62,81,1
4,137,29,1
9,166,195,1
10,23,30,1
7,14,20,1
8,32,38,1
5,94,77,1
13,37,44,1
7,41,66,1
8,22,36,1
22,71,71,1
4,8,6,1
10,34,59,1
8,69,98,1
6,10,14,1
9,250,320,1
9,509,328,1
7,22,15,1
11,101,173,1
7,18,29,1
8,132,181,1
10,7,1,1
8,9,17,1
8,60,87,1
9,283,389,1
8,15,23,1
9,36,54,1
7,9,14,1
5,63,45,1
7,11,15,1
9,64,110,1
10,40,56,1
11,85,144,1
16,106,218,1
7,26,36,1
11,21,24,1
11,40,66,1
1,7,1,1
10,21,33,1
8,13,19,1
9,102,132,1
7,11,18,1
10,99,166,1
8,79,112,1
10,98,159,1
6,16,8,1
3,3,1,1
10,19,16,1
8,68,97,1
14,372,395,1
9,21,24,1
7,14,16,1
10,32,51,1
5,12,6,1
10,35,51,1
10,58,83,1
37,101,432,1
7,35,49,1
8,42,74,1
6,5,4,1
9,12,29,1
5,19,20,1
8,4,6,1
8,74,114,1
8,47,64,1
7,35,52,1
6,18,22,1
11,9,10,1
10,108,161,1
7,38,58,1
8,210,208,1
7,114,114,1
8,43,69,1
7,14,23,1
8,184,213,1
7,11,20,1
10,50,86,1
7,11,16,1
10,61,82,1
6,8,14,1
8,12,17,1
8,162,149,1
1,200,25,1
6,15,12,1
25,203,279,1
10,53,88,1
10,18,37,1
9,83,96,1
7,21,22,1
7,28,39,1
9,169,212,1
9,46,55,1
9,175,221,1
8,56,91,1
4,95,78,1
9,64,95,1
28,32,64,1
6,11,16,1
12,410,608,1
9,148,167,1
7,19,12,1
14,234,299,1
5,7,11,1
8,16,25,1
7,97,79,1
10,119,190,1
8,8,12,1
9,21,30,1
10,16,16,1
8,98,156,1
8,26,38,1
7,54,69,1
8,14,20,1
10,11,12,1
13,77,85,1
11,8,10,1
11,85,135,1
9,81,94,1
7,12,19,1
13,350,386,1
24,176,267,1
8,23,45,1
24,471,679,1
9,36,51,1
7,15,11,1
7,23,33,1
9,30,44,1
8,10,16,1
7,193,203,1
10,85,124,1
8,16,25,1
7,7,9,1
8,82,104,1
7,16,22,1
7,13,16,1
9,50,83,1
10,54,65,1
8,8,10,1
6,20,32,1
6,12,18,1
5,11,12,1
8,340,355,1
10,65,112,1
9,250,317,1
7,14,13,1
7,8,13,1
10,107,161,1
8,70,112,1
10,69,103,1
9,134,158,1
25,410,1218,1
9,24,40,1
12,7,9,1
7,13,8,1
10,39,55,1
7,7,11,1
9,47,65,1
8,59,63,1
16,24,35,1
8,40,60,1
11,8,6,1
9,152,187,1
9,102,135,1
38,127,657,1
7,18,28,1
12,8,1,1
8,8,12,1
8,15,25,1
11,272,348,1
8,29,41,1
18,168,241,1
7,30,48,1
11,261,366,1
10,28,49,1
9,116,190,1
9,121,176,1
9,144,120,1
8,14,6,1
7,13,18,1
9,82,133,1
9,195,144,1
8,5,6,1
9,82,125,1
9,45,74,1
10,18,30,1
5,28,31,1
13,58,79,1
9,37,55,1
5,13,16,1
10,77,137,1
10,73,108,1
10,18,10,1
26,294,456,1
8,12,20,1
7,28,36,1
8,19,32,1
9,163,137,1
11,33,54,1
12,69,107,1
5,27,29,1
6,69,83,1
7,36,56,1
10,41,59,1
12,175,198,1
11,44,79,1
9,53,84,1
7,16,16,1
8,21,26,1
8,16,23,1
16,424,488,1
11,11,13,1
9,58,79,1
14,319,364,1
5,33,43,1
5,56,26,1
6,146,156,1
13,38,41,1
7,24,31,1
14,435,472,1
9,91,125,1
10,25,47,1
9,83,112,1
9,13,17,1
7,7,6,1
6,96,73,1
9,108,125,1
7,18,24,1
22,70,70,1
11,262,386,1
5,7,6,1
7,18,12,1
8,12,25,1
25,153,470,1
8,14,19,1
7,17,23,1
7,51,77,1
6,17,27,1
11,8,7,1
12,84,149,1
10,21,36,1
7,115,128,1
8,96,120,1
10,17,15,1
6,95,73,1
10,63,84,1
7,70,96,1
7,125,168,1
9,20,35,1
14,348,526,1
6,18,21,1
9,75,113,1
7,9,9,1
9,12,26,1
5,99,78,1
8,123,147,1
9,511,751,1
9,70,98,1
5,14,21,1
9,201,216,1
10,38,55,1
11,13,27,1
11,31,53,1
6,13,17,1
6,326,323,1
10,12,22,1
7,20,24,1
7,15,23,1
10,121,186,1
8,523,209,1
8,30,42,1
15,11,8,1
8,101,139,1
9,120,147,1
8,43,61,1
11,9,3,1
7,215,246,1
7,37,43,1
8,14,19,1
7,18,7,1
10,41,66,1
5,39,48,1
10,35,66,1
6,76,108,1
10,60,91,1
14,301,458,1
8,12,19,1
8,14,18,1
11,123,113,1
6,13,8,1
10,41,70,1
13,115,179,1
9,52,73,1
12,284,386,1
7,168,83,1
10,67,94,1
10,14,23,1
9,49,86,1
8,37,77,1
7,29,52,1
7,136,142,1
9,9,10,1
7,40,60,1
14,421,466,1
9,37,61,1
9,123,143,1
12,83,144,1
7,4,1,1
7,175,188,1
6,24,31,1
7,9,12,1
7,41,62,1
7,4,5,1
10,94,151,1
7,31,39,1
10,34,54,1
9,137,171,1
10,83,121,1
1,89,16,1
9,64,44,1
7,156,218,1
10,181,273,1
1,12,2,1
7,17,26,1
13,116,183,1
10,18,14,1
9,5,6,1
11,511,671,1
6,82,39,1
8,41,53,1
5,43,55,1
11,11,11,1
10,173,102,1
14,11,10,1
8,25,42,1
6,30,46,1
8,14,22,1
5,53,46,1
6,9,13,1
6,217,214,1
9,17,25,1
5,10,12,1
9,20,32,1
9,41,61,1
7,19,32,1
11,288,386,1
8,148,180,1
7,17,18,1
8,135,54,1
9,150,183,1
