@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
6,2.5,1
5,5,1
6,4.25,1
13,10.86,1
11,6.13,1
10,3.12,1
10,1.79,1
11,1.53,1
12,2.02,1
2,31,2
11,3.1,1
11,2.76,1
11,1.88,1
11,1.75,1
8,1.76,1
2,26,2
7,2.7,1
9,2.63,1
9,2,1
9,1.81,1
7,2.47,1
5,4.38,1
3,2.25,1
9,2.38,1
10,1.5,1
9,1.68,1
4,1.83,1
10,2.82,1
9,2.01,1
2,17.82,2
48,4.13,5
304,3.91,5
9,2.18,1
6,2,1
5,2.21,1
19,16.88,2
10,3.07,1
1,14,2
22,1.93,1
10,1.83,1
37,2.44,1
10,2.11,1
1,10.5,2
8,1.82,1
9,1.51,1
10,2.25,1
10,2.25,1
10,2.02,1
7,2.14,1
7,1.79,1
11,10.67,1
11,36,1
9,2.97,1
9,2.1,1
9,1.57,1
9,2.01,1
11,2.08,1
8,1.61,1
12,1.77,1
12,1.63,1
11,1.98,1
8,7,1
9,2.65,1
8,3,1
11,4.29,1
10,2.17,1
9,1.7,1
10,1.92,1
12,2.15,1
9,2.04,1
11,2.09,1
9,2.23,1
10,2.95,1
9,1.95,1
9,3.31,1
9,2.13,1
9,2.86,1
9,2.3,1
11,1.97,1
9,1.79,1
8,6,1
9,2.1,1
8,1.78,1
10,2.94,1
14,2.37,1
9,2.78,1
261,2.4,4
8,3,1
8,2.75,1
10,9.17,1
10,9.4,1
8,3.54,1
12,1.79,1
9,1.76,1
11,2.19,1
8,2.11,1
10,1.7,1
10,2.94,1
36,4.84,5
13,2.3,1
11,11,4
9,2.38,1
7,2.58,1
3,8.43,2
6,1.69,1
8,2.06,1
5,1.5,1
13,2.31,1
11,2.77,1
6,1.76,1
7,2.13,1
22,10.13,1
12,2.51,1
11,1.98,1
22,11.25,1
8,2.31,1
11,3.1,1
6,1.72,1
9,5.1,1
8,2.08,1
11,2.01,1
12,2.27,1
8,2.24,1
9,2.37,1
8,1.55,1
7,1.72,1
8,1.91,1
9,1.71,1
8,1.98,1
11,2.57,1
2,4,2
9,2.15,1
11,2.56,1
6,2.03,1
18,3.24,1
10,2.03,1
13,3.5,5
8,1.82,1
8,1.38,1
7,9,1
7,1.38,1
100,1.77,5
7,5.78,5
11,1.36,1
10,1.62,1
8,1.4,1
11,1.35,1
10,1.25,1
8,1.35,1
10,1.37,1
7,1.84,1
7,1.56,1
7,1.39,1
5,1.92,1
7,1.65,1
10,2.2,1
6,1.6,1
10,2.7,1
10,1.62,1
9,1.44,1
9,1.67,1
9,1.31,1
5,1.75,1
7,1.42,1
7,1.54,1
9,1.43,1
7,1.39,1
7,1.62,1
6,1.5,1
7,1.39,1
8,1.29,1
7,1.41,1
7,1.31,1
7,1.17,1
7,1.71,1
7,1.58,1
5,1.67,1
9,1.34,1
9,1.31,1
8,1.36,1
7,1.66,1
7,1.65,1
5,1.45,1
7,1.77,1
7,1.41,1
7,1.35,1
10,1.76,1
7,1.64,1
6,1.5,1
7,1.5,1
7,1.67,1
7,1.74,1
6,1.35,1
7,1.69,1
9,1.92,1
6,1.22,1
7,1.25,1
7,1.75,1
7,1.54,1
7,1.33,1
8,8,1
7,1.31,1
7,1.76,1
7,1.57,1
6,1.27,1
9,1.67,1
7,1.45,1
6,1.67,1
7,1.42,1
5,1.42,1
5,1.63,1
9,1.58,1
6,1.48,1
5,3,1
9,1.42,1
7,1.55,1
7,1.56,1
7,1.63,1
9,1.38,1
7,1.4,1
9,1.38,1
6,1.8,1
8,1.44,1
9,1.36,1
7,1.94,1
9,1.55,1
9,1.71,1
6,1.42,1
5,1.43,1
9,2,1
7,1.51,1
9,1.24,1
9,1.48,1
8,2.24,1
10,2.47,1
8,2.75,1
16,5,5
8,3,1
8,2.4,1
8,1.76,1
9,2,1
8,2.1,1
10,2.19,1
27,2.57,4
7,8.14,2
9,2.08,1
11,1.81,1
9,2.2,1
10,2.12,1
6,2.45,1
9,2.29,1
6,4,5
9,1.88,1
6,2.4,1
11,2.35,1
11,2.1,1
8,1.84,1
10,2.33,1
8,2.19,1
8,2.05,1
7,2.25,1
9,2.32,1
9,2.29,1
11,2.06,1
11,2.01,1
8,1.91,1
10,2.2,1
10,2.3,1
11,1.95,1
11,1.83,1
10,1.98,1
10,1.87,1
10,1.85,1
8,1.53,1
8,1.65,1
8,1.76,1
8,1.75,1
10,1.89,1
8,1.93,1
6,31,2
8,2.02,1
6,2.19,1
11,1.94,1
10,1.83,1
10,1.94,1
10,1.9,1
7,1.87,1
8,3.75,1
8,1.64,1
5,2.56,1
10,2.09,1
10,1.85,1
10,1.66,1
8,1.86,1
8,1.56,1
10,2.1,1
8,1.98,1
8,1.9,1
10,1.78,1
8,2.38,1
6,2.36,1
8,1.64,1
10,2.08,1
7,2.14,1
8,2.33,1
5,2.33,1
8,3,1
8,1.93,1
8,1.87,1
8,2,1
8,2.17,1
9,2.18,1
8,1.86,1
8,1.74,1
10,1.89,1
7,2.72,1
10,1.75,1
8,1.75,1
9,1.73,1
11,1.91,1
8,1.65,1
9,1.83,1
8,1.81,1
6,1.75,1
8,1.83,1
7,2.04,1
10,2,1
10,1.98,1
7,2.22,1
8,1.68,1
7,2.5,1
7,1.86,1
8,1.93,1
8,1.79,1
7,4,1
7,1.96,1
6,1.41,1
9,1.34,1
7,1.47,1
9,1.29,1
6,2.22,1
9,1.24,1
1,1.06,1
6,1.62,1
9,1.24,1
9,1.22,1
9,1.25,1
30,1.85,5
8,1.66,1
9,1.33,1
9,1.39,1
14,3.49,1
8,2.58,1
8,1.31,1
9,1.31,1
8,1.35,1
10,1.27,1
8,1.81,1
9,1.67,1
8,2.52,1
9,1.29,1
25,7.35,1
28,7.05,3
8,1.32,1
8,2.42,1
1,214,2
9,1.24,1
7,1.38,1
7,1.28,1
10,1.18,1
9,2.19,1
2,29.78,2
10,1.36,1
10,1.4,1
10,1.43,1
13,1.44,1
8,2,1
8,2.27,1
8,1.45,1
13,3.81,1
24,8.02,1
9,2.62,1
9,2.95,1
25,8.06,1
9,2.99,1
9,1.28,1
9,1.45,1
9,1.33,1
9,1.39,1
2,62.44,2
9,1.26,1
8,1.27,1
8,1.48,1
8,2.6,1
9,1.28,1
7,1.14,1
9,1.3,1
6,1.38,1
1,1.05,1
54,54,4
10,6.32,1
10,5.93,1
1,11,2
10,7.62,1
11,2.94,1
13,2.15,1
6,3.38,1
1,60.83,2
10,5.57,1
10,3.93,1
11,2.83,1
7,2.51,1
1,3.67,2
8,2.45,1
24,15.91,1
7,7,2
132,20.66,3
1,2,1
10,2.64,1
1,1.71,2
24,16.66,1
10,9.82,1
15,4.5,1
54,6.22,5
9,3.21,1
10,10,4
17,14.53,1
17,12.82,1
9,6.4,1
1,2.97,2
8,3.01,1
10,2.53,1
10,2.75,1
14,4.51,1
9,7.57,1
14,4.54,1
6,3.36,1
9,9,4
1,1.88,2
11,4.65,1
14,4.92,1
24,15.8,1
9,2.6,1
24,17.04,1
10,8.92,1
17,5.22,1
12,2.72,1
16,5.1,1
7,3.56,1
10,2.47,1
9,3.33,1
11,3.53,1
12,6.4,1
24,17.51,1
16,5.19,1
16,5.75,1
3,136.6,1
186,22.29,3
9,2.44,1
23,16.64,1
11,2.65,1
9,2.53,1
1,2.33,2
15,5.84,1
12,5.3,1
17,5.43,1
11,2.95,1
9,1.76,1
8,8.25,1
7,1.63,1
8,1.46,1
8,1.64,1
8,1.64,1
4,1.78,1
17,4.68,1
7,1.23,1
8,1.3,1
6,1.67,4
4,1.58,1
6,1.71,1
1,3.5,1
10,1.38,1
8,1.5,1
10,1.67,1
6,2.25,1
6,2.2,1
6,1.82,1
10,1.32,1
4,1.82,1
32,32,4
9,2.74,1
