@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,8,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
1.2,0.333,10,1
10,0.675,27,2
1.333,0.444,48,1
11.875,0.303,230,1
1.167,0.357,60,1
37.667,0.357,121,2
0.031,0.48,141,4
5.909,0.39,279,1
4.4,0.393,173,1
27,0.593,16,1
9.5,0.237,9,1
1.8,0.267,12,1
2.875,0.288,53,1
5.75,0.391,144,1
0.105,0.816,31,4
5.5,0.426,150,1
5,0.403,129,1
5.625,0.469,169,1
5.125,0.335,110,1
56,0.496,111,2
5.375,0.349,120,1
0.8,0.5,40,1
2.5,0.525,84,1
8.3,0.295,245,1
6.083,0.257,225,1
9.111,0.247,182,1
36,0.722,26,2
9.667,0.246,343,1
10.333,0.323,270,1
1.286,0.333,21,1
3.8,0.434,165,1
4,0.552,179,1
6.091,0.331,244,1
9.111,0.389,287,1
7.818,0.283,268,1
0.667,0.5,27,1
9.8,0.463,454,1
9.091,0.456,502,1
4.778,0.509,197,1
5.222,0.31,131,1
55,0.564,31,2
32,0.531,68,2
4,0.336,86,1
1.917,0.417,115,1
5.222,0.371,157,1
1.8,0.511,92,1
17,0.412,7,2
11.786,0.057,527,2
2.189,0.052,5066,5
0.667,0.667,36,1
4.667,0.429,162,1
18,0.944,17,2
5.111,0.365,151,1
7.111,0.491,283,1
11.111,0.463,417,1
21.429,0.263,1106,1
5.625,0.222,80,1
4.429,0.221,48,1
8.286,0.212,86,1
1.9,0.332,63,1
0.727,0.545,48,1
2.556,0.324,67,1
9,0.332,242,1
9.75,0.231,324,1
4.6,0.226,26,1
8,0.313,40,1
3.2,0.313,25,1
6.091,0.269,198,1
45,0.933,42,2
25,0.46,46,2
11,0.288,257,1
8.333,0.369,249,1
2.25,0.318,103,1
9.222,0.335,250,1
10.545,0.274,350,1
0.375,0.458,11,1
7.375,0.206,97,1
2.333,0.365,69,1
10.375,0.398,264,1
0.75,0.542,26,1
4,0.531,172,1
1,0.234,15,1
0.095,0.738,31,2
8.875,0.31,176,1
12.111,0.243,238,1
8,0.301,154,1
14.778,0.236,283,1
16.667,0.342,205,1
16.692,0.361,1019,1
0.071,1,14,4
14.833,0.303,162,1
6.455,0.37,289,1
16.4,0.272,2792,1
3.4,0.426,145,1
11.615,0.302,593,1
5.5,0.402,318,1
0.143,1,7,4
5.75,0.266,98,1
10.333,0.278,233,1
13.222,0.422,452,1
30,0.511,138,1
19.111,0.353,546,1
16.25,0.36,374,1
31.462,0.312,1657,1
11.833,0.337,575,1
15,0.394,213,1
8.556,0.486,337,1
2.308,0.356,139,1
16.833,0.411,249,1
4.848,0.219,1154,1
4.462,0.336,253,1
1.444,0.564,66,1
3.083,0.41,182,1
23.2,0.376,218,1
6.571,0.298,96,1
13.5,0.293,253,1
10,0.36,90,1
6.085,0.183,2459,5
