@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R2,4,11'

@attribute Lenght numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
6,1.2,1
20,10,2
12,1.333,1
95,11.875,1
14,1.167,1
113,37.667,2
3,0.031,4
65,5.909,1
44,4.4,1
27,27,1
19,9.5,1
9,1.8,1
23,2.875,1
46,5.75,1
2,0.105,4
44,5.5,1
40,5,1
45,5.625,1
41,5.125,1
112,56,2
43,5.375,1
8,0.8,1
20,2.5,1
83,8.3,1
73,6.083,1
82,9.111,1
36,36,2
116,9.667,1
93,10.333,1
9,1.286,1
38,3.8,1
36,4,1
67,6.091,1
82,9.111,1
86,7.818,1
6,0.667,1
98,9.8,1
100,9.091,1
43,4.778,1
47,5.222,1
55,55,2
64,32,2
32,4,1
23,1.917,1
47,5.222,1
18,1.8,1
17,17,2
330,11.786,2
464,2.189,5
6,0.667,1
42,4.667,1
18,18,2
46,5.111,1
64,7.111,1
100,11.111,1
300,21.429,1
45,5.625,1
31,4.429,1
58,8.286,1
19,1.9,1
8,0.727,1
23,2.556,1
81,9,1
117,9.75,1
23,4.6,1
32,8,1
16,3.2,1
67,6.091,1
45,45,2
50,25,2
99,11,1
75,8.333,1
27,2.25,1
83,9.222,1
116,10.545,1
3,0.375,1
59,7.375,1
21,2.333,1
83,10.375,1
6,0.75,1
36,4,1
8,1,1
2,0.095,2
71,8.875,1
109,12.111,1
64,8,1
133,14.778,1
100,16.667,1
217,16.692,1
1,0.071,4
89,14.833,1
71,6.455,1
410,16.4,1
34,3.4,1
151,11.615,1
66,5.5,1
1,0.143,4
46,5.75,1
93,10.333,1
119,13.222,1
90,30,1
172,19.111,1
130,16.25,1
409,31.462,1
142,11.833,1
90,15,1
77,8.556,1
30,2.308,1
101,16.833,1
160,4.848,1
58,4.462,1
13,1.444,1
37,3.083,1
116,23.2,1
46,6.571,1
108,13.5,1
50,10,1
286,6.085,5
107,13.375,1
337,30.636,1
61,7.625,1
410,10.789,1
17,2.429,1
70,8.75,1
90,8.182,1
51,8.5,1
413,37.545,1
60,3.529,5
50,5,1
186,13.286,1
3,1,1
12,1.714,1
26,3.714,1
5,0.625,5
271,30.111,1
198,22,1
65,9.286,1
17,2.833,1
271,24.636,1
1,0.125,5
10,1.25,1
9,2.25,1
100,10,1
5,0.714,1
245,30.625,1
60,6,1
17,2.429,1
46,5.75,1
263,32.875,1
10,10,1
9,1.286,1
6,1.5,1
28,4.667,1
29,2.071,1
11,1.375,1
13,2.167,1
41,5.857,1
11,1.833,1
12,3,1
23,2.556,1
13,2.6,1
27,27,2
17,1.889,1
16,2.286,1
53,5.3,1
7,1.167,1
18,2.571,1
46,5.111,1
27,3.375,1
4,0.571,1
33,4.714,1
8,1.143,1
27,3.857,1
47,5.875,1
22,2.444,1
5,0.556,1
81,10.125,1
15,3,1
41,5.857,1
49,4.9,1
5,0.714,1
11,1.833,1
56,6.222,1
5,1,1
41,4.556,1
14,2,1
9,1.286,1
48,6.857,1
21,3,1
54,6,1
39,4.333,1
7,1.167,1
14,2,1
39,5.571,1
21,3,1
11,1.571,1
16,2.286,1
21,3,1
8,1.143,1
11,1.571,1
30,3.333,1
11,2.2,1
21,3,1
38,5.429,1
14,2,1
14,2.333,1
24,4,1
13,2.167,1
14,2,1
15,2.5,1
7,1.167,1
40,5,1
26,2.889,1
16,2.286,1
17,1.889,1
207,29.571,1
28,3.111,1
38,6.333,1
39,4.333,1
45,6.429,1
59,8.429,1
103,11.444,1
13,2.167,1
18,2,1
10,1.429,1
27,5.4,1
52,7.429,1
20,2.222,1
11,1.571,1
32,6.4,1
11,1.571,1
18,2.571,1
18,2,1
17,2.429,1
35,5,1
11,2.2,1
40,5.714,1
41,5.857,1
44,4.889,1
8,1.143,1
35,3.889,1
12,1.2,5
10,1.25,1
271,22.583,1
21,1.313,5
16,2,1
48,0.906,5
23,2.556,1
7,1.4,2
10,1.25,1
4,0.444,5
4,0.333,5
12,1.5,1
35,3.5,1
36,4.5,1
56,6.222,1
12,1.091,1
41,4.1,1
56,7,1
134,12.182,1
19,19,2
8,1,1
23,3.286,1
12,1.5,1
272,30.222,1
14,1.75,1
25,3.125,1
8,1,1
44,4,1
7,0.875,1
14,1.75,1
31,2.818,1
31,4.429,1
82,10.25,1
18,2.25,1
4,0.8,1
240,21.818,1
20,2.5,1
16,1.778,1
14,2.333,1
21,2.625,1
54,4.909,1
12,1.5,1
34,3.778,1
15,2.143,1
36,3.6,1
22,2.75,1
233,21.182,1
23,2.3,1
12,1.5,1
28,3.5,1
44,4.4,1
43,5.375,1
28,3.111,1
14,2,1
39,1.95,5
41,4.1,1
19,2.714,1
2,0.286,1
3,1,1
3,0.75,1
9,0.9,1
10,1.429,1
13,2.6,1
16,2,1
35,5,1
37,6.167,1
22,2.75,1
34,4.25,1
19,2.375,1
7,1,1
53,5.889,1
5,0.625,1
23,2.3,1
13,1.625,1
12,1.5,1
33,4.125,1
262,26.2,1
37,4.625,1
30,3,1
26,2.6,1
58,5.8,1
251,25.1,1
261,26.1,1
261,23.727,1
23,2.875,1
4,0.5,1
13,1.857,1
18,2.571,1
19,2.714,1
26,3.25,1
