@relation page-blocks

@attribute Height numeric
@attribute Lenght numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
9,21,2.88,69,1
9,14,2.06,35,1
8,27,1.45,45,1
12,14,2.31,60,1
23,137,16.64,2695,1
7,17,1.5,27,1
7,9,2.22,20,1
7,13,1.57,33,1
8,35,1.96,110,1
8,36,2.13,134,1
7,157,2.77,482,1
13,83,3.5,403,1
8,9,2,28,1
3,3,7,7,1
9,250,2.18,686,1
9,180,1.39,259,1
6,96,2.44,193,1
9,488,1.28,326,1
6,11,1.53,26,1
14,340,4.6,1636,1
5,15,1.4,7,1
7,4,5,10,1
9,32,1.72,119,1
9,272,1.93,659,1
10,511,1.3,721,1
5,36,1.52,38,1
11,75,2.08,223,1
7,14,1.11,21,1
8,12,1.65,38,1
11,85,1.73,234,1
9,61,1.6,117,1
9,76,1.84,210,1
16,344,5.2,2121,1
10,121,2.47,324,1
9,16,2.14,30,1
8,20,2.35,73,1
10,511,1.36,721,1
8,12,2.1,42,1
9,271,1.93,692,1
8,30,1.23,54,1
8,10,1.73,19,1
11,511,1.42,956,1
16,112,2.72,546,1
11,63,3.08,286,1
10,87,2.27,299,1
9,21,1.9,57,1
7,27,1.81,76,1
3,3,7,7,1
10,93,1.48,192,1
14,34,3.09,133,1
7,13,1.33,36,1
9,119,2.34,452,1
9,32,1.7,102,1
5,8,1.55,17,1
7,74,1.12,83,1
7,34,1.55,65,1
7,11,1.59,27,1
9,171,2.87,615,1
11,15,2.19,59,1
6,20,1.29,31,1
12,85,5.4,486,1
9,535,1.21,510,1
10,119,2.46,467,1
10,119,1.59,240,1
12,410,2.47,1595,1
14,420,4.92,2209,1
9,331,1.57,661,1
13,409,2.23,1421,1
5,15,1.67,30,1
8,107,2.12,329,1
7,31,2.15,58,1
6,106,1.14,82,1
8,23,1.94,62,1
8,77,1.47,143,1
9,21,2.3,69,1
19,12,7.67,69,1
8,9,1.69,27,1
10,101,2.95,455,1
7,19,1.5,33,1
9,40,2.07,124,1
9,353,1.45,594,1
9,86,2.13,232,1
9,18,1.67,45,1
11,29,2.22,102,1
7,32,1.46,76,1
6,31,1.4,49,1
7,7,1.42,17,1
8,90,1.54,149,1
10,78,2.52,297,1
1,40,1.07,16,1
10,323,1.38,641,1
10,25,2.05,82,1
6,19,1.58,41,1
6,184,1.54,300,1
9,85,2.32,302,1
8,24,2.23,78,1
9,98,2.06,251,1
9,66,1.42,143,1
11,54,2.19,162,1
16,399,5.34,2357,1
7,41,1.58,98,1
5,23,1.63,26,1
8,38,1.86,39,1
8,117,1.45,188,1
9,46,2.01,151,1
9,38,2.74,129,1
5,5,1.29,9,1
10,165,1.65,426,1
9,17,2.22,60,1
10,121,2.41,448,1
11,147,1.58,416,1
12,91,2.46,307,1
6,33,1.2,49,1
7,13,1.56,28,1
9,55,1.43,124,1
14,417,4.48,2094,1
9,17,2.46,69,1
11,20,8.93,125,1
10,39,2.09,115,1
7,16,3.25,52,1
9,82,2.01,249,1
7,315,1.13,124,1
7,35,2.2,121,1
6,15,1.92,25,1
7,41,1.47,63,1
13,65,2.58,255,1
9,27,1.69,81,1
12,50,2.72,207,1
9,33,2.02,107,1
21,106,1.99,302,1
6,19,1.16,29,1
9,36,2.83,164,1
10,262,1.83,716,1
15,31,3.96,95,1
10,66,1.87,178,1
9,352,1.34,651,1
5,19,5.5,22,1
13,77,2.4,298,1
9,44,1.42,95,1
7,145,1.5,210,1
9,99,2.65,411,1
9,47,2.34,131,1
6,13,1.64,23,1
8,92,1.75,264,1
1,70,1.08,14,1
7,20,2.32,65,1
15,121,5.35,776,1
8,7,2.7,27,1
10,249,2.32,731,1
10,108,2.14,345,1
9,181,2.99,601,1
12,117,1.86,353,1
7,24,1.48,46,1
9,23,1.35,46,1
10,271,1.29,454,1
6,26,1.29,45,1
6,14,1.8,27,1
8,46,1.42,105,1
9,281,1.73,687,1
23,132,20.76,2885,1
7,18,1.39,32,1
8,4,2.17,13,1
8,9,2.3,23,1
8,79,1.8,200,1
8,27,1.29,58,1
14,370,1.64,907,1
10,72,1.81,210,1
11,17,4.29,60,1
23,198,14.93,4210,1
7,8,2.86,20,1
10,58,2.17,174,1
10,123,2.99,445,1
9,33,2.47,106,1
9,13,1.71,36,1
8,59,2.41,152,1
9,32,2.1,86,1
12,67,3.68,324,1
8,21,1.3,39,1
10,33,1.66,113,1
8,28,1.93,58,1
9,121,2.08,351,1
1,249,1.02,43,1
10,145,1.9,403,1
12,80,2.45,311,1
16,356,5.8,2150,1
7,2,12,12,1
8,17,1.67,60,1
10,28,1.68,94,1
11,43,2.74,159,1
5,32,1.47,69,1
11,11,2.24,47,1
4,12,1,7,1
6,13,1.53,23,1
10,37,1.85,120,1
7,20,2.24,65,1
9,132,1.34,199,1
9,17,2.13,51,1
10,36,1.86,95,1
11,94,3.12,393,1
12,118,1.99,377,1
10,183,1.67,488,1
27,106,5.45,747,1
