@relation page-blocks

@attribute Eccen numeric
@attribute P_black numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
14.111,0.213,1.58,243,1
16.727,0.455,4.72,920,1
26.5,0.38,4.85,1975,1
1,0.347,1.89,17,1
2,0.337,1.94,33,1
20.111,0.217,1.66,354,1
6.222,0.21,1.26,106,1
24.938,0.369,5.34,2357,1
1.571,0.403,1.48,31,1
4,0.367,2.47,94,1
2.5,0.394,2.25,63,1
17.182,0.174,1.41,361,1
11.667,0.334,2.19,316,1
19,0.27,2,328,1
9,0.328,2.04,239,1
3.273,0.52,10.04,823,1
1.333,0.426,1.59,46,1
3.75,0.267,4,16,1
11.5,0.359,1.75,264,1
15.833,0.209,1.63,119,1
2.1,0.348,3.17,73,1
1.429,0.329,1.77,23,1
16.167,0.282,1.84,164,1
5.375,0.398,1.69,137,1
4.667,0.347,2.34,131,1
23.818,0.238,1.84,685,1
7.6,0.316,2.07,60,1
1.857,0.286,2.6,26,1
3.286,0.093,1.36,15,1
16.167,0.235,1.71,137,1
0.875,0.518,2.64,29,1
2.625,0.232,1.3,39,1
3.7,0.327,1.83,121,1
3.556,0.413,1.72,119,1
2.4,0.55,2.2,33,1
10.25,0.418,2.51,274,1
6.909,0.254,2.08,212,1
3.375,0.435,2.14,94,1
3.364,0.371,2.01,151,1
2,0.306,1.3,30,1
16.429,0.273,1.72,220,1
3.1,0.281,1.98,87,1
6.154,0.434,5.57,451,1
10,0.436,2.53,436,1
8.6,0.326,1.85,280,1
1.6,0.675,3,27,1
8.889,0.333,2.09,240,1
3.8,0.389,1.32,37,1
11.364,0.432,3.03,594,1
10,0.303,1.72,194,1
6.429,0.254,1.4,80,1
14.412,0.913,12.97,3801,1
0.571,0.286,8,8,1
4.8,0.375,1.45,45,1
1.833,0.621,9.65,164,1
2.857,0.379,1.61,53,1
5.25,0.271,1.54,91,1
24.286,0.259,2.45,1232,1
6.75,0.275,1.37,119,1
1.8,0.311,1.93,56,1
5.857,0.307,1.52,88,1
0.727,0.443,39,39,1
8.444,0.38,2.2,260,1
11.444,0.164,1.22,152,1
1,0.4,5,10,1
1.875,0.267,1.23,32,1
7.12,0.475,7.95,2115,1
11,0.21,1.39,187,1
9,0.288,1.61,127,1
23.667,0.203,1.41,390,1
5.125,0.265,2.35,87,1
7.44,0.478,7.16,2221,1
2.923,0.332,4,164,1
2.556,0.222,1.35,46,1
59.333,0.184,1.34,884,1
3.875,0.351,1.98,87,1
1.75,0.446,2.27,50,1
2,0.624,9.44,151,1
1.6,0.43,21.15,275,1
1.875,0.433,2,52,1
40.6,0.239,1.3,243,1
1.333,0.917,11,11,1
1.5,0.458,2.2,44,1
1.6,0.619,6.19,99,1
5.455,0.236,1.68,1400,1
36.167,0.25,1.52,326,1
51.1,0.134,1.28,684,1
10.889,0.302,2.03,266,1
1.4,0.457,1.45,16,1
5.333,0.286,1.41,55,1
16,0.297,2.25,171,1
1.143,0.25,1.56,14,1
3.889,0.59,3.88,186,1
12.333,0.184,1.6,184,1
2.857,0.307,1.48,43,1
4.125,0.356,2,94,1
4.7,0.338,2.3,159,1
56.556,0.123,1.26,563,1
1,0.383,2.38,31,1
6.333,0.285,1.39,146,1
3.6,0.323,2.45,262,1
1,0.728,7.38,59,1
1.286,0.333,1.4,21,1
31.917,0.307,2.91,1409,1
5,0.409,2.22,131,1
0.95,0.495,12.53,188,1
1.5,0.448,2.05,43,1
15,0.256,1.69,188,1
7.273,0.492,4.98,433,1
0.556,0.711,10.67,32,1
30.667,0.323,1.99,357,1
22.818,0.355,2.93,979,1
16.636,0.465,4.53,937,1
12.6,0.463,3.16,584,1
1.333,0.38,1.46,41,1
3.667,0.377,2.24,112,1
1.875,0.317,2,38,1
1.875,0.467,2.24,56,1
11.692,0.312,2.8,617,1
7.636,0.262,1.69,242,1
24.5,0.142,1.4,222,1
1.333,0.313,1.07,15,1
1,0.592,2.42,29,1
3.778,0.288,2.1,88,1
1.2,0.333,1.82,40,1
1.818,0.564,8.86,124,1
2.889,0.299,1.67,70,1
1,0.272,1.38,22,1
4.143,0.36,1.4,73,1
3.1,0.645,6.67,200,1
59.444,0.136,1.39,655,1
17.111,0.406,2.93,563,1
0.6,0.6,9,9,1
5.333,0.273,1.42,118,1
2.222,0.322,2.15,58,1
1.333,0.648,10,70,1
3,0.406,2.23,78,1
4.7,0.336,2.26,158,1
17.308,0.253,3.27,740,1
7.375,0.322,2.41,152,1
17,0.261,1.66,444,1
21.857,0.467,2.75,500,1
4.444,0.494,2.92,178,1
13.714,0.274,1.6,184,1
12.6,0.368,2,116,1
2.3,0.361,2.44,83,1
5.1,0.22,1.29,112,1
1,0.889,8,8,1
5.333,0.292,1.37,56,1
7.889,0.294,2.16,188,1
27.1,0.193,1.37,522,1
6,0.221,1.37,85,1
1.571,0.377,1.61,29,1
3.3,0.294,1.83,97,1
2.4,0.2,2,12,1
10.857,0.301,1.38,160,1
17.6,0.364,1.67,160,1
21.222,0.328,2.14,564,1
6.75,0.188,1.53,81,1
15,0.354,3.38,643,1
9.111,0.364,2.8,269,1
2.4,0.2,1.71,12,1
3.909,0.334,2.47,158,1
0.5,0.469,5,15,1
15,0.252,2.07,378,1
7.167,0.205,1.77,53,1
10.556,0.285,2.1,244,1
30.714,0.548,3.35,824,1
7.556,0.335,2.33,205,1
5.3,0.343,2,182,1
22.167,0.338,2.72,1079,1
1.625,0.452,1.96,47,1
19,0.199,1.27,242,1
5.5,0.432,1.46,38,1
2.75,0.477,2.27,84,1
34.714,0.198,1.48,336,1
8.182,0.47,4.6,465,1
4.556,0.263,1.41,97,1
25.167,0.199,1.68,721,1
14.182,0.224,1.52,385,1
2,0.327,1.88,32,1
14.462,0.188,1.67,460,1
2.889,0.342,2.35,80,1
2.714,0.406,1.69,54,1
18.778,0.333,2.3,507,1
27.2,0.232,1.98,631,1
7,0.455,1.27,51,1
1.5,0.352,1.58,19,1
9.182,0.398,2.76,442,1
5.5,0.247,1.2,49,1
0.818,0.384,3.8,38,1
56.444,0.128,1.27,587,1
24.286,0.383,5.07,1824,1
4.625,0.182,1.35,54,1
4.091,0.267,2,132,1
4.429,0.276,1.25,60,1
0.778,0.349,3.67,22,1
1.571,0.299,1.64,23,1
8.667,0.349,2.17,245,1
3.429,0.268,1.61,45,1
0.667,0.438,42,42,1
3.125,0.415,1.89,83,1
4.111,0.517,2.82,172,1
16.818,0.487,4.5,991,1
4.111,0.228,1.27,76,1
4.429,0.336,1.52,73,1
5.429,0.259,1.5,69,1
11.625,0.185,1.24,138,1
7.167,0.337,1.67,87,1
4.429,0.295,1.64,64,1
45,0.056,1.13,124,1
1.25,0.238,1.73,19,1
3.857,0.079,2.5,15,1
3.8,0.195,1.48,74,1
3.5,0.38,2.02,133,1
3.889,0.397,1.92,125,1
3,0.318,1.56,61,1
7,0.298,2.01,169,1
6,0.281,2.15,243,1
7.8,0.381,2.52,297,1
24.727,0.275,2.1,824,1
4,0.402,1.81,103,1
2.167,0.359,1.33,28,1
11.667,0.452,7.62,3040,1
3.714,0.346,1.5,63,1
18.5,0.196,1.28,232,1
10.071,0.278,2.29,549,1
1.625,0.635,8.25,66,1
9,1,9,9,1
35.4,0.226,1.71,200,1
5.714,0.232,1.38,65,1
9.182,0.253,1.71,281,1
31.7,0.124,1.32,392,1
17.9,0.2,1.41,358,1
10.375,0.357,1.98,237,1
16.714,0.383,4.2,1256,1
2.857,0.464,2.24,65,1
9.667,0.331,2.62,461,1
13.625,0.271,1.83,236,1
9.111,0.252,2,186,1
2,0.321,2.26,52,1
5.048,0.136,1.99,302,1
21.846,0.205,1.87,758,1
4.4,0.536,2.19,59,1
7.375,0.464,2.74,219,1
7.25,0.442,3.15,205,1
4.444,0.506,3.08,182,1
5.875,0.324,2.18,122,1
11.429,0.361,1.63,202,1
6.474,0.089,207,207,1
17.273,0.239,2.11,500,1
1.333,0.458,2.44,22,1
2.25,0.403,1.81,58,1
14.5,0.362,4.36,1028,1
139.5,0.075,1.05,42,1
8.333,0.396,2.21,267,1
2,0.32,2.13,64,1
7,0.43,3.52,433,1
0.5,0.406,2.17,13,1
4.333,0.519,2.25,81,1
3.857,0.164,2.58,31,1
1.75,0.446,2.17,50,1
2.091,0.415,3.5,105,1
3.571,0.189,1.22,33,1
14.692,0.406,4.71,1007,1
1.368,0.452,3.49,894,1
1.571,0.351,1.5,27,1
5,0.269,1.32,66,1
4.143,0.266,2.7,54,1
1,0.28,1.75,7,1
4.375,0.382,2.02,107,1
10.267,0.423,5.84,976,1
0.5,0.406,2.17,13,1
3.25,0.399,1.93,83,1
44.125,0.07,1.19,197,1
1.875,0.25,2.14,30,1
3.222,0.318,1.73,83,1
26.875,0.416,2.94,715,1
1.8,0.533,2,24,1
19.2,0.329,2.14,158,1
0.727,0.25,2.44,22,1
1.5,0.396,2.38,38,1
16.167,0.266,1.82,155,1
26.8,0.494,6.02,1325,1
2.375,0.309,1.52,47,1
59.444,0.184,1.49,887,1
2,0.375,2.27,75,1
12.2,0.294,2.1,359,1
5,0.281,1.45,90,1
17.429,0.281,1.73,240,1
0.727,0.375,4.13,33,1
11.8,0.277,2.02,327,1
1,0.417,1.5,15,1
8.625,0.234,1.54,129,1
2.286,0.286,1.88,32,1
14.167,0.211,2.67,1718,1
1.3,0.385,2,50,1
3.875,0.371,2,92,1
1.571,0.364,2,28,1
2.167,0.308,1.6,24,1
2.111,0.222,1.31,38,1
13.5,0.282,1.26,137,1
8.273,0.286,2.33,286,1
2.125,0.346,2.47,47,1
25.9,0.351,2.51,908,1
1.571,0.299,1.35,23,1
28.357,0.342,4.53,1902,1
9,0.333,1.99,147,1
1.333,0.75,9,9,1
5.9,0.403,2.98,238,1
3.625,0.453,2.1,105,1
4.333,0.423,2.36,66,1
5.739,0.95,20.76,2885,1
27.231,0.38,4.39,1749,1
2,0.352,1.84,57,1
0.818,0.465,3.83,46,1
3.286,0.373,1.71,60,1
5.6,0.321,1.45,45,1
26.182,0.248,2.04,787,1
2,0.327,2.67,32,1
11.76,0.471,7.72,3459,1
16.778,0.184,1.4,250,1
22.273,0.353,2.77,952,1
6.143,0.292,1.33,88,1
3.833,0.377,2.36,52,1
15.75,0.469,2.87,473,1
10.5,0.167,1.4,7,1
7.182,0.321,2.11,279,1
4.818,0.225,3.45,131,1
5.444,0.247,1.51,109,1
1.4,0.4,1.17,14,1
12,0.583,3.5,7,1
1.13,0.278,1.8,166,1
26.143,0.265,1.88,340,1
4.222,0.371,1.87,127,1
20.25,0.327,2.85,424,1
15.188,0.394,5.5,1530,1
5.435,0.953,20.75,2739,1
7.75,0.363,2.12,180,1
5.8,0.402,2.81,233,1
29,0.183,1.42,430,1
24.222,0.148,1.43,290,1
49.9,0.147,1.27,733,1
12.75,0.212,1.25,173,1
5.5,0.409,9,9,1
2.429,0.16,1.73,19,1
24.429,0.16,1.25,192,1
5,0.302,2.58,255,1
1.833,0.197,1.3,13,1
4.667,0.325,1.71,123,1
4.727,0.28,2.05,160,1
30.125,0.119,1.26,230,1
41.5,0.307,2.44,1833,1
4.5,0.458,2.03,132,1
3.818,0.335,2.25,155,1
3.9,0.295,2.09,115,1
3,0.296,2,8,1
4.889,0.412,2.47,163,1
3.3,0.282,1.82,93,1
1.125,0.431,2.38,31,1
2.5,0.6,4,24,1
42,0.405,1.06,17,1
3.889,0.26,1.37,82,1
18.444,0.392,3.08,585,1
8.167,0.32,2.94,94,1
1.5,0.458,2.59,44,1
0.625,0.325,6.5,13,1
1.857,0.297,1.17,27,1
7.125,0.268,1.45,122,1
3.125,0.28,1.6,56,1
8.75,0.388,2.21,217,1
16,0.319,2.3,184,1
2.923,0.33,3.88,163,1
1.571,0.312,1.5,24,1
8.727,0.331,4.32,350,1
0.357,0.443,6.2,31,1
8.3,0.208,1.44,173,1
0.571,0.393,3.67,11,1
2,0.406,1.68,52,1
1.625,0.365,1.9,38,1
27.667,0.402,4.5,1602,1
15.5,0.314,2.64,486,1
4.333,0.368,2.58,129,1
2.286,0.241,2.45,27,1
5,0.347,1.63,111,1
2.5,0.34,1.89,85,1
10,0.267,1.82,267,1
3,0.333,1.79,100,1
27.545,0.183,4.97,611,1
1.4,0.4,2.33,14,1
11.111,0.276,1.91,248,1
2.4,0.317,1.46,19,1
35,0.191,1.28,427,1
2.833,0.245,1.56,25,1
12,0.345,2.45,335,1
2,0.375,1.5,27,1
2,0.337,1.65,33,1
2.857,0.329,1.48,46,1
2.857,0.25,1.46,35,1
26.1,0.264,1.77,689,1
9.222,0.371,3.3,277,1
10,0.347,1.75,222,1
11.833,0.329,1.57,140,1
8.5,0.257,1.77,315,1
13.714,0.271,1.54,182,1
9.333,0.25,1.83,189,1
10.25,0.412,2.78,270,1
9.75,0.22,1.68,309,1
0.875,0.429,2.18,24,1
4.714,0.351,1.53,81,1
1.571,0.299,1.77,23,1
30.9,0.2,1.4,618,1
19.5,0.472,7.69,5296,1
1.778,0.215,1.55,31,1
4,0.252,1.71,145,1
6.875,0.225,1.77,99,1
3.556,0.382,2.16,110,1
56.778,0.225,1.38,1035,1
0.6,0.6,4.5,9,1
1,0.417,1.88,15,1
56.444,0.184,1.31,840,1
31.167,0.188,1.26,211,1
20.538,0.401,4.87,1392,1
5,0.259,1.4,105,1
11.333,0.214,1.3,196,1
14,0.898,15.91,7238,1
2.714,0.662,4.89,88,1
3.889,0.381,2.14,120,1
3.9,0.31,1.95,121,1
11,0.464,2.52,413,1
3,0.4,1.67,30,1
30.714,0.538,3.2,810,1
17.385,0.258,3.12,759,1
1.667,0.4,1.5,24,1
3.571,0.434,1.81,76,1
5.286,0.243,1.34,63,1
52,0.063,1.08,13,1
13.444,0.356,2.2,388,1
6.889,0.403,3.26,225,1
3.1,0.284,1.69,88,1
9.111,0.352,2.63,260,1
21.308,0.293,2.59,1054,1
2.5,0.406,1.86,65,1
5.818,0.25,2,176,1
28.385,0.397,4.79,1906,1
5,0.31,1.55,76,1
3.667,0.354,1.84,105,1
2.75,0.364,1.33,16,1
4.125,0.424,2.24,112,1
25.667,0.196,1.49,407,1
2.333,0.56,2.24,47,1
10.231,0.36,4.9,622,1
4.375,0.443,2.14,124,1
24.727,0.283,1.97,847,1
2,0.357,1.84,35,1
5.222,0.286,1.95,121,1
6.5,0.38,1.88,158,1
30.111,0.284,1.93,692,1
56.778,0.164,1.42,755,1
28.2,0.191,1.43,540,1
0.75,0.375,3,18,1
26.3,0.204,1.54,537,1
6,0.391,1.98,190,1
4.9,0.529,3.01,259,1
2.75,0.432,1.36,19,1
2.875,0.31,1.84,57,1
1.1,0.373,1.58,41,1
3.333,0.27,1.4,73,1
26.688,0.4,5.56,2736,1
11.667,0.449,7.76,3018,1
19.111,0.171,1.31,265,1
12.444,0.213,1.59,215,1
36,0.222,1.14,8,1
1.9,0.311,1.69,59,1
1.143,0.393,1.69,22,1
20.25,0.204,3.12,265,1
2.333,0.175,1.65,33,1
1.5,0.427,2.56,41,1
5.4,0.267,1.71,36,1
3.143,0.325,1.32,50,1
2,0.278,1.67,45,1
1.714,0.405,1.62,34,1
4.125,0.371,1.88,98,1
6.542,0.905,18.34,3411,1
9.111,0.428,2.38,316,1
38.625,0.186,1.41,459,1
1.25,0.45,1.71,36,1
89,0.169,1.07,15,1
2,0.316,2.21,31,1
22.25,0.34,1.64,121,1
4,0.54,2.35,54,1
5,0.302,1.48,74,1
6.6,0.324,2.25,214,1
5.125,0.363,1.63,119,1
3,0.346,1.95,84,1
24.75,0.215,1.31,341,1
10.375,0.437,2.52,290,1
