@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
10,580,5.8,0.3,80,1
7,217,4.429,0.281,39,1
12,1248,8.667,0.335,170,1
9,162,2,0.259,27,1
13,6331,37.462,0.247,745,1
12,4968,34.5,0.313,675,1
8,192,3,0.438,43,1
7,350,7.143,0.266,64,1
7,315,6.429,0.483,62,1
8,248,3.875,0.427,49,1
9,189,2.333,0.392,27,1
9,396,4.889,0.24,67,1
9,621,7.667,0.209,94,1
7,105,2.143,0.705,12,1
9,2412,29.778,0.465,178,1
9,1683,20.778,0.42,233,1
10,510,5.1,0.41,67,1
8,240,3.75,0.342,41,1
7,217,4.429,0.304,50,1
9,180,2.222,0.55,12,1
9,144,1.778,0.382,24,1
8,1160,18.125,0.156,146,1
8,176,2.75,0.392,27,1
6,576,16,0.198,71,1
9,81,1,0.383,13,1
11,132,1.091,0.5,16,1
6,102,2.833,0.294,26,1
7,91,1.857,0.429,19,1
28,4788,6.107,0.258,621,1
7,1057,21.571,0.077,61,1
5,30,1.2,0.333,1,1
13,2951,17.462,0.226,215,1
8,288,4.5,0.427,62,1
10,2400,24,0.383,334,1
10,610,6.1,0.333,110,1
9,108,1.333,0.407,27,1
10,340,3.4,0.303,56,1
7,49,1,0.286,11,1
8,480,7.5,0.335,87,1
7,945,19.286,0.156,120,1
11,143,1.182,0.35,24,1
7,315,6.429,0.381,54,1
6,78,2.167,0.179,7,1
11,121,1,0.438,13,1
10,1190,11.9,0.275,178,1
8,128,2,0.344,23,1
6,1326,36.833,0.268,183,1
10,600,6,0.203,85,1
12,6000,41.667,0.264,646,1
14,5530,28.214,0.359,423,1
9,585,7.222,0.265,93,1
9,117,1.444,0.53,19,1
5,135,5.4,0.304,29,1
12,444,3.083,0.41,47,1
7,91,1.857,0.33,21,1
17,408,1.412,0.426,37,1
7,35,0.714,0.514,2,1
10,410,4.1,0.266,55,1
8,32,0.5,0.375,8,1
6,192,5.333,0.286,39,1
7,98,2,0.378,19,1
10,350,3.5,0.091,12,1
8,104,1.625,0.587,13,1
28,896,1.143,0.459,69,1
9,738,9.111,0.32,111,1
7,287,5.857,0.307,58,1
6,576,16,0.238,99,1
