@relation wine

@attribute Alcohol numeric
@attribute flavanoids numeric
@attribute Class {1,2,3}

@data
14.75,3.69,1
13.05,2.43,1
13.58,3.19,1
13.76,2.74,1
14.39,2.52,1
13.56,3.29,1
13.75,2.76,1
13.72,3.67,1
14.22,3,1
13.63,2.91,1
13.24,2.63,1
13.82,3.74,1
13.48,2.98,1
14.3,3.14,1
13.05,3,1
14.37,3.49,1
14.21,2.65,1
13.56,2.78,1
13.05,3.27,1
13.5,2.61,1
13.16,3.24,1
14.23,3.06,1
14.22,3.04,1
13.94,3.54,1
13.83,3.4,1
13.68,2.69,1
13.87,2.97,1
13.41,2.68,1
14.06,3.17,1
13.2,2.76,1
12.93,2.41,1
13.88,3.56,1
14.38,3.17,1
13.07,2.64,1
13.86,3.15,1
12.85,2.37,1
13.3,2.19,1
13.28,2.68,1
14.1,3.32,1
14.2,3.39,1
13.9,3.39,1
13.74,2.9,1
13.73,3.25,1
13.64,3.03,1
14.19,3.93,1
13.71,2.88,1
14.38,3.64,1
13.39,2.94,1
13.83,2.99,1
14.06,2.51,1
14.83,2.98,1
14.12,2.43,1
13.29,3.23,1
12.08,2.29,2
11.65,1.61,2
12.29,2.25,2
11.79,2.24,2
12.72,1.76,2
12.37,2,2
13.67,1.79,2
12.77,1.25,2
12,1.25,2
13.11,3.18,2
12.72,2.53,2
13.03,2.03,2
13.34,1.3,2
12.64,1.41,2
12.08,1.5,2
11.82,1.6,2
11.82,1.64,2
13.05,1.59,2
11.76,2.03,2
12.08,1.59,2
12.37,3.75,2
12.99,2.89,2
11.03,2.17,2
11.64,1.69,2
12.43,3.15,2
12.04,1.75,2
12.08,1.58,2
12.25,2.03,2
11.84,2.21,2
12.6,1.36,2
12.34,2.11,2
12.7,2.55,2
12.69,1.46,2
12.22,2.04,2
12.42,1.84,2
12.42,2.13,2
12.16,1.69,2
12,1.64,2
13.49,1.84,2
11.41,2.01,2
12.37,0.57,2
11.96,2.14,2
11.46,2.58,2
11.66,1.57,2
12.37,3.1,2
11.62,2.26,2
12.07,2.65,2
12.33,1.09,2
12.47,2.27,2
12.51,1.92,2
12,2.26,2
11.61,2.92,2
13.86,2.86,2
11.84,1.32,2
12.17,1.75,2
12.33,1.85,2
12.29,1.02,2
12.67,1.94,2
12.37,2.45,2
12.21,1.28,2
12.08,2.17,2
12.29,2.5,2
11.56,5.08,2
12.29,2.99,2
13.45,0.92,3
12.7,1.2,3
13.11,1.28,3
12.77,0.51,3
13.4,0.75,3
13.36,0.5,3
12.2,0.49,3
12.96,0.7,3
12.58,0.58,3
13.58,0.84,3
12.87,0.65,3
12.85,0.6,3
13.62,0.8,3
14.13,0.76,3
13.84,0.83,3
13.78,0.68,3
13.08,1.39,3
12.25,0.47,3
13.17,0.63,3
12.79,1.36,3
13.16,0.55,3
12.81,1.09,3
13.5,1.57,3
13.27,0.69,3
13.71,0.61,3
14.16,0.7,3
12.82,0.66,3
13.32,0.76,3
13.17,0.68,3
13.48,1.1,3
12.45,0.58,3
13.88,0.34,3
13.73,0.47,3
13.4,0.96,3
14.34,1.31,3
13.23,0.83,3
12.36,0.92,3
12.25,0.78,3
13.49,0.48,3
12.86,1.25,3
12.53,0.6,3
13.69,0.56,3
13.52,0.52,3
