@relation wine

@attribute TotalPhenols numeric
@attribute Hue numeric
@attribute Class {1,2,3}

@data
2.95,1.13,1
3,0.88,1
2.8,1.07,1
2.8,1.03,1
2.8,1.04,1
2.95,1.25,1
2.48,1.09,1
2.5,1.02,1
2.7,1.04,1
2.53,1.12,1
2.6,1.15,1
2.98,1.01,1
2.95,1.25,1
2.75,1.07,1
2.7,0.96,1
2.35,1.1,1
3.15,0.95,1
2.6,0.92,1
3,1.07,1
3.1,1.25,1
3.1,0.91,1
2.85,0.87,1
2.95,1.25,1
2.4,1.02,1
2.96,0.98,1
3,1.13,1
2.63,1.13,1
2.86,1.09,1
3.2,0.94,1
3.4,0.89,1
2.64,0.82,1
3.25,0.88,1
2.45,0.91,1
3.85,0.86,1
2.6,1.09,1
2.65,1.04,1
3.3,1.23,1
2.6,1.06,1
2.85,1.28,1
2.61,1.11,1
2.72,1.12,1
2.8,1.04,1
3,1.19,1
2.85,0.92,1
3.27,1.05,1
2.45,1.12,1
2.2,1.17,1
2.88,1.12,1
3,0.89,1
2.4,1.18,1
3,1.09,1
3.3,1.2,1
3.25,1.04,1
1.6,0.95,2
2.11,1.12,2
1.61,1.23,2
2.85,1.42,2
3.18,0.75,2
1.45,1.05,2
2.74,0.69,2
2.56,0.8,2
1.68,0.86,2
1.88,0.98,2
1.98,0.95,2
1.65,0.84,2
2.22,0.89,2
1.89,1.45,2
2.86,0.75,2
1.63,0.7,2
2.6,0.86,2
1.9,1.06,2
2.62,0.73,2
2.42,1.19,2
1.38,0.88,2
2.53,1.02,2
1.65,1,2
2.5,1.16,2
2,0.93,2
2.95,1.36,2
2.98,1.12,2
2.5,0.94,2
2.46,1.71,2
1.45,1.04,2
2.2,1.23,2
1.75,1.23,2
2,1.31,2
2.9,0.8,2
2.23,1.27,2
3.3,1.31,2
1.38,0.96,2
2.56,0.93,2
1.72,0.96,2
2.13,0.97,2
2.45,1.15,2
2.83,1.19,2
2.1,0.79,2
2.55,0.9,2
2.2,1.16,2
2.02,0.98,2
3.5,1.22,2
1.78,1.33,2
2.74,0.96,2
1.95,1.19,2
1.92,1.36,2
1.98,1.05,2
2.2,0.79,2
2.05,1.25,2
2.2,1.04,2
1.85,1.28,2
2.48,1.1,2
2.36,0.86,2
2,1.06,2
3.38,0.99,2
2.1,1.23,2
3.18,0.93,2
1.6,1.08,2
2.2,0.92,2
2.05,0.61,3
1.62,0.73,3
1.62,0.81,3
1.8,0.56,3
2,0.91,3
1.7,0.85,3
1.8,0.57,3
2,0.75,3
1.4,0.7,3
1.79,0.82,3
1.93,0.55,3
1.65,0.87,3
0.98,0.58,3
1.38,0.65,3
1.7,0.78,3
1.51,0.76,3
1.39,0.57,3
1.83,0.96,3
1.48,0.72,3
1.7,0.54,3
1.39,0.68,3
1.74,0.6,3
1.3,0.74,3
1.15,0.66,3
1.48,0.48,3
1.55,0.74,3
1.8,0.7,3
1.25,0.66,3
1.59,0.59,3
1.5,0.6,3
2.8,0.57,3
1.41,0.57,3
2.6,0.57,3
1.98,0.67,3
1.68,0.64,3
2.2,0.61,3
2.3,0.56,3
1.38,0.75,3
1.4,0.59,3
1.48,0.58,3
1.68,0.62,3
1.54,0.77,3
2.32,0.89,3
