@relation wine

@attribute TotalPhenols numeric
@attribute flavanoids numeric
@attribute Class {1,2,3}

@data
2.98,3.15,1
2.4,2.64,1
3.3,3.93,1
3.2,3,1
2.8,2.69,1
2.75,2.92,1
2.8,3.14,1
2.8,3.06,1
2.65,2.33,1
2.86,3.19,1
2.96,2.78,1
2.63,2.68,1
2.85,2.65,1
2.8,2.98,1
2.8,3.24,1
3.27,3.39,1
3,3.23,1
2.6,2.51,1
2.45,2.99,1
2.41,2.41,1
2.4,2.19,1
3.88,3.74,1
3.15,3.29,1
3,3.04,1
3.4,3.67,1
2.85,2.94,1
3.1,3.69,1
2.6,2.9,1
2.72,3.27,1
3,3,1
3.1,3.39,1
2.48,2.37,1
2.42,2.69,1
3,3.25,1
2.35,2.53,1
2.5,2.52,1
3.25,3.17,1
3,2.79,1
3.25,3.56,1
2.61,2.88,1
2.2,2.43,1
2.45,2.68,1
2.64,2.63,1
2.53,2.61,1
2.65,2.76,1
2.95,3.32,1
2.95,2.97,1
2.95,3.4,1
2.88,3.54,1
3.3,3.64,1
2.85,2.91,1
3.85,3.49,1
2.45,2.43,1
2.45,2.25,2
2.2,1.59,2
2.6,2.65,2
2.1,1.75,2
2.62,2.65,2
1.75,2.03,2
2.2,1.92,2
2.2,2.13,2
3.02,2.26,2
1.9,1.85,2
1.85,1.28,2
2.11,2,2
2.5,1.64,2
2.42,2.65,2
2.55,2.5,2
2.23,2.17,2
1.65,2.03,2
1.98,0.57,2
3.3,2.89,2
1.95,1.69,2
2.85,2.99,2
1.1,1.02,2
2,1.64,2
1.92,1.61,2
1.38,1.76,2
2.22,2.45,2
1.88,1.84,2
1.98,1.6,2
2.9,2.79,2
3.18,5.08,2
2.36,2.04,2
2.74,2.92,2
2.56,2.11,2
1.6,0.99,2
1.38,1.46,2
3.18,2.58,2
2.13,2.24,2
2.74,3.15,2
2.1,1.79,2
2.56,2.29,2
2.5,2.27,2
2.86,3.03,2
3.52,3.75,2
3.38,2.14,2
1.68,1.84,2
1.6,1.5,2
2.42,2.26,2
2.83,2.55,2
1.45,1.36,2
2.98,3.18,2
2,2.09,2
2.95,2.86,2
3.5,3.1,2
1.78,1.69,2
2.48,2.01,2
2.46,2.17,2
1.65,1.59,2
2.2,2.53,2
2.55,2.27,2
1.63,1.25,2
2.02,1.41,2
2.53,1.3,2
1.45,1.25,2
1.61,1.57,2
1.28,0.47,3
2.05,0.76,3
1.55,0.84,3
1.15,1.09,3
1.55,0.52,3
1.65,0.68,3
1.93,0.76,3
1.68,0.7,3
1.7,1.2,3
1.74,0.63,3
2,0.8,3
1.79,0.6,3
1.48,0.66,3
1.7,0.92,3
2.8,1.31,3
2,0.58,3
1.8,0.83,3
1.35,0.68,3
1.25,0.49,3
1.48,0.58,3
1.98,0.96,3
1.4,1.57,3
2.6,1.1,3
1.39,0.51,3
2.32,0.6,3
1.62,0.48,3
1.65,0.6,3
2.3,0.92,3
1.9,0.58,3
1.41,1.39,3
0.98,0.34,3
1.59,0.69,3
1.3,1.22,3
1.48,1.36,3
1.8,0.75,3
1.62,0.66,3
1.83,0.56,3
1.5,0.55,3
1.38,0.47,3
2.2,1.28,3
1.39,0.7,3
1.54,0.5,3
1.68,0.61,3
