@relation wine

@attribute flavanoids numeric
@attribute Proanthocyanins numeric
@attribute Class {1,2,3}

@data
2.51,1.25,1
3.69,2.81,1
3.06,2.29,1
2.79,1.68,1
2.76,1.28,1
2.63,1.66,1
2.69,1.97,1
3.17,2.19,1
3,2.03,1
2.68,1.36,1
3.03,1.66,1
3.19,1.95,1
2.68,1.92,1
2.74,1.35,1
3.27,2.91,1
2.69,1.82,1
3.39,2.14,1
2.98,1.98,1
2.33,1.98,1
2.19,1.35,1
3,2.03,1
3.54,2.08,1
3.67,2.04,1
3.23,1.66,1
2.98,1.86,1
2.91,1.46,1
3.4,1.72,1
3.32,2.38,1
3.04,2.08,1
2.99,2.29,1
3.29,2.34,1
3.25,2.38,1
3.74,1.87,1
2.43,1.57,1
2.78,2.45,1
2.92,2.38,1
2.64,1.37,1
2.76,1.81,1
3.49,2.18,1
3.64,2.96,1
3.93,1.86,1
2.94,1.45,1
3.56,1.7,1
2.53,1.54,1
3.17,2.1,1
2.9,1.62,1
3.39,1.97,1
3.14,1.97,1
2.52,1.98,1
3.24,2.81,1
2.97,1.76,1
2.43,1.44,1
2.41,1.98,1
1.25,0.83,2
3.03,2.91,2
2.58,3.58,2
2.65,2.08,2
1.76,1.63,2
1.59,1.62,2
1.28,2.5,2
3.1,1.87,2
1.75,1.03,2
1.79,0.73,2
3.15,1.77,2
1.84,1.03,2
2.27,1.22,2
2.99,2.81,2
2.03,1.05,2
2.26,1.43,2
0.99,1.56,2
1.92,1.48,2
2.5,1.77,2
1.85,2.76,2
1.69,1.35,2
1.25,1.63,2
2.92,2.49,2
2.24,1.76,2
5.08,1.87,2
2.09,1.61,2
2.27,3.28,2
2.03,1.63,2
2.65,1.35,2
1.3,0.42,2
2.29,1.04,2
2.11,1.31,2
2.55,1.95,2
2.53,1.77,2
3.75,1.95,2
2.03,1.46,2
1.58,1.4,2
1.64,1.42,2
1.59,1.38,2
2.26,1.35,2
0.57,0.42,2
1.84,1.42,2
2.89,1.96,2
1.36,1.35,2
1.32,0.95,2
1.6,1.53,2
2.65,2.01,2
2.01,1.44,2
1.64,1.87,2
2.17,2.01,2
2.86,1.87,2
1.94,1.46,2
2.13,1.71,2
2.04,2.08,2
2.17,1.4,2
1.02,1.46,2
3.18,2.28,2
2.45,1.9,2
1.75,1.35,2
1.5,1.64,2
2.14,1.65,2
2.21,2.35,2
2.79,1.83,2
1.09,0.41,2
0.47,0.8,3
1.28,1.56,3
0.76,1.25,3
0.49,0.73,3
0.47,1.15,3
1.2,0.84,3
1.25,0.94,3
0.68,1.46,3
1.1,2.29,3
0.65,0.86,3
0.66,0.94,3
0.6,0.81,3
0.75,1.41,3
0.6,0.96,3
0.96,1.11,3
1.09,0.83,3
0.52,0.55,3
0.51,0.64,3
0.5,0.75,3
0.78,1.14,3
1.39,1.14,3
0.84,1.54,3
1.31,2.7,3
0.58,1.4,3
1.22,0.83,3
0.7,0.94,3
0.56,0.8,3
0.83,1.87,3
0.34,0.68,3
0.92,1.46,3
0.58,1.25,3
0.76,1.35,3
0.8,1.02,3
0.63,1.55,3
0.69,1.35,3
0.83,1.56,3
0.5,0.64,3
0.61,1.06,3
0.92,1.04,3
0.66,0.97,3
1.57,1.25,3
0.7,1.24,3
0.68,1.03,3
0.58,1.14,3
