@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.136,1.847,1.073,0
0.699,0.67,0.403,0
1.312,0.874,0.534,0
1.607,-0.381,0.222,0
0.856,1.186,0.366,0
0.12,0.325,-0.318,1
0.18,2.024,1.056,0
1.271,-0.315,-0.404,0
2.075,0.539,0.457,0
0.245,0.581,-0.528,0
0.338,1.821,1.191,0
0.284,2.743,-0.786,1
3.115,0.235,-0.074,0
0.229,0.523,1.47,0
0.144,2.303,-0.718,0
2.822,-0.097,0.091,0
0.472,1.722,0.716,0
0.567,1.979,-0.496,1
2.469,0.113,0.082,0
1.186,1.102,0.344,1
0.135,1.173,1.552,1
0.075,0.311,0.424,0
0.939,1.587,1.303,1
2.416,-0.137,0.094,0
0.313,1.664,0.789,1
2.676,0.45,0.983,0
0.539,2.047,1.247,1
0.121,1.368,2.225,0
0.174,0.513,1.097,1
0.049,0.337,-0.447,0
0.118,0.41,0.973,0
0.634,-0.59,0.876,0
0.077,0.197,-0.326,1
2.646,-0.149,-0.092,0
0.183,0.717,1.903,0
-0.712,0.166,0.148,0
1.094,-0.346,0.183,0
0.241,0.49,0.272,0
0.87,-0.472,-0.198,0
1.371,0.751,0.638,1
0.545,2.025,-0.604,1
0.356,1.271,-0.396,0
0.35,-0.533,-0.26,0
0.828,-0.487,-0.205,0
1.334,1.236,1.109,0
0.157,0.837,1.902,0
1.007,-0.424,0.422,0
2.209,0.443,0.529,0
2.117,0.982,-0.302,0
0.619,-0.579,-0.233,0
0.53,-0.61,0.683,0
0.794,0.782,-0.201,0
2.198,0.513,1.842,0
0.541,-0.673,-0.254,0
0.672,0.686,2.131,1
0.238,2.106,-0.604,1
0.072,0.359,1.007,0
0.563,1.527,-0.485,0
0.482,2.547,-0.705,0
1.383,2.558,-0.547,1
0.428,2.038,0.733,1
1.178,1.634,0.618,1
0.954,-0.41,1.195,0
1.947,0.181,0.14,0
0.403,1.168,0.516,0
0.583,0.658,0.295,0
0.584,1.607,1.431,1
0.294,2.163,1.14,1
1.52,-0.232,0.133,0
3.22,0.316,0.096,0
1.776,-0.177,-0.071,0
1.619,-0.28,-0.1,0
0.541,1.583,-0.44,0
2.084,0.883,-0.24,0
1.301,-0.415,-0.246,0
0.719,-0.487,0.253,0
0.148,2.467,-0.672,0
0.384,1.699,-0.41,1
0.263,2.603,-0.687,0
0.172,1.622,1.093,0
0.252,3.149,-0.726,0
2.51,0.852,0.72,0
0.557,1.601,1.204,1
2.956,1.436,-0.266,0
0.294,1.748,0.946,0
0.194,1.72,0.754,0
0.808,-0.371,-0.151,0
0.254,1.015,0.607,0
0.874,1.256,0.584,1
1.677,0.522,0.394,0
0.321,0.745,2.252,1
-0.097,1.396,-0.632,0
0.129,0.707,1.683,1
0.145,0.458,-0.741,0
1.896,0.207,0.138,0
1.351,1.044,0.572,0
0.584,-0.821,0.521,0
0.093,0.752,2.5,1
0.25,2.634,-0.859,0
0.307,2.121,1.537,1
0.171,-0.509,-1.084,1
0.235,1.025,1.332,1
2.451,0.222,0.166,0
0.327,1.152,0.541,0
0.121,0.328,0.874,0
0.402,1.656,1.123,0
3.042,-0.121,0.093,0
0.959,1.197,0.369,1
0.508,0.67,0.273,0
0.397,1.781,1.328,1
0.297,0.522,1.111,1
1.644,0.502,1.395,0
2.457,0.172,0.092,0
0.158,1.925,-0.892,0
1.084,-0.153,0.078,0
0.352,2.17,0.79,1
0.374,1.286,0.826,1
0.627,-0.372,-0.163,0
0.985,0.805,0.394,1
0.324,-0.491,0.543,0
0.836,0.519,0.29,0
0.306,1.901,1.404,1
0.993,1.998,0.768,1
0.26,0.663,0.708,0
-0.163,-0.732,1.244,0
0.723,-0.514,0.284,0
0.248,0.681,0.993,1
0.238,1.589,1.38,0
0.257,0.61,2.224,0
2.409,0.153,0.162,0
1.129,-0.224,-0.089,0
0.37,1.665,2.657,1
0.472,1.583,-0.356,0
1.004,0.606,1.205,0
0.579,0.757,0.495,1
-0.194,0.89,0.504,0
0.365,1.354,-0.462,0
0.348,0.973,2.294,0
2.667,0.189,0.226,0
2.236,0.45,0.442,0
0.421,0.578,-0.226,0
0.179,1.985,-0.639,0
2.493,-0.095,0.081,0
0.185,2.055,0.872,0
0.149,0.941,1.808,1
0.128,0.32,0.777,0
0.1,0.501,-0.186,0
0.269,0.86,-0.589,0
0.34,0.536,0.273,0
0.606,1.476,1.27,1
0.216,0.77,1.698,1
0.307,1.35,1.557,1
2.829,-0.281,0.337,0
0.323,1.394,-0.406,0
0.332,1.79,-0.444,0
0.46,1.194,0.607,0
0.251,0.739,0.863,1
0.974,-0.194,-0.079,0
0.524,0.931,0.481,0
0.627,1.992,-0.54,1
0.31,0.923,2.254,1
2.063,0.317,0.488,0
1.376,-0.29,0.24,0
2.744,1.465,-0.331,0
2.993,1.248,-0.301,0
0.27,2.32,-0.609,0
0.52,0.55,0.248,0
0.272,0.821,1.185,1
0.231,1.936,-0.53,0
0.164,1.122,1.936,0
0.302,-0.664,0.32,0
0.292,0.71,1.238,1
0.922,-0.391,0.327,0
0.503,1.844,0.772,1
1.139,2.77,-0.607,1
0.253,0.594,1.273,1
0.851,0.903,0.524,1
0.5,-0.468,-0.176,0
1.246,-0.509,-0.18,0
0.315,-0.505,0.343,0
1,0.35,0.242,0
0.161,0.966,1.674,0
0.577,-0.372,-0.189,0
0.724,-0.449,-0.215,0
0.593,1.714,1.154,1
0.717,2.504,-0.794,0
0.174,0.867,0.584,1
1.258,-0.127,0.091,0
0.397,-0.6,0.372,0
1.101,-0.626,0.28,0
0.172,0.679,1.616,1
0.698,1.776,0.749,1
2.03,-0.098,0.078,0
0.535,1.336,1.805,1
0.651,1.883,-0.506,0
1.392,0.902,0.615,1
3.909,-0.13,-0.087,0
0.126,2.17,0.872,0
0.486,-0.57,-0.26,0
1.253,-0.461,0.23,0
3.53,0.154,-0.071,0
1.264,-0.463,-0.179,0
0.76,1.582,0.89,1
0.151,0.63,1.777,1
0.286,2.168,1.21,0
0.403,2.077,-0.693,1
1.191,-0.367,0.237,0
0.122,0.475,1.191,1
0.653,-0.388,0.247,0
0.965,0.837,1.316,0
0.316,2.039,0.978,1
0.231,1.438,1.052,0
0.565,1.552,-0.516,1
0.195,1.671,0.779,1
0.265,2.753,-0.78,0
0.28,0.735,0.937,1
0.144,0.543,0.775,0
3.227,-0.127,-0.08,0
0.418,1.839,0.707,0
0.145,0.467,-0.794,0
0.77,0.427,0.183,0
2.302,-0.093,0.086,0
0.312,0.564,1.911,0
0.214,2.404,1.093,0
0.17,0.684,-0.74,0
0.185,0.789,1.838,0
0.513,1.953,0.979,1
0.175,2.055,-0.756,0
0.321,0.388,1.075,1
0.225,-0.567,0.278,0
3.597,0.352,0.407,0
0.929,1.27,1.584,1
0.381,-0.306,-0.163,0
3.119,-0.101,-0.069,0
0.816,0.507,-0.189,0
1.21,1.315,0.986,1
0.651,0.904,0.336,0
1.116,1.501,-0.407,1
0.638,-0.387,0.243,0
0.376,2.043,0.818,1
2.935,1.313,-0.259,0
1.303,0.634,0.761,1
0.279,2.547,-0.772,0
0.305,-0.338,-0.131,0
-0.125,1.659,0.643,0
0.25,0.713,2.169,1
-0.178,1.988,-0.65,0
0.386,1.213,0.493,0
0.164,2.589,-0.668,0
0.668,-0.382,-0.154,0
1.176,-0.343,0.226,0
0.806,1.88,1.044,1
0.44,1.648,1.108,1
2.655,0.211,0.835,0
0.464,2.177,-0.387,1
0.258,2.718,-0.68,0
0.2,1,1.958,0
0.289,0.777,0.379,0
2.167,-0.077,0.074,0
0.107,0.376,0.874,0
0.197,1.65,1.02,1
0.252,0.823,1.845,1
0.455,1.707,1.484,1
0.74,-0.321,0.208,0
0.362,1.622,1.423,1
0.146,0.495,-0.677,0
0.14,1.436,1.811,0
0.459,2.144,1.706,1
3.168,0.277,-0.205,0
0.118,0.533,1.373,0
3.004,0.165,0.126,0
0.853,-0.195,-0.065,0
-0.044,1.324,1.615,0
1.09,-0.415,0.189,0
0.361,2.173,0.775,1
1.93,0.46,1.76,0
0.792,-0.322,0.234,0
0.15,0.778,2.21,1
0.306,1.901,1.404,1
0.096,0.316,0.476,0
0.155,0.628,0.626,0
0.203,0.642,0.922,0
0.651,0.991,0.575,0
0.406,1.186,2.047,1
0.135,-0.691,1.634,0
0.486,-0.453,-0.202,0
1.171,-0.216,-0.094,0
0.08,0.868,0.476,1
0.324,1.513,1.037,1
0.47,2.063,1.201,1
1.091,1.686,0.658,1
0.885,1.847,0.751,1
1.393,1.372,0.577,1
2.09,-0.098,0.068,0
0.601,-0.414,-0.225,0
0.504,-0.717,0.385,0
0.935,0.593,0.627,1
0.305,1.637,-0.982,1
0.311,-0.493,0.34,0
0.253,2.363,-0.585,1
0.883,-0.452,0.337,0
0.178,1.846,-0.477,0
0.183,2.273,0.965,0
0.278,1.051,0.468,0
0.353,1.318,0.986,1
0.223,2.305,1.019,1
0.335,-0.515,1.349,1
0.144,1.999,1.127,0
0.802,2.01,-0.49,0
0.192,2.598,-0.678,0
1.207,-0.268,0.337,0
2.444,0.139,0.156,0
3.209,0.242,0.703,0
0.618,1.996,1.247,1
0.339,1.298,-0.443,0
0.267,0.978,0.492,0
0.229,1.485,-0.791,1
0.487,1.754,0.688,0
0.124,0.432,1.031,0
0.486,0.879,1.356,1
3.184,-0.108,-0.064,0
1.645,2.275,-0.58,0
1.534,0.538,1.677,0
0.251,2.104,-0.668,0
0.188,0.797,1.287,0
0.207,1.264,2.152,0
0.16,1.933,-0.625,0
0.291,2.308,0.877,0
0.369,1.833,1.151,1
3.161,0.211,-0.086,0
0.743,1.955,-0.426,0
0.539,0.964,0.511,0
0.368,-0.68,0.476,0
2.725,0.192,0.222,0
0.808,2.019,-0.532,0
0.083,0.414,0.72,0
1.363,-0.304,-0.127,0
1.801,1.353,0.85,0
0.912,0.893,1.416,1
2.614,0.284,0.206,0
0.211,2.503,-0.768,0
1.204,-0.281,0.175,0
1.117,0.805,-0.284,1
0.317,1.503,1.61,0
0.985,1.78,0.679,0
0.75,1.504,-0.44,1
0.25,2.194,0.831,0
0.325,1.168,0.769,0
0.135,0.436,-0.241,1
0.553,-0.427,-0.215,0
2.692,0.123,0.118,0
0.518,0.91,-0.312,0
1.594,0.174,0.153,0
0.704,-0.262,0.146,0
2.467,-0.275,0.149,0
